token_index,region_id,image_id,slide_id,fold
0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,TCGA-EW-A1PB-DX1,3
2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,TCGA-EW-A1PB-DX1,3
6,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,3
8,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,3
11,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,TCGA-EW-A1PB-DX1,3
12,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,TCGA-EW-A1PB-DX1,3
16,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,3
17,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,3
18,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:2:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,3
24,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:0:6,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,3
29,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105:0:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,TCGA-EW-A1PB-DX1,3
30,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,TCGA-EW-A1PB-DX1,3
36,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,TCGA-EW-A1PB-DX1,3
37,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,TCGA-EW-A1PB-DX1,3
