image_index,image_id,presence_c0,presence_c1,presence_c2,presence_c3
0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0,1,0,0
1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,0,1,0,0
2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,0,1,1,0
3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,0,1,1,0
4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,0,1,1,0
5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,0,1,1,0
6,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,0,1,0,0
7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,0,1,0,0
8,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0,1,0,0
9,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0,1,0,0
10,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,1,1,0,0
11,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,1,0,0,0
12,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,1,1,0,0
13,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,0,1,1,0
14,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,1,1,0,0
15,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,0,1,1,0
16,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,0,1,1,0
17,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,0,0,1,0
18,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,0,0,1,0
19,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,0,0,1,0
20,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,0,0,1,0
