image_index,image_id,slide_id,region_count
0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,TCGA-EW-A1PB-DX1,1
1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,TCGA-EW-A1PB-DX1,1
2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,TCGA-EW-A1PB-DX1,3
3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,5
4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,TCGA-EW-A1PB-DX1,4
5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,5
6,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,TCGA-EW-A1PB-DX1,1
7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,8
8,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,TCGA-EW-A1PB-DX1,4
9,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,TCGA-EW-A1PB-DX1,3
10,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,TCGA-EW-A1PB-DX1,2
11,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,TCGA-EW-A1PB-DX1,1
12,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,TCGA-EW-A1PB-DX1,2
13,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,TCGA-EW-A1PB-DX1,3
14,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,4
15,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,5
16,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,TCGA-EW-A1PB-DX1,3
17,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,TCGA-EW-A1PB-DX1,1
18,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,TCGA-EW-A1PB-DX1,1
19,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,TCGA-EW-A1PB-DX1,1
20,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,TCGA-EW-A1PB-DX1,1
21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,7
22,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,4
23,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,5
24,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,TCGA-EW-A1PB-DX1,4
25,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120,TCGA-EW-A1PB-DX1,5
26,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121,TCGA-EW-A1PB-DX1,7
27,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+122,TCGA-EW-A1PB-DX1,1
28,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123,TCGA-EW-A1PB-DX1,5
29,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+124,TCGA-EW-A1PB-DX1,3
30,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+125,TCGA-EW-A1PB-DX1,1
31,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126,TCGA-EW-A1PB-DX1,4
