token_index,image_index,image_id,slide_id,region_id,component_id,base_predicted_class,gt_majority_class,purity,taxonomy,region_area,core_area,rim_area,empty_core,empty_rim,common_support,whole_dispersion,core_dispersion,rim_dispersion,core_rim_discrepancy,gt_pixels_0,gt_pixels_1,gt_pixels_2,gt_pixels_3,gt_pixels_4
0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0:1:1,1,1,1,0.8022959183673469,Type-A,784,588,196,False,False,True,0.06839513778686523,0.041900888085365295,0.10593105852603912,0.04149508476257324,0,629,1,0,154
1,1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1:1:1,1,1,4,0.7614795918367347,Mixed,784,588,196,False,False,True,0.11616738885641098,0.06784687936306,0.17715321481227875,0.12154781818389893,0,182,5,0,597
2,2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10:1:1,1,1,1,0.8508771929824561,Type-A,228,142,86,False,False,True,0.09919644892215729,0.0730377808213234,0.13073313236236572,0.024846196174621582,0,194,0,0,34
3,2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10:1:2,2,1,1,0.7472527472527473,Mixed,182,119,63,False,False,True,0.07576284557580948,0.05031704157590866,0.10550138354301453,0.03171133995056152,0,136,46,0,0
4,2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10:2:1,1,2,2,0.6390374331550802,Mixed,374,245,129,False,False,True,0.03281121701002121,0.019257476553320885,0.049213673919439316,0.013962030410766602,0,135,239,0,0
5,3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100:1:1,1,1,4,0.5398671096345515,Mixed,602,449,153,False,False,True,0.12650106847286224,0.0898093432188034,0.14405673742294312,0.1448761224746704,0,182,95,0,325
6,3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100:1:2,2,1,2,1.0,Type-B,7,1,6,False,False,True,0.05598324537277222,1.1920928955078125e-07,0.05685117840766907,0.06299424171447754,0,0,7,0,0
7,3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100:1:3,3,1,2,1.0,Type-B,7,0,7,True,False,False,0.024653766304254532,,0.024653766304254532,,0,0,7,0,0
8,3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100:2:1,1,2,2,1.0,Type-A,164,79,85,False,False,True,0.05035237595438957,0.035626135766506195,0.059800561517477036,0.009321451187133789,0,0,164,0,0
9,3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100:2:2,2,2,2,1.0,Type-A,4,0,4,True,False,False,0.004510402679443359,,0.004510402679443359,,0,0,4,0,0
