step,objective,base_grad_norm_h,raw_grad_norm_h,weight,weighted_grad_norm_h,ratio,base_grad_norm_osmf_parameters,objective_grad_norm_osmf_parameters,finite
1,sem_pres,0.00017411753651686013,0.000763355870731175,0.05,3.816779353655875e-05,0.2192070602472361,0.08019015927703145,0.7048295987967201,True
1,struct,0.00017411753651686013,5.399081601353828e-06,0.05,2.699540800676914e-07,0.0015504129217400128,0.08019015927703145,0.0005514695577834607,True
1,orth,0.00017411753651686013,0.00018530646048020571,0.05,9.265323024010286e-06,0.05321303733182597,0.08019015927703145,0.10742779605592974,True
1,rec,0.00017411753651686013,3.6889342275303605e-11,0.1,3.688934227530361e-12,2.1186459905988243e-08,0.08019015927703145,1.0951581269156958e-08,True
2,sem_pres,0.0002216110733570531,0.00040957226883620024,0.05,2.0478613441810013e-05,0.09240789748988576,0.08918654815455554,0.4627328271809518,True
2,struct,0.0002216110733570531,6.564349405380199e-06,0.05,3.2821747026901e-07,0.001481051753488618,0.08918654815455554,0.0007364962708881624,True
2,orth,0.0002216110733570531,0.00024010737251956016,0.05,1.2005368625978008e-05,0.054173143922561014,0.08918654815455554,0.12445135835526064,True
2,rec,0.0002216110733570531,3.7318993690860225e-06,0.1,3.731899369086023e-07,0.001683985955987605,0.08918654815455554,0.008702968664305569,True
4,sem_pres,0.00025064407964237034,0.0004216314700897783,0.05,2.1081573504488918e-05,0.08410960055573387,0.18864606907138862,0.4685584174298372,True
4,struct,0.00025064407964237034,8.904074093152303e-06,0.05,4.452037046576152e-07,0.0017762386548950695,0.18864606907138862,0.0008296408841567513,True
4,orth,0.00025064407964237034,0.000268996023805812,0.05,1.34498011902906e-05,0.05366095682698906,0.18864606907138862,0.15083349487132316,True
4,rec,0.00025064407964237034,7.471079243259737e-06,0.1,7.471079243259738e-07,0.0029807523178334273,0.18864606907138862,0.014203640885099636,True
8,sem_pres,0.00018627003009896725,0.0006348671740852296,0.05,3.174335870426148e-05,0.17041581255438723,0.11480842619625177,0.307007069297895,True
8,struct,0.00018627003009896725,2.661826329131145e-05,0.05,1.3309131645655725e-06,0.007145074044994625,0.11480842619625177,0.0025600424597735827,True
8,orth,0.00018627003009896725,0.00019365974003449082,0.05,9.682987001724542e-06,0.05198360114397505,0.11480842619625177,0.06673137241513107,True
8,rec,0.00018627003009896725,3.1438808946404606e-05,0.1,3.1438808946404607e-06,0.01687808219117161,0.11480842619625177,0.04456254910490454,True
