step,parameter,step_update_norm,cumulative_update_norm,initial_parameter_norm,relative_update_norm,finite
1,p_sem.weight,0.005883953534066677,0.005883953534066677,16.0,0.0003677470958791673,True
1,p_morph.weight,0.0036724605597555637,0.0036724605597555637,16.0,0.00022952878498472273,True
1,u_sem.weight,0.00563020771369338,0.00563020771369338,16.0,0.00035188798210583627,True
1,u_morph.weight,0.004093310795724392,0.004093310795724392,16.0,0.0002558319247327745,True
2,p_sem.weight,0.005384456366300583,0.009808248840272427,16.0,0.0006130155525170267,True
2,p_morph.weight,0.004317865241318941,0.006890794727951288,16.0,0.0004306746704969555,True
2,u_sem.weight,0.006143474951386452,0.010504066944122314,16.0,0.0006565041840076447,True
2,u_morph.weight,0.00355392973870039,0.006381023209542036,16.0,0.00039881395059637725,True
4,p_sem.weight,0.0093656275421381,0.012283667922019958,16.0,0.0007677292451262474,True
4,p_morph.weight,0.008933107368648052,0.012405266985297203,16.0,0.0007753291865810752,True
4,u_sem.weight,0.010555857792496681,0.013542168773710728,16.0,0.0008463855483569205,True
4,u_morph.weight,0.0074333688244223595,0.012070191092789173,16.0,0.0007543869432993233,True
8,p_sem.weight,0.007518385536968708,0.0338527075946331,16.0,0.002115794224664569,True
8,p_morph.weight,0.005244112107902765,0.02700088731944561,16.0,0.0016875554574653506,True
8,u_sem.weight,0.008091139607131481,0.033362939953804016,16.0,0.002085183747112751,True
8,u_morph.weight,0.004464717116206884,0.028770146891474724,16.0,0.0017981341807171702,True
