position,dataset_index,image_id,image_path,dataset_hflip,dataset_vflip,photometric_transform,pair_flip_dimension,pair_flip_type,selection_seed,tensor_sha256
0,21080,TCGA-A2-A0CM-DX1_xmin18562_ymin56852_MPP-0.2500+42[0001],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A2-A0CM-DX1_xmin18562_ymin56852_MPP-0.2500+42[0001].png,False,False,none; frozen ImageNet normalization,3,horizontal,20260817,f56b076a57d1c2899c89e9768d9523d65f119ce0f9a400b05381ed4158de08c8
1,1091,TCGA-BH-A0B9-DX1_xmin62727_ymin56697_MPP-0.2500+208[1001],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-BH-A0B9-DX1_xmin62727_ymin56697_MPP-0.2500+208[1001].png,False,True,none; frozen ImageNet normalization,2,vertical,20260817,29aabd748d9bc0defaa4b73deb677208462357c50914a8c9b75e88370f06f81a
2,11131,TCGA-A2-A0D0-DX1_xmin68482_ymin39071_MPP-0.2500+24[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A2-A0D0-DX1_xmin68482_ymin39071_MPP-0.2500+24[0110].png,True,False,none; frozen ImageNet normalization,3,horizontal,20260817,14f69667b320ae8a72df71cb216d43cba16e9b5438d308e90672c83e42437655
3,2034,TCGA-A2-A3XX-DX1_xmin69942_ymin41560_MPP-0.2500+101[0001],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A2-A3XX-DX1_xmin69942_ymin41560_MPP-0.2500+101[0001].png,True,True,none; frozen ImageNet normalization,3,horizontal,20260817,d0f0030ec61418f3ef75e6dba3f2e8e58d2fe0f7547affcb0cad61e01e7da15d
4,22476,TCGA-BH-A1FC-DX1_xmin52216_ymin33355_MPP-0.2500+209[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-BH-A1FC-DX1_xmin52216_ymin33355_MPP-0.2500+209[0110].png,True,False,none; frozen ImageNet normalization,2,vertical,20260817,1af2bc163df7e0956126260e1fc90b16f8c5fd21a749d76392454dfff47f62ed
5,1530,TCGA-AR-A0TS-DX1_xmin118843_ymin22812_MPP-0.2500+32[0100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AR-A0TS-DX1_xmin118843_ymin22812_MPP-0.2500+32[0100].png,True,True,none; frozen ImageNet normalization,2,vertical,20260817,46d66ad2b743a2d8e20a832ba08bbfc4c227592a4f58e8e73c75ff770373ed6a
6,16777,TCGA-AR-A0TS-DX1_xmin118843_ymin22812_MPP-0.2500+12[0010],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AR-A0TS-DX1_xmin118843_ymin22812_MPP-0.2500+12[0010].png,True,False,none; frozen ImageNet normalization,2,vertical,20260817,ea2ed6481ddf02002af0c1730b5e7184d036c7238c87d90c78373e4383317661
7,4321,TCGA-D8-A27M-DX1_xmin54473_ymin16109_MPP-0.2500+170[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-D8-A27M-DX1_xmin54473_ymin16109_MPP-0.2500+170[0110].png,False,False,none; frozen ImageNet normalization,3,horizontal,20260817,dcdb2a030755abe38deb9ce1bf34603151c4a227f73e08151df9fb0d0f27c37e
8,18031,TCGA-D8-A1JF-DX1_xmin24865_ymin52345_MPP-0.2500+79[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-D8-A1JF-DX1_xmin24865_ymin52345_MPP-0.2500+79[0110].png,False,True,none; frozen ImageNet normalization,3,horizontal,20260817,d420d9e5bec72a4adf1ac53eec5518b0fbd094debcf72c14523d35ae537572a7
9,6405,TCGA-BH-A0BW-DX1_xmin42346_ymin30843_MPP-0.2500+271[1110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-BH-A0BW-DX1_xmin42346_ymin30843_MPP-0.2500+271[1110].png,True,True,none; frozen ImageNet normalization,2,vertical,20260817,c6c2127556f679390e2d2eb61164fc348233e852ebea71a842ed25984f0ea221
10,22802,TCGA-A2-A0T2-DX1_xmin63557_ymin56751_MPP-0.2500+249[0001],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A2-A0T2-DX1_xmin63557_ymin56751_MPP-0.2500+249[0001].png,True,True,none; frozen ImageNet normalization,3,horizontal,20260817,41a355959f640e2c3fc4e0922e3d8db1768a9050ae823d0c784bc67e7c24a438
11,4862,TCGA-D8-A27M-DX1_xmin54473_ymin16109_MPP-0.2500+45[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-D8-A27M-DX1_xmin54473_ymin16109_MPP-0.2500+45[1100].png,False,True,none; frozen ImageNet normalization,3,horizontal,20260817,865a6ce2757b11c54e4405d32ff035e22aad92823233edd26da7dc4d4dad63ac
12,20863,TCGA-BH-A18V-DX1_xmin50030_ymin48454_MPP-0.2500+277[1110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-BH-A18V-DX1_xmin50030_ymin48454_MPP-0.2500+277[1110].png,False,True,none; frozen ImageNet normalization,3,horizontal,20260817,74d5045d01a8a6bdc672e776680bbc45f89774568a8020c0bca54ee8fb77decc
13,21101,TCGA-AR-A0U1-DX1_xmin63681_ymin24922_MPP-0.2500+29[1110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AR-A0U1-DX1_xmin63681_ymin24922_MPP-0.2500+29[1110].png,True,False,none; frozen ImageNet normalization,3,horizontal,20260817,97eb374018e0bf711935b2ef5281c3378bc218fdd7e48ce99d6702d48e03d501
14,4485,TCGA-A2-A0YE-DX1_xmin59206_ymin33505_MPP-0.2500+27[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A2-A0YE-DX1_xmin59206_ymin33505_MPP-0.2500+27[1100].png,True,True,none; frozen ImageNet normalization,3,horizontal,20260817,55cd7b57052a78ddeda1386ce41df4d7b218205904164715a36dd24cfec67410
15,5374,TCGA-D8-A142-DX1_xmin62151_ymin41337_MPP-0.2500+493[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-D8-A142-DX1_xmin62151_ymin41337_MPP-0.2500+493[1100].png,False,True,none; frozen ImageNet normalization,3,horizontal,20260817,26a5934167aa81ca5e2ecc2ca60385b288b3edf1c0a08455e6b30a3b8232fc58
16,4816,TCGA-A7-A0CE-DX1_xmin58461_ymin18750_MPP-0.2500+54[0100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A7-A0CE-DX1_xmin58461_ymin18750_MPP-0.2500+54[0100].png,True,True,none; frozen ImageNet normalization,3,horizontal,20260817,562a8bd054c6784690e507340f94382fe3d2d5244d138edeec5b47c957102a68
17,17068,TCGA-D8-A142-DX1_xmin62151_ymin41337_MPP-0.2500+179[0100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-D8-A142-DX1_xmin62151_ymin41337_MPP-0.2500+179[0100].png,True,True,none; frozen ImageNet normalization,3,horizontal,20260817,a02f6f3c63700298650414576fe343d40cef4bd275d63f51c2424bcc39aa8a46
18,18564,TCGA-AN-A0AL-DX1_xmin15698_ymin29806_MPP-0.2500+68[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AN-A0AL-DX1_xmin15698_ymin29806_MPP-0.2500+68[1100].png,False,False,none; frozen ImageNet normalization,2,vertical,20260817,f3432ffafbb260705857dae745eeeafff17a079a3ecebfdf8857e81c8edcb01a
19,14698,TCGA-D8-A1JF-DX1_xmin24865_ymin52345_MPP-0.2500+35[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-D8-A1JF-DX1_xmin24865_ymin52345_MPP-0.2500+35[1100].png,True,True,none; frozen ImageNet normalization,2,vertical,20260817,311d47cebbcd44eeb1ae50fb634d988111f47715b076f5d11bf8ff12f2a611cd
20,15349,TCGA-AR-A0TS-DX1_xmin118843_ymin22812_MPP-0.2500+88[1000],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AR-A0TS-DX1_xmin118843_ymin22812_MPP-0.2500+88[1000].png,True,True,none; frozen ImageNet normalization,2,vertical,20260817,1059db06d0aab69fee7bae725965f2c5c136e755c51b8c9881b54f9c561cdd37
21,2545,TCGA-C8-A12V-DX1_xmin11056_ymin54401_MPP-0.2500+207[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-C8-A12V-DX1_xmin11056_ymin54401_MPP-0.2500+207[0110].png,True,True,none; frozen ImageNet normalization,2,vertical,20260817,7a402e6c9a5f899755035875931a4922d53b21397443c0a2b64cd908e808d2b3
22,21039,TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0.2500+3[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A8-A08R-DX1_xmin14220_ymin13782_MPP-0.2500+3[1100].png,False,False,none; frozen ImageNet normalization,3,horizontal,20260817,58de58fb6ac62b157d15cd6bdab5192820085d16a20ddb41ea21c3563fe4898f
23,9366,TCGA-AO-A1KR-DX1_xmin19591_ymin37667_MPP-0.2500+62[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AO-A1KR-DX1_xmin19591_ymin37667_MPP-0.2500+62[0110].png,True,False,none; frozen ImageNet normalization,3,horizontal,20260817,db15b5e8b517d45a97d232c9670b9bfe7aecc805d10b93c0f0e3625a13770b83
