step,objective,cosine,finite
1,sem_pres,0.11606249958276749,True
1,struct,0.0017349532572552562,True
1,orth,-0.015203609131276608,True
1,rec,0.0,True
2,sem_pres,-0.023849261924624443,True
2,struct,-5.6596813919895794e-06,True
2,orth,0.0022403905168175697,True
2,rec,-0.10197994858026505,True
4,sem_pres,0.04631442576646805,True
4,struct,-0.002354874974116683,True
4,orth,-0.011669643223285675,True
4,rec,0.133056178689003,True
8,sem_pres,0.23184353113174438,True
8,struct,0.0017141111893579364,True
8,orth,-0.015721553936600685,True
8,rec,0.34080445766448975,True
16,sem_pres,0.07682336121797562,True
16,struct,-0.00018840325355995446,True
16,orth,0.00023632217198610306,True
16,rec,0.20526492595672607,True
32,sem_pres,0.0716400295495987,True
32,struct,0.0003084928321186453,True
32,orth,-0.009679139591753483,True
32,rec,-0.2606629431247711,True
64,sem_pres,0.014597573317587376,True
64,struct,0.0010406378423795104,True
64,orth,-0.01058190781623125,True
64,rec,0.004915324971079826,True
96,sem_pres,0.04759901389479637,True
96,struct,0.0022874735295772552,True
96,orth,-0.0037122350186109543,True
96,rec,-0.02072557806968689,True
128,sem_pres,0.02381552942097187,True
128,struct,-0.00011121014540549368,True
128,orth,-0.012546196579933167,True
128,rec,0.1977921575307846,True
