step,objective,base_grad_norm_h,raw_grad_norm_h,weight,weighted_grad_norm_h,ratio,base_grad_norm_osmf_parameters,objective_grad_norm_osmf_parameters,finite
1,sem_pres,0.00017411753651686013,0.000763355870731175,0.05,3.816779353655875e-05,0.2192070602472361,0.08019015927703145,0.7048295987967201,True
1,struct,0.00017411753651686013,5.399081601353828e-06,0.05,2.699540800676914e-07,0.0015504129217400128,0.08019015927703145,0.0005514695577834607,True
1,orth,0.00017411753651686013,0.00018530646048020571,0.05,9.265323024010286e-06,0.05321303733182597,0.08019015927703145,0.10742779605592974,True
1,rec,0.00017411753651686013,3.6889342275303605e-11,0.1,3.688934227530361e-12,2.1186459905988243e-08,0.08019015927703145,1.0951581269156958e-08,True
2,sem_pres,0.0002216110733570531,0.00040957226883620024,0.05,2.0478613441810013e-05,0.09240789748988576,0.08918654815455554,0.4627328271809518,True
2,struct,0.0002216110733570531,6.564349405380199e-06,0.05,3.2821747026901e-07,0.001481051753488618,0.08918654815455554,0.0007364962708881624,True
2,orth,0.0002216110733570531,0.00024010737251956016,0.05,1.2005368625978008e-05,0.054173143922561014,0.08918654815455554,0.12445135835526064,True
2,rec,0.0002216110733570531,3.7318993690860225e-06,0.1,3.731899369086023e-07,0.001683985955987605,0.08918654815455554,0.008702968664305569,True
4,sem_pres,0.00025064407964237034,0.0004216314700897783,0.05,2.1081573504488918e-05,0.08410960055573387,0.18864606907138862,0.4685584174298372,True
4,struct,0.00025064407964237034,8.904074093152303e-06,0.05,4.452037046576152e-07,0.0017762386548950695,0.18864606907138862,0.0008296408841567513,True
4,orth,0.00025064407964237034,0.000268996023805812,0.05,1.34498011902906e-05,0.05366095682698906,0.18864606907138862,0.15083349487132316,True
4,rec,0.00025064407964237034,7.471079243259737e-06,0.1,7.471079243259738e-07,0.0029807523178334273,0.18864606907138862,0.014203640885099636,True
8,sem_pres,0.00018627003009896725,0.0006348671740852296,0.05,3.174335870426148e-05,0.17041581255438723,0.11480842619625177,0.307007069297895,True
8,struct,0.00018627003009896725,2.661826329131145e-05,0.05,1.3309131645655725e-06,0.007145074044994625,0.11480842619625177,0.0025600424597735827,True
8,orth,0.00018627003009896725,0.00019365974003449082,0.05,9.682987001724542e-06,0.05198360114397505,0.11480842619625177,0.06673137241513107,True
8,rec,0.00018627003009896725,3.1438808946404606e-05,0.1,3.1438808946404607e-06,0.01687808219117161,0.11480842619625177,0.04456254910490454,True
16,sem_pres,0.00022622077085543424,0.0012436028337106109,0.05,6.218014168553054e-05,0.27486486398015914,0.11903106820751554,0.6035635135535844,True
16,struct,0.00022622077085543424,1.3002493687963579e-05,0.05,6.50124684398179e-07,0.002873850526925261,0.11903106820751554,0.001053537806441057,True
16,orth,0.00022622077085543424,0.0001665693853283301,0.05,8.328469266416506e-06,0.03681566992326766,0.11903106820751554,0.06923987051734988,True
16,rec,0.00022622077085543424,3.9891259802971035e-05,0.1,3.989125980297104e-06,0.01763377406760129,0.11903106820751554,0.059933070721278986,True
32,sem_pres,0.00024616235168650746,0.0008654267294332385,0.05,4.327133647166193e-05,0.17578372971909648,0.1169227856562876,0.48095755972126614,True
32,struct,0.00024616235168650746,1.6431898984592408e-05,0.05,8.215949492296205e-07,0.0033376141406803077,0.1169227856562876,0.0013271603048273138,True
32,orth,0.00024616235168650746,0.00016987710841931403,0.05,8.493855420965702e-06,0.034505095227875045,0.1169227856562876,0.0635779630057941,True
32,rec,0.00024616235168650746,4.3248466681689024e-05,0.1,4.3248466681689026e-06,0.01756908244079337,0.1169227856562876,0.06244399381371995,True
64,sem_pres,0.00017599541752133518,0.0007867973763495684,0.05,3.933986881747842e-05,0.22352780059845373,0.05622962130893169,0.34795007707810227,True
64,struct,0.00017599541752133518,1.296879054279998e-05,0.05,6.48439527139999e-07,0.00368441140450137,0.05622962130893169,0.001258086033064941,True
64,orth,0.00017599541752133518,0.00015699118375778198,0.05,7.849559187889099e-06,0.0446009291255359,0.05622962130893169,0.07450227720882725,True
64,rec,0.00017599541752133518,3.317808295832947e-05,0.1,3.317808295832947e-06,0.01885167422941037,0.05622962130893169,0.05365696825529628,True
96,sem_pres,0.00021624885266646743,0.0005811401642858982,0.05,2.9057008214294912e-05,0.1343683803249711,0.09251116278628775,0.15465301000213852,True
96,struct,0.00021624885266646743,1.5406199963763356e-05,0.05,7.703099981881679e-07,0.0035621460420606882,0.09251116278628775,0.001460976621591899,True
96,orth,0.00021624885266646743,0.00014684772759210318,0.05,7.342386379605159e-06,0.033953411799027285,0.09251116278628775,0.06588451831348785,True
96,rec,0.00021624885266646743,3.8363508792826906e-05,0.1,3.836350879282691e-06,0.017740444928321827,0.09251116278628775,0.055046372184928895,True
128,sem_pres,0.00020528415916487575,0.00032895428012125194,0.05,1.6447714006062598e-05,0.08012169079607737,0.08997352191191103,0.11358099583247494,True
128,struct,0.00020528415916487575,9.227293048752472e-06,0.05,4.6136465243762363e-07,0.0022474439921086687,0.08997352191191103,0.000856697131030639,True
128,orth,0.00020528415916487575,0.00016697528189979494,0.05,8.348764094989748e-06,0.04066930487127875,0.08997352191191103,0.08698209909292434,True
128,rec,0.00020528415916487575,3.800936974585056e-05,0.1,3.8009369745850566e-06,0.018515490778890593,0.08997352191191103,0.06528937262010497,True
