step,parameter,grad_norm,nonzero_grad_fraction,finite
1,p_sem.weight,0.05828677490353584,1.0,True
1,p_morph.weight,0.03592691570520401,1.0,True
1,u_sem.weight,0.05572414770722389,1.0,True
1,u_morph.weight,0.04021908715367317,1.0,True
2,p_sem.weight,0.05309784412384033,1.0,True
2,p_morph.weight,0.042450666427612305,1.0,True
2,u_sem.weight,0.06077858805656433,1.0,True
2,u_morph.weight,0.03465354070067406,1.0,True
4,p_sem.weight,0.0933169275522232,1.0,True
4,p_morph.weight,0.08898607641458511,1.0,True
4,u_sem.weight,0.10526373237371445,1.0,True
4,u_morph.weight,0.0739058181643486,1.0,True
8,p_sem.weight,0.07479064911603928,1.0,True
8,p_morph.weight,0.05191751942038536,1.0,True
8,u_sem.weight,0.08055051416158676,1.0,True
8,u_morph.weight,0.044026803225278854,1.0,True
16,p_sem.weight,0.07622330635786057,1.0,True
16,p_morph.weight,0.05065103992819786,1.0,True
16,u_sem.weight,0.073138527572155,1.0,True
16,u_morph.weight,0.05167316645383835,1.0,True
32,p_sem.weight,0.06680760532617569,1.0,True
32,p_morph.weight,0.05859997123479843,1.0,True
32,u_sem.weight,0.0742436870932579,1.0,True
32,u_morph.weight,0.04816782474517822,1.0,True
64,p_sem.weight,0.03469771519303322,1.0,True
64,p_morph.weight,0.024013854563236237,1.0,True
64,u_sem.weight,0.034062404185533524,1.0,True
64,u_morph.weight,0.02303771860897541,1.0,True
96,p_sem.weight,0.055781975388526917,1.0,True
96,p_morph.weight,0.039303507655858994,1.0,True
96,u_sem.weight,0.05282188579440117,1.0,True
96,u_morph.weight,0.03928582742810249,1.0,True
128,p_sem.weight,0.05270884558558464,1.0,True
128,p_morph.weight,0.0402669832110405,1.0,True
128,u_sem.weight,0.05199592188000679,1.0,True
128,u_morph.weight,0.04026449844241142,1.0,True
