step,h_rms,semantic_rms,morphology_rms,semantic_morphology_rms_ratio,reconstruction_cosine,residual_ratio,cross_covariance,struct_error_morphology,struct_error_semantic,raw_eq_error_morphology,raw_eq_error_semantic,semantic_response_rms_ratio,semantic_agreement,finite
0,0.8186374306678772,0.9192989468574524,0.7037215232849121,1.3063391077836257,1.0,0.0,0.1258750706911087,0.00012134730059187859,0.00010859064786927775,0.115974560379982,0.12715955078601837,0.8215305303823821,0.8567291498184204,True
1,0.8202738165855408,0.9217274188995361,0.7031212449073792,1.3109082189937848,0.9999638795852661,0.008611419863844165,0.12610939145088196,0.00011288385576335713,0.00010403588385088369,0.11477076262235641,0.12586922943592072,0.8132904404610749,0.8783414363861084,True
2,0.7853687405586243,0.8225744366645813,0.7455641627311707,1.103291276300354,0.9998683929443359,0.01575576863337713,0.12713149189949036,0.00011566869216039777,0.00016960431821644306,0.11038380116224289,0.11967005580663681,0.8242822259188001,0.7065765261650085,True
4,0.7233976125717163,0.7847463488578796,0.6507123112678528,1.205980485181951,0.9999122023582458,0.01377777595704899,0.09822747856378555,7.16106515028514e-05,6.516529538203031e-05,0.07296833395957947,0.07939760386943817,0.7087533397126036,0.9678512215614319,True
8,0.47914576530456543,0.5483978986740112,0.3951108753681183,1.3879595143051682,0.9991025924682617,0.04309443252359663,0.08899380266666412,0.0003610590938478708,0.00021945855405647308,0.08490067720413208,0.0968889370560646,0.7963973820066353,0.9363112449645996,True
16,0.6904326677322388,0.7868143916130066,0.5638489723205566,1.395434646929347,0.9987362027168274,0.048920027715122896,0.10241816192865372,0.00017007457790896297,0.00014305399963632226,0.087311752140522,0.09609012305736542,0.7467041771580749,0.9396536946296692,True
32,0.5560042858123779,0.5760561227798462,0.5296167135238647,1.0876849390683008,0.9974313974380493,0.07074100893363966,0.10035112500190735,0.00027605320792645216,0.00022238583187572658,0.08863016217947006,0.09814737737178802,0.7024499812691702,0.8991324305534363,True
64,0.6133971214294434,0.7100345492362976,0.48689013719558716,1.4583054676862628,0.9983534216880798,0.05763410670729659,0.1074674129486084,0.0002859022351913154,0.00016145124391186982,0.10099536925554276,0.11323491483926773,0.7997574079075185,0.9695467948913574,True
96,0.5599403381347656,0.6528403759002686,0.4329972565174103,1.5077240469132418,0.9982324838638306,0.059751128084762316,0.09826399385929108,0.0002989282656926662,0.0001730118237901479,0.08879324793815613,0.10173562914133072,0.8128996535528741,0.9752676486968994,True
128,0.6823442578315735,0.7864128947257996,0.5427291393280029,1.4489970000469707,0.9982051253318787,0.05955906779586404,0.11426158994436264,0.0002017829829128459,0.00013312211376614869,0.10599713027477264,0.11928297579288483,0.7727511851788987,0.9876124262809753,True
