step,flip_dimension,struct_before,struct_after,delta,affinity_before,affinity_after,semantic_affinity_before,semantic_affinity_after,input_batch_sha256
4,3,0.00015633560542482883,7.16106515028514e-05,-8.472495392197743e-05,0.012528909370303154,0.007548196706920862,0.008412664756178856,0.007364839781075716,8e1ce2ae630a4bcb5d5a3acfee8f59e87332975431a66645955179214b40daab
8,2,0.0005005719140172005,0.0003610590938478708,-0.00013951282016932964,0.022968513891100883,0.01940629445016384,0.012336797080934048,0.014323783107101917,c06b19df9075cbc97c7050c8cbc23b5099b67bdca8f531f67f67875275f0e68a
12,3,0.00028050635592080653,0.0002824674011208117,1.9610452000051737e-06,0.016651848331093788,0.01674663834273815,0.012324115261435509,0.012248027138411999,8909b44a1465ac36b74007d2e8274b80eba24e7ff77dcc5a99147aef14dafcf8
16,2,0.0002445413265377283,0.00017007457790896297,-7.446674862876534e-05,0.015511529520154,0.01244083046913147,0.012732458300888538,0.010704170912504196,0410048821c32381fe5d3d4f1e4898eb03e4a2a4749891f0c666dd1f1d57b7f4
20,3,0.0002266715164296329,0.00024366829893551767,1.6996782505884767e-05,0.014951297082006931,0.015465484000742435,0.011463685892522335,0.011990535072982311,16fb105b90215df72d2899ae7adf327f3a192b2a3166e9527d5d1ac9d98bb6b1
24,2,0.00029169657500460744,0.00027727452106773853,-1.4422053936868906e-05,0.017060767859220505,0.0165309589356184,0.014284800738096237,0.013090061023831367,abc3747a8b26d77a88ac7a5f8d2a0dc03b2a640b53e0301909ccb5cfbec995d2
28,3,0.0002718364994507283,0.00026802654610946774,-3.8099533412605524e-06,0.016521599143743515,0.016373347491025925,0.011503503657877445,0.011918848380446434,b82e70f861d1841bac64f442cca83ca75211228c19b6cd66ff373ee64e14f642
32,2,0.00031188351567834616,0.00027605320792645216,-3.5830307751894e-05,0.017671143636107445,0.016437359154224396,0.013211885467171669,0.01448215451091528,fc8eafa04e93925a0b076553bd9e02409932917e869541f70392989adf54e530
36,3,0.00020162930013611913,0.00020996124658267945,8.331946446560323e-06,0.01353724766522646,0.013901511207222939,0.012200974859297276,0.012579032219946384,f8f4a271cb0423ff46b72806b97c8c088886bf83e1f198eac15c16c1ac687c48
40,2,0.00025508206454105675,0.00025598600041121244,9.039358701556921e-07,0.015514714643359184,0.01571660116314888,0.013942178338766098,0.012785181403160095,b6b7b98f5747afda820868dad16e03e440178bcbc335abb0796100b9a96d66ab
