step,parameter,step_update_norm,cumulative_update_norm,initial_parameter_norm,relative_update_norm,finite
1,p_sem.weight,0.005883953534066677,0.005883953534066677,16.0,0.0003677470958791673,True
1,p_morph.weight,0.0036724605597555637,0.0036724605597555637,16.0,0.00022952878498472273,True
1,u_sem.weight,0.00563020771369338,0.00563020771369338,16.0,0.00035188798210583627,True
1,u_morph.weight,0.004093310795724392,0.004093310795724392,16.0,0.0002558319247327745,True
2,p_sem.weight,0.005384473130106926,0.00980827771127224,16.0,0.000613017356954515,True
2,p_morph.weight,0.004317869432270527,0.00689080823212862,16.0,0.00043067551450803876,True
2,u_sem.weight,0.006143487524241209,0.010504093021154404,16.0,0.0006565058138221502,True
2,u_morph.weight,0.003553949296474457,0.006381047423928976,16.0,0.000398815463995561,True
4,p_sem.weight,0.009370595216751099,0.012282497249543667,16.0,0.0007676560780964792,True
4,p_morph.weight,0.008937584236264229,0.012406750582158566,16.0,0.0007754219113849103,True
4,u_sem.weight,0.010558608919382095,0.013539980165660381,16.0,0.0008462487603537738,True
4,u_morph.weight,0.007439801003783941,0.012070995755493641,16.0,0.0007544372347183526,True
8,p_sem.weight,0.007494472432881594,0.0338502898812294,16.0,0.0021156431175768375,True
8,p_morph.weight,0.005228300113230944,0.027007736265659332,16.0,0.0016879835166037083,True
8,u_sem.weight,0.008064542897045612,0.033338502049446106,16.0,0.0020836563780903816,True
8,u_morph.weight,0.004451093729585409,0.028797117993235588,16.0,0.0017998198745772243,True
