image_index,image_id
0,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+19
1,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+111
2,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+12
3,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+110
4,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+137
5,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+147
6,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+51
7,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+230
8,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+15
9,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+83
10,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+45
11,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+152
12,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+3
13,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+121
14,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+55
15,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+130
16,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+140
17,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+23
18,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+12
19,TCGA-S3-AA15-DX1_xmin55486_ymin28926_MPP-0.2500+7
20,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+218
21,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+88
22,TCGA-S3-AA15-DX1_xmin55486_ymin28926_MPP-0.2500+33
23,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+111
24,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+0
25,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+436
26,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11
27,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+223
28,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+55
29,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+43
30,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+57
31,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+88
32,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+99
33,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+58
34,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+100
35,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+19
36,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+27
37,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+90
38,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+44
39,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+64
40,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+111
41,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+30
42,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+68
43,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+259
44,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+408
45,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+31
46,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+38
47,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+95
48,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+219
49,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+25
50,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+45
51,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+11
52,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+99
53,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+23
54,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19
55,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+34
56,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+233
57,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+44
58,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+66
59,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+97
60,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+187
61,TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+12
62,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+224
63,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+218
64,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+8
65,TCGA-GM-A2DI-DX1_xmin22802_ymin51060_MPP-0.2500+23
66,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163
67,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+142
68,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+24
69,TCGA-GM-A2DI-DX1_xmin22802_ymin51060_MPP-0.2500+0
70,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+403
71,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+190
72,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+30
73,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+146
74,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+15
75,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+34
76,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+55
77,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+158
