category,image_index,image_id,wrong_pixels,n_regions
A_correctable_success,2890,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+152,50176,1
A_correctable_success,1369,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+25,50176,1
A_correctable_success,36,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+27,50176,1
A_correctable_success,1971,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+177,50175,1
A_correctable_success,2486,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+26,50174,1
A_correctable_success,2264,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+7,49984,2
A_correctable_success,227,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+156,49952,2
A_correctable_success,2017,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+173,49376,2
B_correctable_failure,706,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+189,50176,1
B_correctable_failure,1588,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+3,50176,2
B_correctable_failure,2224,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+117,50176,1
B_correctable_failure,245,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+51,50176,4
B_correctable_failure,262,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+62,50176,3
B_correctable_failure,415,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+73,50176,3
B_correctable_failure,3243,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+84,50176,1
B_correctable_failure,1290,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+95,50176,2
C_mixed_boundary,2096,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+242,50176,1
C_mixed_boundary,225,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+301,50176,1
C_mixed_boundary,2214,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+79,50176,1
C_mixed_boundary,2134,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+14,50176,1
C_mixed_boundary,3263,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+23,50176,3
C_mixed_boundary,3329,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+26,50020,1
C_mixed_boundary,2623,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+7,49896,1
C_mixed_boundary,1197,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+163,48609,2
D_background_removal,2715,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+71,50176,5
D_background_removal,2102,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+173,50176,1
D_background_removal,386,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+174,50176,1
D_background_removal,3335,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+175,50176,1
D_background_removal,2457,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+428,50141,1
D_background_removal,2843,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+196,49130,1
D_background_removal,1363,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+72,47488,5
D_background_removal,1343,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+184,47116,1
