min_area,predicted_class,purity_stratum,n_regions_total,region_weighted_mean_purity,median_purity,pixel_weighted_purity,stratum_region_count,stratum_region_fraction,stratum_pixel_mass,stratum_pixel_fraction
1,all,>=0.95,8553,0.8785664516699201,0.9842737323675181,0.8553122791273838,4726,0.5525546591839121,78960010,0.4604040121662328
1,all,0.80-0.95,8553,0.8785664516699201,0.9842737323675181,0.8553122791273838,1537,0.17970302817724776,38034265,0.22177211231094984
1,all,0.60-0.80,8553,0.8785664516699201,0.9842737323675181,0.8553122791273838,1408,0.16462060095872794,34117184,0.1989321986840377
1,all,<0.60,8553,0.8785664516699201,0.9842737323675181,0.8553122791273838,882,0.10312171168011224,20390109,0.11889167683877969
1,0,>=0.95,3046,0.9065669259330223,0.9998862843442871,0.8885881495102198,1898,0.6231122783978988,35377518,0.5449433175288171
1,0,0.80-0.95,3046,0.9065669259330223,0.9998862843442871,0.8885881495102198,553,0.18154957321076823,14521051,0.2236773565049178
1,0,0.60-0.80,3046,0.9065669259330223,0.9998862843442871,0.8885881495102198,372,0.1221273801707157,10030878,0.15451225083248704
1,0,<0.60,3046,0.9065669259330223,0.9998862843442871,0.8885881495102198,223,0.0732107682206172,4990182,0.0768670751337781
1,1,>=0.95,3504,0.8499570721131839,0.9334336468962585,0.8312054239878384,1680,0.4794520547945205,31653553,0.4042521763598842
1,1,0.80-0.95,3504,0.8499570721131839,0.9334336468962585,0.8312054239878384,636,0.1815068493150685,17060473,0.21788180745393865
1,1,0.60-0.80,3504,0.8499570721131839,0.9334336468962585,0.8312054239878384,708,0.20205479452054795,17626662,0.22511269036559872
1,1,<0.60,3504,0.8499570721131839,0.9334336468962585,0.8312054239878384,480,0.136986301369863,11960815,0.15275332582057843
1,2,>=0.95,1696,0.8920338413382213,0.9964940324421432,0.8385676892898917,995,0.5866745283018868,7425234,0.38422284284689134
1,2,0.80-0.95,1696,0.8920338413382213,0.9964940324421432,0.8385676892898917,293,0.17275943396226415,4748042,0.24569006110735897
1,2,0.60-0.80,1696,0.8920338413382213,0.9964940324421432,0.8385676892898917,269,0.15860849056603774,4733522,0.24493871567122366
1,2,<0.60,1696,0.8920338413382213,0.9964940324421432,0.8385676892898917,139,0.08195754716981132,2418534,0.12514838037452602
1,3,>=0.95,307,0.852889345754466,0.9498217256952698,0.8610007209296509,153,0.498371335504886,4503705,0.5029204574285234
1,3,0.80-0.95,307,0.852889345754466,0.9498217256952698,0.8610007209296509,55,0.1791530944625407,1704699,0.19036060329394275
1,3,0.60-0.80,307,0.852889345754466,0.9498217256952698,0.8610007209296509,59,0.19218241042345277,1726122,0.192752870318424
1,3,<0.60,307,0.852889345754466,0.9498217256952698,0.8610007209296509,40,0.13029315960912052,1020578,0.1139660689591098
8,all,>=0.95,8445,0.877030398848512,0.9811264349489796,0.8553119922102479,4619,0.5469508584961515,78959670,0.46040296121273677
8,all,0.80-0.95,8445,0.877030398848512,0.9811264349489796,0.8553119922102479,1536,0.18188277087033747,38034258,0.2217725202084713
8,all,0.60-0.80,8445,0.877030398848512,0.9811264349489796,0.8553119922102479,1408,0.16672587329780936,34117184,0.19893260118538747
8,all,<0.60,8445,0.877030398848512,0.9811264349489796,0.8553119922102479,882,0.1044404973357016,20390109,0.11889191739340445
8,0,>=0.95,2991,0.904848831959875,0.9987292051756007,0.8885879023840069,1843,0.616181878970244,35377374,0.5449423081529374
8,0,0.80-0.95,2991,0.904848831959875,0.9987292051756007,0.8885879023840069,553,0.18488799732530925,14521051,0.22367785265086437
8,0,0.60-0.80,2991,0.904848831959875,0.9987292051756007,0.8885879023840069,372,0.12437311935807423,10030878,0.1545125935610857
8,0,<0.60,2991,0.904848831959875,0.9987292051756007,0.8885879023840069,223,0.07455700434637245,4990182,0.07686724563511248
8,1,>=0.95,3477,0.8487919415256245,0.9304668794892259,0.831205234285996,1653,0.47540983606557374,31653465,0.40425150682142846
