stage,gt_class,gt_class_name,zone,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,zone_pixels,a0_accuracy,fampr_accuracy,corrected_rate,harmed_rate,net_correction_rate
stage1,0,tumor,boundary,morphology,2056522,0.3873530824562126,0.033286996515440335,0.1978098601102829,0.3470855623483658,0.36505126953125,0.385772705078125,0.4083251953125,0.4307362794876099,0.55596923828125,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage1,0,tumor,boundary,dilation,2056522,4.675874136405815,0.1997468063915961,3.6627604961395264,4.4177898406982425,4.54931640625,4.6826171875,4.8133546113967896,4.9150390625,5.810384273529053,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage1,0,tumor,boundary,high_frequency_ratio,2056522,0.4106351028123093,0.03760280880824316,0.19965410232543945,0.3653084456920624,0.3851828798651695,0.4081788808107376,0.43375658988952637,0.45931582450866704,0.6056919693946838,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage1,0,tumor,boundary,r_mpr,2056522,0.26975583415733756,0.012602855678035476,0.19882184267044067,0.25324465334415436,0.2638336047530174,0.27229972183704376,0.27853453159332275,0.28259516954422,0.43030300736427307,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage2,0,tumor,boundary,morphology,2056522,0.35872298661678154,0.04124199915857898,0.18769073486328125,0.30453642904758454,0.33122190088033676,0.3600616455078125,0.38804180920124054,0.41156769692897804,0.5172526240348816,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage2,0,tumor,boundary,dilation,2056522,4.84764575339147,0.24751502598889927,3.892578125,4.530635595321655,4.670857906341553,4.839762210845947,5.012939453125,5.173583984375,5.878173828125,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage2,0,tumor,boundary,high_frequency_ratio,2056522,0.392641040277597,0.04945127923464565,0.19193442165851593,0.32900811433792115,0.35965486615896225,0.3938763439655304,0.4268723651766777,0.45672434568405157,0.6122733950614929,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage2,0,tumor,boundary,r_mpr,2056522,0.2460337822569964,0.01796207350079698,0.18889564275741577,0.2221601277589798,0.23195022344589233,0.24700985103845596,0.25873515009880066,0.2658611595630646,0.513487696647644,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage3,0,tumor,boundary,morphology,2056522,0.24775043660613996,0.03802626585081762,0.12081591039896011,0.198460128903389,0.22019768133759499,0.24770355224609375,0.274819053709507,0.29726460874080657,0.390350341796875,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
stage3,0,tumor,boundary,dilation,2056522,5.513463220512322,0.2282042477625148,4.6546630859375,5.215779781341553,5.351053833961487,5.514322757720947,5.6784056425094604,5.8080771446228034,6.279866695404053,"deterministic sampled reservoir, max=20000, stride=64",2056522,0.5608974764189247,0.5422781764551996,0.024885218830627633,0.0435045187943528,-0.018619299963725165
