stage,gt_class,gt_class_name,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,correlation_with_morphology,correlation_with_high_frequency_ratio
stage1,0,tumor,morphology,61781842,0.38457531369189457,0.030932199567061874,0.1481730192899704,0.35087993144989016,0.36792754381895065,0.3876546323299408,0.40877533704042435,0.4295471101999283,0.5566813349723816,"deterministic sampled reservoir, max=20000, stride=64",0.9999999999331639,0.9747821357318849
stage1,0,tumor,dilation,61781842,4.69255543551192,0.1856687792080442,3.657958984375,4.425927591323853,4.546061038970947,4.672281980514526,4.796061038970947,4.890625,6.122232913970947,"deterministic sampled reservoir, max=20000, stride=64",-0.9995511791327037,-0.9743432765704731
stage1,0,tumor,band_weight_0,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,band_weight_1,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,band_weight_2,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,band_weight_3,61781842,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,high_frequency_ratio,61781842,0.4077954747940373,0.0351729498253365,0.1411915421485901,0.369280207157135,0.3883442282676697,0.410525843501091,0.4343767315149307,0.4578783601522446,0.6153349280357361,"deterministic sampled reservoir, max=20000, stride=64",0.9747821357318849,0.9999999999963879
stage1,0,tumor,g_low,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,g_high,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,g_high_over_low,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,g_low_channel_std,61781842,0.0006866455078125,0.0,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,g_high_channel_std,61781842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,anchor_lambda,61781842,0.341796875,0.0,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,gamma_context,61781842,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,0,tumor,r_fa,61781842,0.8025793577866641,0.026727803229704566,0.5794110894203186,0.7769657731056213,0.7951604276895523,0.8138186931610107,0.8259762823581696,0.8337058424949646,1.3130016326904297,"deterministic sampled reservoir, max=20000, stride=64",-0.2775680414434708,-0.2554274634671617
stage1,0,tumor,r_mpr,61781842,0.27469431046273063,0.009147974072170264,0.19831176102161407,0.2659277081489563,0.2721550911664963,0.2785411477088928,0.2827022522687912,0.28534782230854033,0.44939371943473816,"deterministic sampled reservoir, max=20000, stride=64",-0.2775680169849356,-0.2554274415042766
stage1,1,stroma,morphology,66845621,0.3808549905852524,0.037675513943786786,0.1181996688246727,0.3437703549861908,0.3623148500919342,0.3847859799861908,0.40889740735292435,0.4350707918405533,0.572998046875,"deterministic sampled reservoir, max=20000, stride=64",0.9999999999654875,0.980864595058652
stage1,1,stroma,dilation,66845621,4.71487729475761,0.22610263649414167,3.56201171875,4.3894695281982425,4.545247554779053,4.688557863235474,4.828287601470947,4.937825679779053,6.293619632720947,"deterministic sampled reservoir, max=20000, stride=64",-0.9997091274142965,-0.980578413069134
stage1,1,stroma,band_weight_0,66845621,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,1,stroma,band_weight_1,66845621,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,1,stroma,band_weight_2,66845621,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage1,1,stroma,band_weight_3,66845621,1.125,0.0,1.125,1.125,1.125,1.125,1.125,1.125,1.125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
