gt_class,gt_class_name,size_group,q25_area,q75_area,component_count,pixel_count,a0_recall,fampr_recall,corrected_rate,harmed_rate,net_correction_rate
0,tumor,small,2017.0,43264.5,735,423415,0.4072836342595326,0.4371030785399667,0.05795259969533437,0.028133155414900274,0.02981944428043409
0,tumor,medium,2017.0,43264.5,1468,25334389,0.7741422143632515,0.764535430477522,0.019967562667487265,0.029574346553216658,-0.009606783885729393
0,tumor,large,2017.0,43264.5,735,36024038,0.9494384555112895,0.9437204402238305,0.005310620647246708,0.011028635934705598,-0.005718015287458891
1,stroma,small,188.0,22440.0,1288,56843,0.33844096898474746,0.34950653554527383,0.030293967594954525,0.01922840103442816,0.011065566560526362
1,stroma,medium,188.0,22440.0,2574,13822740,0.6263244479748589,0.6343871764932278,0.03660931190198181,0.0285465833836128,0.008062728518369006
1,stroma,large,188.0,22440.0,1287,52966038,0.9068327708408169,0.9078124552189462,0.011059822900100626,0.010080138521971382,0.0009796843781292458
2,normal,small,766.5,18666.0,419,92663,0.27538499724809257,0.2844393123468914,0.020428865890376957,0.011374550791578083,0.009054315098798874
2,normal,medium,766.5,18666.0,839,5035942,0.4840544231843814,0.48708801650217576,0.026132548786304527,0.023098955468510162,0.003033593317794367
2,normal,large,766.5,18666.0,418,15580196,0.7410834882950125,0.7364407354053826,0.016305507324811574,0.02094826021444146,-0.004642752889629886
3,necrosis,small,1935.0,37235.0,124,84373,0.1566259348369739,0.19964917686937764,0.05459092363670843,0.011567681604304695,0.04302324203240373
3,necrosis,medium,1935.0,37235.0,246,3333873,0.5309959317586482,0.5471918096460183,0.033251416595653165,0.01705553870828313,0.016195877887370036
3,necrosis,large,1935.0,37235.0,123,5884835,0.849364170788136,0.8369067272064552,0.012133220387657427,0.024590663969338136,-0.01245744358168071
