image,foreground_pixels,corrected,harmed,net_correction,class0_corrected,class0_harmed,class0_net,class1_corrected,class1_harmed,class1_net,class2_corrected,class2_harmed,class2_net,class3_corrected,class3_harmed,class3_net
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,39470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,12036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,48504,192,331,-139,0,0,0,144,237,-93,48,94,-46,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,29694,722,586,136,0,0,0,0,0,0,722,586,136,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,47907,956,221,735,0,0,0,122,6,116,834,215,619,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,50176,1946,529,1417,0,0,0,502,94,408,1444,435,1009,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,50176,1566,12796,-11230,0,0,0,0,12796,-12796,1566,0,1566,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,50176,121,199,-78,121,0,121,0,199,-199,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,50176,1594,847,747,64,847,-783,1530,0,1530,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,47786,336,685,-349,0,685,-685,336,0,336,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,49305,59,246,-187,0,0,0,0,0,0,59,246,-187,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,50176,1197,887,310,639,883,-244,558,4,554,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,50176,1969,420,1549,0,0,0,115,68,47,1854,352,1502,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,50176,1124,645,479,0,0,0,0,184,-184,1124,461,663,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,50176,16,0,16,0,0,0,0,0,0,16,0,16,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,50176,3591,533,3058,0,0,0,534,125,409,3057,408,2649,0,0,0
