record_type,gt_class,gt_class_name,group,a0_prediction,fampr_prediction,count,fraction_of_gt_class,corrected_rate,harmed_rate,net_correction_rate
correctness_group,0,tumor,BOTH_CORRECT,,,52829021,0.8550897689324316,0.011681652353453625,0.018750752041352216,-0.00706909968789859
correctness_group,0,tumor,CORRECTED_BY_FAMPR,,,721714,0.011681652353453625,0.011681652353453625,0.018750752041352216,-0.00706909968789859
correctness_group,0,tumor,HARMED_BY_FAMPR,,,1158456,0.018750752041352216,0.011681652353453625,0.018750752041352216,-0.00706909968789859
correctness_group,0,tumor,BOTH_WRONG,,,7072651,0.11447782667276253,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,0,0,52829021,0.8550897689324316,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,0,1,1005452,0.0162742315128772,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,0,2,15162,0.00024541191245155817,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,0,3,137842,0.0022311086160234587,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,1,0,674044,0.010910066423723656,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,1,1,6262224,0.10136026698588883,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,1,2,41194,0.0006667654875035937,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,1,3,26550,0.0004297379155513039,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,2,0,19120,0.0003094760431390181,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,2,1,33370,0.0005401263367964976,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,2,2,334036,0.005406701859099637,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,2,3,0,0.0,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,3,0,28550,0.0004621098865909501,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,3,1,9516,0.00015402583820663682,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,3,2,0,0.0,0.011681652353453625,0.018750752041352216,-0.00706909968789859
prediction_transition,0,tumor,,3,3,365761,0.005920202249716025,0.011681652353453625,0.018750752041352216,-0.00706909968789859
correctness_group,1,stroma,BOTH_CORRECT,,,55778507,0.8344377113348981,0.016359456066688347,0.013906520518374718,0.0024529355483136287
correctness_group,1,stroma,CORRECTED_BY_FAMPR,,,1093558,0.016359456066688347,0.016359456066688347,0.013906520518374718,0.0024529355483136287
correctness_group,1,stroma,HARMED_BY_FAMPR,,,929590,0.013906520518374718,0.016359456066688347,0.013906520518374718,0.0024529355483136287
correctness_group,1,stroma,BOTH_WRONG,,,9043966,0.13529631208003887,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,0,0,5800065,0.08676806218914475,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,0,1,724587,0.010839707809730722,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,0,2,17143,0.0002564565897293407,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,0,3,60744,0.0009087207073743843,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,1,0,555484,0.008309953467258536,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,1,1,55778507,0.8344377113348981,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,1,2,357350,0.005345899920654489,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,1,3,16756,0.0002506671304616947,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,2,0,9981,0.00014931419367021813,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,2,1,328295,0.004911241680288975,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,2,2,2383239,0.03565288143556928,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,2,3,0,0.0,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,3,0,75440,0.0011285705611142427,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,3,1,40676,0.0006085065766686497,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,3,2,0,0.0,0.016359456066688347,0.013906520518374718,0.0024529355483136287
prediction_transition,1,stroma,,3,3,697354,0.01043230640343666,0.016359456066688347,0.013906520518374718,0.0024529355483136287
correctness_group,2,normal,BOTH_CORRECT,,,13565657,0.6550672344574657,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
correctness_group,2,normal,CORRECTED_BY_FAMPR,,,387538,0.018713686031364155,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
correctness_group,2,normal,HARMED_BY_FAMPR,,,443757,0.021428425527870977,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
correctness_group,2,normal,BOTH_WRONG,,,6311849,0.3047906539832992,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,0,0,687761,0.033211048771003206,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,0,1,88307,0.0042642256304457225,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,0,2,30692,0.0014820751814651173,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,0,3,21245,0.001025892324717399,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
prediction_transition,2,normal,,1,0,64473,0.0031133139963052422,0.018713686031364155,0.021428425527870977,-0.0027147394965068234
