record_type,model,stage,gt_class,gt_class_name,mIoU,mDice,class_IoU,class_Dice,normalized_cam_abs_difference_mean
overall,a0,cam56,,,0.6145151651617138,0.7571444811939197,,,
per_class,a0,cam56,0,tumor,0.6145151651617138,0.7571444811939197,0.7303491568462274,0.8441639121868073,0.0499653000289949
per_class,a0,cam56,1,stroma,0.6145151651617138,0.7571444811939197,0.6797228159263518,0.8093273598257232,0.05423092433404624
per_class,a0,cam56,2,normal,0.6145151651617138,0.7571444811939197,0.5383122555479287,0.6998738436965624,0.05973205728368036
per_class,a0,cam56,3,necrosis,0.6145151651617138,0.7571444811939197,0.5096764323263474,0.675212809066586,0.09451593283921605
overall,fampr,cam56,,,0.6327482959926313,0.772209778723949,,,
per_class,fampr,cam56,0,tumor,0.6327482959926313,0.772209778723949,0.7378339221675484,0.8491420414296783,0.0499653000289949
per_class,fampr,cam56,1,stroma,0.6327482959926313,0.772209778723949,0.6687151407105241,0.8014730907586672,0.05423092433404624
per_class,fampr,cam56,2,normal,0.6327482959926313,0.772209778723949,0.5267528679313077,0.6900302976277201,0.05973205728368036
per_class,fampr,cam56,3,necrosis,0.6327482959926313,0.772209778723949,0.5976912531611448,0.7481936850797305,0.09451593283921605
overall,a0,cam28_1,,,0.6701044601374018,0.8003479457286553,,,
per_class,a0,cam28_1,0,tumor,0.6701044601374018,0.8003479457286553,0.7623428787922863,0.8651470584597151,0.03228374876480332
per_class,a0,cam28_1,1,stroma,0.6701044601374018,0.8003479457286553,0.704635298453505,0.8267285079603488,0.026185914903303114
per_class,a0,cam28_1,2,normal,0.6701044601374018,0.8003479457286553,0.575511436189412,0.7305709409274291,0.02727067153209294
per_class,a0,cam28_1,3,necrosis,0.6701044601374018,0.8003479457286553,0.6379282271144033,0.7789452755671282,0.037178888823038145
overall,fampr,cam28_1,,,0.6650224995569639,0.7966382941919218,,,
per_class,fampr,cam28_1,0,tumor,0.6650224995569639,0.7966382941919218,0.7581328033493306,0.8624295069235383,0.03228374876480332
per_class,fampr,cam28_1,1,stroma,0.6650224995569639,0.7966382941919218,0.7022141348220308,0.8250596919117328,0.026185914903303114
per_class,fampr,cam28_1,2,normal,0.6650224995569639,0.7966382941919218,0.5724395143578265,0.7280909810913863,0.02727067153209294
per_class,fampr,cam28_1,3,necrosis,0.6650224995569639,0.7966382941919218,0.6273035456986676,0.7709729968410296,0.037178888823038145
overall,a0,cam28_2,,,0.6648261222642812,0.7968779613155046,,,
per_class,a0,cam28_2,0,tumor,0.6648261222642812,0.7968779613155046,0.7475054768173904,0.8555114553103088,0.033940046257542024
per_class,a0,cam28_2,1,stroma,0.6648261222642812,0.7968779613155046,0.694644150976963,0.8198112277158605,0.036430913823266825
per_class,a0,cam28_2,2,normal,0.6648261222642812,0.7968779613155046,0.574119289332044,0.7294482612885885,0.03988642017622016
per_class,a0,cam28_2,3,necrosis,0.6648261222642812,0.7968779613155046,0.643035571930727,0.7827409009472601,0.04410799643897153
overall,fampr,cam28_2,,,0.662567609798069,0.7949421456318986,,,
per_class,fampr,cam28_2,0,tumor,0.662567609798069,0.7949421456318986,0.7513818744040979,0.8580445936837768,0.033940046257542024
per_class,fampr,cam28_2,1,stroma,0.662567609798069,0.7949421456318986,0.6987872898210145,0.822689566855235,0.036430913823266825
per_class,fampr,cam28_2,2,normal,0.662567609798069,0.7949421456318986,0.5673485891907534,0.7239596770029114,0.03988642017622016
per_class,fampr,cam28_2,3,necrosis,0.662567609798069,0.7949421456318986,0.63275268577641,0.7750747449856707,0.04410799643897153
overall,a0,camdeep,,,0.6494756259459494,0.785388626622457,,,
per_class,a0,camdeep,0,tumor,0.6494756259459494,0.785388626622457,0.7363364609771104,0.8481495119474051,0.025120404743754744
per_class,a0,camdeep,1,stroma,0.6494756259459494,0.785388626622457,0.6848660211577537,0.8129619952655331,0.026402128069189092
per_class,a0,camdeep,2,normal,0.6494756259459494,0.785388626622457,0.5533932227945563,0.7124959922240438,0.025771577711143006
per_class,a0,camdeep,3,necrosis,0.6494756259459494,0.785388626622457,0.6233067988543773,0.7679470070528456,0.03228529833155719
overall,fampr,camdeep,,,0.6458507888341237,0.7826294733734303,,,
per_class,fampr,camdeep,0,tumor,0.6458507888341237,0.7826294733734303,0.7353386885622687,0.8474872293333103,0.025120404743754744
per_class,fampr,camdeep,1,stroma,0.6458507888341237,0.7826294733734303,0.6831659095418793,0.8117630064499369,0.026402128069189092
per_class,fampr,camdeep,2,normal,0.6458507888341237,0.7826294733734303,0.5508989685550587,0.7104253464921964,0.025771577711143006
per_class,fampr,camdeep,3,necrosis,0.6458507888341237,0.7826294733734303,0.6139995886772883,0.7608423112182771,0.03228529833155719
