objective,cosine,finite,step
sem_pres,0.11606249958276749,True,1
eq,0.005615974310785532,True,1
orth,-0.015203609131276608,True,1
rec,0.0,True,1
sem_pres,-0.07708653062582016,True,2
eq,-0.0029563563875854015,True,2
orth,0.00019485199300106615,True,2
rec,0.017639148980379105,True,2
sem_pres,0.10728080570697784,True,4
eq,0.003648430574685335,True,4
orth,-0.025255439803004265,True,4
rec,-0.07188943773508072,True,4
sem_pres,0.011001498438417912,True,8
eq,-0.008229418657720089,True,8
orth,-0.00983087532222271,True,8
rec,0.4326103627681732,True,8
