objective,base_grad_norm_h,raw_grad_norm_h,weight,weighted_grad_norm_h,ratio,base_grad_norm_osmf_parameters,objective_grad_norm_osmf_parameters,finite,step
sem_pres,0.00017411753651686013,0.000763355870731175,0.2,0.000152671174146235,0.8768282409889444,0.08019015927703145,0.7048295987967201,True,1
eq,0.00017411753651686013,0.0002895953366532922,0.2,5.7919067330658436e-05,0.3326435013764769,0.08019015927703145,0.14084254821594208,True,1
orth,0.00017411753651686013,0.00018530646048020571,0.05,9.265323024010286e-06,0.05321303733182597,0.08019015927703145,0.10742779605592974,True,1
rec,0.00017411753651686013,3.6889342275303605e-11,0.1,3.688934227530361e-12,2.1186459905988243e-08,0.08019015927703145,1.0951581269156958e-08,True,1
sem_pres,0.00022174717742018402,0.00042200222378596663,0.2,8.440044475719333e-05,0.3806156423657609,0.08433433787820359,0.47646548510759057,True,2
eq,0.00022174717742018402,0.00032072942121885717,0.2,6.414588424377144e-05,0.28927486113136813,0.08433433787820359,0.16962999535334689,True,2
orth,0.00022174717742018402,0.0002426373102935031,0.05,1.2131865514675156e-05,0.05471034897087503,0.08433433787820359,0.12634613164229272,True,2
rec,0.00022174717742018402,7.419323083013296e-06,0.1,7.419323083013297e-07,0.00334584779651833,0.08433433787820359,0.01743751606840516,True,2
sem_pres,0.00021139690943527967,0.0004459568008314818,0.2,8.919136016629637e-05,0.42191420859768336,0.10010056746176103,0.3572178085890614,True,4
eq,0.00021139690943527967,0.0003504229534883052,0.2,7.008459069766105e-05,0.3315308182761632,0.10010056746176103,0.18715353169047813,True,4
orth,0.00021139690943527967,0.00019962155784014612,0.05,9.981077892007307e-06,0.047214871170329,0.10010056746176103,0.11923600088030166,True,4
rec,0.00021139690943527967,1.1293337593087927e-05,0.1,1.1293337593087927e-06,0.005342243446147925,0.10010056746176103,0.02638189656594002,True,4
sem_pres,0.0002471802872605622,0.00088474340736866,0.2,0.000176948681473732,0.7158689016787765,0.23527426830216944,0.44781937575961783,True,8
eq,0.0002471802872605622,0.0007414812571369112,0.2,0.00014829625142738224,0.5999517699043118,0.23527426830216944,0.33890750428917427,True,8
orth,0.0002471802872605622,0.00024741829838603735,0.05,1.2370914919301868e-05,0.05004814504569723,0.23527426830216944,0.07231134653199074,True,8
rec,0.0002471802872605622,4.0219194488599896e-05,0.1,4.02191944885999e-06,0.01627119814918385,0.23527426830216944,0.06443715337167516,True,8
