metric,start,mean,end,min,max
L_SSHR,0.16958370804786682,0.3150956812832091,0.44585883617401123,0.16958370804786682,0.5515966415405273
L_sem_pres,0.14328765869140625,0.08748020066155328,0.060963213443756104,0.03467357158660889,0.1649203896522522
L_eq,0.06257335841655731,0.08810397734244664,0.12973855435848236,0.06257335841655731,0.12973855435848236
L_orth,0.015844818204641342,0.013886382182439169,0.008117679506540298,0.008117679506540298,0.017322871834039688
L_rec,0.0,0.0004875196350945367,0.0016134381294250488,0.0,0.0016134381294250488
r_sem_pres,0.8768282409889444,0.5988067484077912,0.7158689016787765,0.3806156423657609,0.8768282409889444
"cos(base,sem_pres)",0.11606249958276749,0.03931456827558577,0.011001498438417912,-0.07708653062582016,0.11606249958276749
r_eq,0.3326435013764769,0.38835023767208,0.5999517699043118,0.28927486113136813,0.5999517699043118
"cos(base,eq)",0.005615974310785532,-0.00048034253995865583,-0.008229418657720089,-0.008229418657720089,0.005615974310785532
r_orth,0.05321303733182597,0.05129660062968181,0.05004814504569723,0.047214871170329,0.05471034897087503
"cos(base,orth)",-0.015203609131276608,-0.012523768065875629,-0.00983087532222271,-0.025255439803004265,0.00019485199300106615
r_rec,2.1186459905988243e-08,0.006239827644577502,0.01627119814918385,2.1186459905988243e-08,0.01627119814918385
"cos(base,rec)",0.0,0.0945900185033679,0.4326103627681732,-0.07188943773508072,0.4326103627681732
RMS(H),0.8186295628547668,0.7549261808395386,0.5691301226615906,0.5691301226615906,0.8186295628547668
RMS(S),0.9192843437194824,0.8401423454284668,0.6488681435585022,0.6488681435585022,0.9192843437194824
RMS(M),0.703722357749939,0.6556007206439972,0.47330114245414734,0.47330114245414734,0.7081993222236633
RMS(H_hat),0.8186295628547668,0.753245496749878,0.5671527981758118,0.5671527981758118,0.8186295628547668
RMS(S)/RMS(M),1.3063168074657578,1.2870906808253835,1.3709414268316342,1.2269533965807196,1.3709414268316342
"Cos(H,H_hat)",1.0,0.9996006488800049,0.998916745185852,0.998916745185852,1.0
ResidualRatio,0.0,0.02315498897316006,0.045815457773609576,0.0,0.045815457773609576
"CrossCov(S,M)",0.015844818204641342,0.01472677793353796,0.010074109770357609,0.010074109770357609,0.016606075689196587
EqErr(M),0.06257335841655731,0.0687908723950386,0.09932922571897507,0.0595024898648262,0.09932922571897507
EqErr(S),0.04565878212451935,0.05350848138332367,0.0757598802447319,0.04500908404588699,0.0757598802447319
RMS(Z_S),4.766129016876221,4.319017934799194,3.5467798709869385,3.5467798709869385,4.766129016876221
RMS(Z_H),5.801452159881592,5.4215470314025875,4.667289733886719,4.667289733886719,5.817160606384277
R_Z,0.8215406911108056,0.7953400440433885,0.7599227974288565,0.7599227974288565,0.8274363705829032
SemAgree,0.8567123413085938,0.9063002109527588,0.9785792231559753,0.8567123413085938,0.9785792231559753
