parameter,step_update_norm,cumulative_update_norm,initial_parameter_norm,relative_update_norm,finite,step
p_sem.weight,0.012533535249531269,0.012533535249531269,16.0,0.0007833459530957043,True,1
p_morph.weight,0.0036731192376464605,0.0036731192376464605,16.0,0.00022956995235290378,True,1
u_sem.weight,0.01217065379023552,0.01217065379023552,16.0,0.00076066586188972,True,1
u_morph.weight,0.004095094278454781,0.004095094278454781,16.0,0.0002559433924034238,True,1
p_sem.weight,0.006534918211400509,0.01790882833302021,16.0,0.0011193017708137631,True,2
p_morph.weight,0.003815979231148958,0.0058537875302135944,16.0,0.00036586172063834965,True,2
u_sem.weight,0.007458402309566736,0.018635861575603485,16.0,0.0011647413484752178,True,2
u_morph.weight,0.004030804615467787,0.005967294331640005,16.0,0.0003729558957275003,True,2
p_sem.weight,0.007850298658013344,0.030281400308012962,16.0,0.0018925875192508101,True,4
p_morph.weight,0.005802614614367485,0.00962226465344429,16.0,0.0006013915408402681,True,4
u_sem.weight,0.008454839698970318,0.03029010258615017,16.0,0.0018931314116343856,True,4
u_morph.weight,0.003882791381329298,0.009238998405635357,16.0,0.0005774374003522098,True,4
p_sem.weight,0.01413994375616312,0.0509464368224144,16.0,0.0031841523014009,True,8
p_morph.weight,0.012868393212556839,0.0288839191198349,16.0,0.0018052449449896812,True,8
u_sem.weight,0.015199949033558369,0.0460466630756855,16.0,0.002877916442230344,True,8
u_morph.weight,0.008977203629910946,0.030864307656884193,16.0,0.001929019228555262,True,8
