objective,cosine,finite,step
sem_pres,0.11606249958276749,True,1
eq,0.005615974310785532,True,1
orth,-0.015203609131276608,True,1
rec,0.0,True,1
sem_pres,-0.054645150899887085,True,2
eq,0.00017788315017241985,True,2
orth,0.0012165980879217386,True,2
rec,-0.06667615473270416,True,2
sem_pres,0.15016549825668335,True,4
eq,0.003948450554162264,True,4
orth,-0.02625485695898533,True,4
rec,0.02908935956656933,True,4
sem_pres,0.19257159531116486,True,8
eq,0.013736837543547153,True,8
orth,-0.012299119494855404,True,8
rec,0.43162447214126587,True,8
sem_pres,0.09599388390779495,True,16
eq,0.002514323452487588,True,16
orth,0.0013932437868788838,True,16
rec,0.06603226065635681,True,16
sem_pres,0.06877133995294571,True,32
eq,0.012023796327412128,True,32
orth,-0.009581740014255047,True,32
rec,-0.2718264162540436,True,32
sem_pres,0.005753032397478819,True,64
eq,0.004321536049246788,True,64
orth,-0.00348004512488842,True,64
rec,0.019670633599162102,True,64
sem_pres,0.04044239968061447,True,96
eq,0.008435435593128204,True,96
orth,-0.002986279781907797,True,96
rec,-0.009486053138971329,True,96
sem_pres,0.03316456824541092,True,128
eq,-0.0009118722518905997,True,128
orth,-0.010756215080618858,True,128
rec,0.16476424038410187,True,128
