objective,base_grad_norm_h,raw_grad_norm_h,weight,weighted_grad_norm_h,ratio,base_grad_norm_osmf_parameters,objective_grad_norm_osmf_parameters,finite,step
sem_pres,0.00017411753651686013,0.000763355870731175,0.05,3.816779353655875e-05,0.2192070602472361,0.08019015927703145,0.7048295987967201,True,1
eq,0.00017411753651686013,0.0002895953366532922,0.05,1.4479766832664609e-05,0.08316087534411923,0.08019015927703145,0.14084254821594208,True,1
orth,0.00017411753651686013,0.00018530646048020571,0.05,9.265323024010286e-06,0.05321303733182597,0.08019015927703145,0.10742779605592974,True,1
rec,0.00017411753651686013,3.6889342275303605e-11,0.1,3.688934227530361e-12,2.1186459905988243e-08,0.08019015927703145,1.0951581269156958e-08,True,1
sem_pres,0.00022054043074604124,0.0004313770041335374,0.05,2.1568850206676872e-05,0.09779998178072868,0.07888425650141347,0.49768424703958025,True,2
eq,0.00022054043074604124,0.00032015651231631637,0.05,1.600782561581582e-05,0.07258453921160951,0.07888425650141347,0.16959818006655966,True,2
orth,0.00022054043074604124,0.00024238233163487166,0.05,1.2119116581743584e-05,0.05495190376565102,0.07888425650141347,0.12452543341306116,True,2
rec,0.00022054043074604124,3.821595782937948e-06,0.1,3.821595782937948e-07,0.0017328322760058017,0.07888425650141347,0.008825036042544065,True,2
sem_pres,0.00021621973428409547,0.00045245030196383595,0.05,2.26225150981918e-05,0.10462742944564067,0.12441920391420608,0.41061124083391526,True,4
eq,0.00021621973428409547,0.0003526356886141002,0.05,1.763178443070501e-05,0.08154567577995715,0.12441920391420608,0.18686884883672805,True,4
orth,0.00021621973428409547,0.0001949606667039916,0.05,9.74803333519958e-06,0.04508392040343331,0.12441920391420608,0.11220942224302416,True,4
rec,0.00021621973428409547,4.213558895571623e-06,0.1,4.213558895571623e-07,0.0019487392721276545,0.12441920391420608,0.009634518473349951,True,4
sem_pres,0.00020771085110027343,0.0005179225117899477,0.05,2.589612558949739e-05,0.12467391726358096,0.2239481744566075,0.29269670180839685,True,8
eq,0.00020771085110027343,0.000548504467587918,0.05,2.7425223379395902e-05,0.13203558264811432,0.2239481744566075,0.28930681406742487,True,8
orth,0.00020771085110027343,0.0003033741668332368,0.05,1.5168708341661842e-05,0.07302800112889178,0.2239481744566075,0.1769216606616492,True,8
rec,0.00020771085110027343,1.810422691050917e-05,0.1,1.810422691050917e-06,0.00871607175429104,0.2239481744566075,0.035982303827872666,True,8
sem_pres,0.00020484073320403695,0.0011360637145116925,0.05,5.680318572558463e-05,0.27730415020385707,0.06586136656754936,0.5025158429283898,True,16
eq,0.00020484073320403695,0.0005185934714972973,0.05,2.5929673574864866e-05,0.12658455690281278,0.06586136656754936,0.17082109728495784,True,16
orth,0.00020484073320403695,0.00021410152839962393,0.05,1.0705076419981197e-05,0.0522604864778415,0.06586136656754936,0.09596732292771289,True,16
rec,0.00020484073320403695,4.7691264626337215e-05,0.1,4.7691264626337215e-06,0.02328211955090587,0.06586136656754936,0.06797015852471959,True,16
sem_pres,0.00025083954096771777,0.001002953271381557,0.05,5.014766356907785e-05,0.19991929173404285,0.12306733094786518,0.5524659809640868,True,32
eq,0.00025083954096771777,0.0005643856129609048,0.05,2.8219280648045245e-05,0.11249933095347851,0.12306733094786518,0.1985690273464696,True,32
orth,0.00025083954096771777,0.00018531852401793003,0.05,9.265926200896503e-06,0.03693965524019733,0.12306733094786518,0.07346556281141393,True,32
rec,0.00025083954096771777,4.0912058466346934e-05,0.1,4.091205846634694e-06,0.016310051495633884,0.12306733094786518,0.057272693963232896,True,32
sem_pres,0.00018000966520048678,0.0007971512386575341,0.05,3.985756193287671e-05,0.22141900917968,0.05748902099870813,0.3829478986527529,True,64
eq,0.00018000966520048678,0.0004739744763355702,0.05,2.3698723816778513e-05,0.13165250687362492,0.05748902099870813,0.20896335937353092,True,64
orth,0.00018000966520048678,0.0002820352092385292,0.05,1.4101760461926462e-05,0.07833890679081948,0.05748902099870813,0.18395231497454764,True,64
rec,0.00018000966520048678,3.303785706521012e-05,0.1,3.303785706521012e-06,0.01835337943930968,0.05748902099870813,0.05415122546211374,True,64
sem_pres,0.00022007376537658274,0.0005739302141591907,0.05,2.8696510707959535e-05,0.13039496338175557,0.08931404223310892,0.15583323496909351,True,96
eq,0.00022007376537658274,0.0005379310459829867,0.05,2.6896552299149334e-05,0.12221607664552289,0.08931404223310892,0.22073293304441674,True,96
orth,0.00022007376537658274,0.00015127952792681754,0.05,7.563976396340877e-06,0.034370186510088885,0.08931404223310892,0.07071279055613922,True,96
rec,0.00022007376537658274,3.866196857416071e-05,0.1,3.866196857416071e-06,0.017567731588690887,0.08931404223310892,0.05568634829082122,True,96
sem_pres,0.00019900346524082124,0.0003610591811593622,0.05,1.8052959057968112e-05,0.09071680709381,0.07485957665594056,0.12122320217434672,True,128
eq,0.00019900346524082124,0.0004256342363078147,0.05,2.1281711815390737e-05,0.10694141271708792,0.07485957665594056,0.17869414668758601,True,128
orth,0.00019900346524082124,0.00016791271627880633,0.05,8.395635813940317e-06,0.04218838984332292,0.07485957665594056,0.08693256309243715,True,128
rec,0.00019900346524082124,3.907407517544925e-05,0.1,3.907407517544925e-06,0.019634871650006495,0.07485957665594056,0.06559218714581173,True,128
