metric,start,mean,end,min,max
L_total,0.17754033207893372,0.24458871510370758,0.2287374585866928,0.10735944658517838,0.68013995885849
L_SSHR,0.16958370804786682,0.24026864853709243,0.2231033742427826,0.10469907522201538,0.6763166189193726
L_sem_pres,0.14328765869140625,0.05088272991106492,0.011957764625549316,0.008970856666564941,0.2220730185508728
L_eq,0.06257335841655731,0.08106955581090668,0.08366774022579193,0.04903755709528923,0.10675583779811859
L_orth,0.015844818204641342,0.011583810827384392,0.012547221966087818,0.007788507733494043,0.016639431938529015
L_rec,0.0,0.0018405706383461176,0.002254486083984375,0.0,0.0029668807983398438
r_sem_pres,0.2192070602472361,0.16289584559225911,0.09071680709381,0.09071680709381,0.27730415020385707
"cos(base,sem_pres)",0.11606249958276749,0.07203107404833038,0.03316456824541092,-0.054645150899887085,0.19257159531116486
r_eq,0.08316087534411923,0.1076911730084808,0.10694141271708792,0.07258453921160951,0.13203558264811432
"cos(base,eq)",0.005615974310785532,0.0055402627476723865,-0.0009118722518905997,-0.0009118722518905997,0.013736837543547153
r_orth,0.05321303733182597,0.05226383194356357,0.04218838984332292,0.034370186510088885,0.07833890679081948
"cos(base,orth)",-0.015203609131276608,-0.008661335967998538,-0.010756215080618858,-0.02625485695898533,0.0013932437868788838
r_rec,2.1186459905988243e-08,0.011949535357047913,0.019634871650006495,2.1186459905988243e-08,0.02328211955090587
"cos(base,rec)",0.0,0.0403547046913041,0.16476424038410187,-0.2718264162540436,0.43162447214126587
RMS(H),0.8186295628547668,0.6836502611637115,0.6731402277946472,0.5546865463256836,0.8186295628547668
RMS(S),0.9192843437194824,0.7611016094684601,0.7644395232200623,0.5381122827529907,0.9192843437194824
RMS(M),0.703722357749939,0.5898600041866302,0.5638982653617859,0.45744261145591736,0.7056363821029663
RMS(H_hat),0.8186295628547668,0.6812811374664307,0.6720837950706482,0.5543333292007446,0.8186295628547668
RMS(S)/RMS(M),1.3063168074657578,1.298614178854804,1.3556337555467697,0.9469722255130149,1.5289885684055606
"Cos(H,H_hat)",1.0,0.9989758968353272,0.9980936050415039,0.9975272417068481,1.0
ResidualRatio,0.0,0.0366548710843828,0.06121727839894836,0.0,0.0692717305945305
"CrossCov(S,M)",0.015844818204641342,0.012745009642094374,0.012997581623494625,0.009597106836736202,0.016226131469011307
EqErr(M),0.06257335841655731,0.07823602668941021,0.0811646357178688,0.05725669488310814,0.10812494158744812
EqErr(S),0.04565878212451935,0.0619012176990509,0.06541046500205994,0.044802214950323105,0.09156113862991333
RMS(Z_S),4.766129016876221,3.9507260799407957,4.2720417976379395,2.493182420730591,4.766129016876221
RMS(Z_H),5.801452159881592,5.037574887275696,5.547789573669434,3.7572615146636963,5.831493854522705
R_Z,0.8215406911108056,0.7802676907796353,0.7700439501009307,0.6635637181494103,0.8333633704608973
SemAgree,0.8567123413085938,0.9150844037532806,0.9869547486305237,0.8425520062446594,0.9869547486305237
