parameter,grad_norm,nonzero_grad_fraction,finite,step
p_sem.weight,0.05831402540206909,1.0,True,1
p_morph.weight,0.035933591425418854,1.0,True,1
u_sem.weight,0.05573999136686325,1.0,True,1
u_morph.weight,0.040237199515104294,1.0,True,1
p_sem.weight,0.04461850970983505,1.0,True,2
p_morph.weight,0.036614175885915756,1.0,True,2
u_sem.weight,0.0494820736348629,1.0,True,2
u_morph.weight,0.03410575911402702,1.0,True,2
p_sem.weight,0.06786870211362839,1.0,True,4
p_morph.weight,0.06280440837144852,1.0,True,4
u_sem.weight,0.07984168082475662,1.0,True,4
u_morph.weight,0.04880896210670471,1.0,True,4
p_sem.weight,0.13187137246131897,1.0,True,8
p_morph.weight,0.10080109536647797,1.0,True,8
u_sem.weight,0.14466069638729095,1.0,True,8
u_morph.weight,0.07843491435050964,1.0,True,8
p_sem.weight,0.05318563058972359,1.0,True,16
p_morph.weight,0.029915636405348778,1.0,True,16
u_sem.weight,0.049309659749269485,1.0,True,16
u_morph.weight,0.029818879440426826,1.0,True,16
p_sem.weight,0.07216555625200272,1.0,True,32
p_morph.weight,0.06293462216854095,1.0,True,32
u_sem.weight,0.07755672931671143,1.0,True,32
u_morph.weight,0.0526936873793602,1.0,True,32
p_sem.weight,0.0353669710457325,1.0,True,64
p_morph.weight,0.028605351224541664,1.0,True,64
u_sem.weight,0.03448735177516937,1.0,True,64
u_morph.weight,0.024337410926818848,1.0,True,64
p_sem.weight,0.054292041808366776,1.0,True,96
p_morph.weight,0.04015977680683136,1.0,True,96
u_sem.weight,0.050824083387851715,1.0,True,96
u_morph.weight,0.039621736854314804,1.0,True,96
p_sem.weight,0.044442154467105865,1.0,True,128
p_morph.weight,0.03275272995233536,1.0,True,128
u_sem.weight,0.04267071932554245,1.0,True,128
u_morph.weight,0.035697538405656815,1.0,True,128
