parameter,step_update_norm,cumulative_update_norm,initial_parameter_norm,relative_update_norm,finite,step
p_sem.weight,0.005886656232178211,0.005886656232178211,16.0,0.0003679160145111382,True,1
p_morph.weight,0.0036731192376464605,0.0036731192376464605,16.0,0.00022956995235290378,True,1
u_sem.weight,0.005631780717521906,0.005631780717521906,16.0,0.0003519862948451191,True,1
u_morph.weight,0.004095094278454781,0.004095094278454781,16.0,0.0002559433924034238,True,1
p_sem.weight,0.004545401781797409,0.008873860351741314,16.0,0.0005546162719838321,True,2
p_morph.weight,0.0037481961771845818,0.006200158968567848,16.0,0.0003875099355354905,True,2
u_sem.weight,0.0050240554846823215,0.009411424398422241,16.0,0.0005882140249013901,True,2
u_morph.weight,0.0035033123567700386,0.006006451323628426,16.0,0.0003754032077267766,True,2
p_sem.weight,0.0068345158360898495,0.010859998874366283,16.0,0.0006787499296478927,True,4
p_morph.weight,0.006322699598968029,0.007939044386148453,16.0,0.0004961902741342783,True,4
u_sem.weight,0.008024179376661777,0.012445609085261822,16.0,0.0007778505678288639,True,4
u_morph.weight,0.004936263896524906,0.006844882387667894,16.0,0.0004278051492292434,True,4
p_sem.weight,0.01320973876863718,0.023665355518460274,16.0,0.0014790847199037671,True,8
p_morph.weight,0.010104697197675705,0.016380444169044495,16.0,0.001023777760565281,True,8
u_sem.weight,0.014486045576632023,0.023512326180934906,16.0,0.0014695203863084316,True,8
u_morph.weight,0.007876105606555939,0.016912171617150307,16.0,0.0010570107260718942,True,8
p_sem.weight,0.0053688338957726955,0.04347500577569008,16.0,0.00271718786098063,True,16
p_morph.weight,0.0030861233826726675,0.03383389487862587,16.0,0.002114618429914117,True,16
u_sem.weight,0.0049855075776577,0.0436573252081871,16.0,0.002728582825511694,True,16
u_morph.weight,0.003076517255976796,0.03684283047914505,16.0,0.0023026769049465656,True,16
p_sem.weight,0.00726191233843565,0.06774308532476425,16.0,0.004233942832797766,True,32
p_morph.weight,0.006333305034786463,0.03824417665600777,16.0,0.0023902610410004854,True,32
u_sem.weight,0.007796787191182375,0.06186314672231674,16.0,0.0038664466701447964,True,32
u_morph.weight,0.005318905226886272,0.03873619809746742,16.0,0.002421012381091714,True,32
p_sem.weight,0.0036120505537837744,0.10570476204156876,16.0,0.006606547627598047,True,64
p_morph.weight,0.0029646651819348335,0.06518736481666565,16.0,0.004074210301041603,True,64
u_sem.weight,0.003526489483192563,0.08571002632379532,16.0,0.005356876645237207,True,64
u_morph.weight,0.0025566848926246166,0.06467267125844955,16.0,0.004042041953653097,True,64
p_sem.weight,0.00547013571485877,0.1360785961151123,16.0,0.008504912257194519,True,96
p_morph.weight,0.0040784478187561035,0.09063372015953064,16.0,0.005664607509970665,True,96
u_sem.weight,0.00512834032997489,0.11267515271902084,16.0,0.007042197044938803,True,96
u_morph.weight,0.004025702364742756,0.09107363969087601,16.0,0.0056921024806797504,True,96
p_sem.weight,0.004494516644626856,0.1728387326002121,16.0,0.010802420787513256,True,128
p_morph.weight,0.0033586868084967136,0.11462564766407013,16.0,0.007164102979004383,True,128
u_sem.weight,0.0043213642202317715,0.14508403837680817,16.0,0.00906775239855051,True,128
u_morph.weight,0.003643687814474106,0.11565325409173965,16.0,0.007228328380733728,True,128
