objective,cosine,finite,step
sem_pres,0.11606249958276749,True,1
eq,0.005615974310785532,True,1
orth,-0.015203609131276608,True,1
rec,0.0,True,1
sem_pres,-0.05459241196513176,True,2
eq,0.00018442417785990983,True,2
orth,0.0012064424809068441,True,2
rec,-0.06664685904979706,True,2
sem_pres,0.15021765232086182,True,4
eq,0.00401044636964798,True,4
orth,-0.02613079734146595,True,4
rec,0.028449807316064835,True,4
sem_pres,0.19229085743427277,True,8
eq,0.013134872540831566,True,8
orth,-0.012343885377049446,True,8
rec,0.43392214179039,True,8
