objective,base_grad_norm_h,raw_grad_norm_h,weight,weighted_grad_norm_h,ratio,base_grad_norm_osmf_parameters,objective_grad_norm_osmf_parameters,finite,step
sem_pres,0.00017411753651686013,0.000763355870731175,0.05,3.816779353655875e-05,0.2192070602472361,0.08019015927703145,0.7048295987967201,True,1
eq,0.00017411753651686013,0.0002895953366532922,0.05,1.4479766832664609e-05,0.08316087534411923,0.08019015927703145,0.14084254821594208,True,1
orth,0.00017411753651686013,0.00018530646048020571,0.05,9.265323024010286e-06,0.05321303733182597,0.08019015927703145,0.10742779605592974,True,1
rec,0.00017411753651686013,3.6889342275303605e-11,0.1,3.688934227530361e-12,2.1186459905988243e-08,0.08019015927703145,1.0951581269156958e-08,True,1
sem_pres,0.00022054047440178692,0.00043134839506819844,0.05,2.1567419753409923e-05,0.09779347629553162,0.07887924793244815,0.4976791383435197,True,2
eq,0.00022054047440178692,0.00032015115721151233,0.05,1.6007557860575616e-05,0.0725833107569601,0.07887924793244815,0.1695945644915673,True,2
orth,0.00022054047440178692,0.00024232614669017494,0.05,1.2116307334508748e-05,0.05493915487592431,0.07887924793244815,0.12457167358481863,True,2
rec,0.00022054047440178692,3.821548034466105e-06,0.1,3.821548034466105e-07,0.00173281028233203,0.07887924793244815,0.008825062220294527,True,2
sem_pres,0.0002160890871891752,0.0004516268090810627,0.05,2.2581340454053136e-05,0.10450014224820228,0.1244116592320804,0.40989778684732564,True,4
eq,0.0002160890871891752,0.000351930211763829,0.05,1.759651058819145e-05,0.08143174065682847,0.1244116592320804,0.18668391477412571,True,4
orth,0.0002160890871891752,0.00019553418678697199,0.05,9.7767093393486e-06,0.04524388261007229,0.1244116592320804,0.113155764937045,True,4
rec,0.0002160890871891752,4.199515387881547e-06,0.1,4.1995153878815475e-07,0.0019434185331029218,0.1244116592320804,0.009617659912127336,True,4
sem_pres,0.00021001690765842795,0.0005168531206436455,0.05,2.5842656032182277e-05,0.12305035912233543,0.22842431029400073,0.2895625572951597,True,8
eq,0.00021001690765842795,0.0005513799260370433,0.05,2.7568996301852167e-05,0.13127036521945218,0.22842431029400073,0.2905985240731174,True,8
orth,0.00021001690765842795,0.0003018761344719678,0.05,1.509380672359839e-05,0.07186948336691784,0.22842431029400073,0.1747745896896979,True,8
rec,0.00021001690765842795,1.8128037481801584e-05,0.1,1.8128037481801585e-06,0.008631703798328482,0.22842431029400073,0.03599099974512399,True,8
