metric,start,mean,end,min,max
L_total,0.17754033207893372,0.28664667573240066,0.3043203353881836,0.17754033207893372,0.46952614188194275
L_SSHR,0.16958370804786682,0.280132167869144,0.2963627874851227,0.16958370804786682,0.4650970995426178
L_sem_pres,0.14328765869140625,0.09638147883945042,0.04052037000656128,0.039333462715148926,0.18981552124023438
L_eq,0.06257335841655731,0.080416073401769,0.1070907711982727,0.06257335841655731,0.1070907711982727
L_orth,0.015844818204641342,0.013706990000274446,0.010548744350671768,0.008971583098173141,0.01664501428604126
L_rec,0.0,0.00017441643608940972,0.0004953145980834961,0.0,0.0006164312362670898
r_sem_pres,0.2192070602472361,0.13613775947832635,0.12305035912233543,0.09779347629553162,0.2192070602472361
"cos(base,sem_pres)",0.11606249958276749,0.10099464934319258,0.19229085743427277,-0.05459241196513176,0.19229085743427277
r_eq,0.08316087534411923,0.09211157299433999,0.13127036521945218,0.0725833107569601,0.13127036521945218
"cos(base,eq)",0.005615974310785532,0.005736429349781247,0.013134872540831566,0.00018442417785990983,0.013134872540831566
r_orth,0.05321303733182597,0.0563163895461851,0.07186948336691784,0.04524388261007229,0.07186948336691784
"cos(base,orth)",-0.015203609131276608,-0.01311796234222129,-0.012343885377049446,-0.02613079734146595,0.0012064424809068441
r_rec,2.1186459905988243e-08,0.0030769884500558347,0.008631703798328482,2.1186459905988243e-08,0.008631703798328482
"cos(base,rec)",0.0,0.09893127251416445,0.43392214179039,-0.06664685904979706,0.43392214179039
RMS(H),0.8186295628547668,0.7603410601615905,0.6202527284622192,0.6202527284622192,0.8186295628547668
RMS(S),0.9192843437194824,0.8532902240753174,0.7336359024047852,0.7336359024047852,0.9192843437194824
RMS(M),0.703722357749939,0.6516179025173188,0.4791320264339447,0.4791320264339447,0.7055450677871704
RMS(H_hat),0.8186295628547668,0.7592445254325867,0.6195036768913269,0.6195036768913269,0.8186295628547668
RMS(S)/RMS(M),1.3063168074657578,1.3229857905329931,1.5311769239545843,1.2344339867772256,1.5311769239545843
"Cos(H,H_hat)",1.0,0.9998945355415344,0.9996923804283142,0.9996923804283142,1.0
ResidualRatio,0.0,0.011863715894704304,0.024555453049004465,0.0,0.024555453049004465
"CrossCov(S,M)",0.015844818204641342,0.014454568549990655,0.010872910730540752,0.010872910730540752,0.016220327466726303
EqErr(M),0.06257335841655731,0.07006557062268257,0.10827571153640747,0.05751204863190651,0.10827571153640747
EqErr(S),0.04565878212451935,0.05090185701847076,0.0640675276517868,0.04480723664164543,0.0640675276517868
RMS(Z_S),4.766129016876221,4.393683910369873,3.985200881958008,3.985200881958008,4.766129016876221
RMS(Z_H),5.801452159881592,5.439772510528565,4.899845600128174,4.899845600128174,5.8312668800354
R_Z,0.8215406911108056,0.8078405786112883,0.8133319306740904,0.7590889134676941,0.8333636923788754
SemAgree,0.8567123413085938,0.8905536890029907,0.948259711265564,0.84283846616745,0.948259711265564
