parameter,step_update_norm,cumulative_update_norm,initial_parameter_norm,relative_update_norm,finite,step
p_sem.weight,0.005886656232178211,0.005886656232178211,16.0,0.0003679160145111382,True,1
p_morph.weight,0.0036731192376464605,0.0036731192376464605,16.0,0.00022956995235290378,True,1
u_sem.weight,0.005631780717521906,0.005631780717521906,16.0,0.0003519862948451191,True,1
u_morph.weight,0.004095094278454781,0.004095094278454781,16.0,0.0002559433924034238,True,1
p_sem.weight,0.004545402247458696,0.008874199353158474,16.0,0.0005546374595724046,True,2
p_morph.weight,0.0037480355240404606,0.006200192030519247,16.0,0.00038751200190745294,True,2
u_sem.weight,0.005024351179599762,0.009411853738129139,16.0,0.0005882408586330712,True,2
u_morph.weight,0.003502680454403162,0.006006195675581694,16.0,0.00037538722972385585,True,2
p_sem.weight,0.006831462029367685,0.010866348631680012,16.0,0.0006791467894800007,True,4
p_morph.weight,0.006330502685159445,0.007933791726827621,16.0,0.0004958619829267263,True,4
u_sem.weight,0.008028818294405937,0.01246059313416481,16.0,0.0007787870708853006,True,4
u_morph.weight,0.004932831507176161,0.006823351141065359,16.0,0.00042645944631658494,True,4
p_sem.weight,0.013457518070936203,0.023807065561413765,16.0,0.0014879415975883603,True,8
p_morph.weight,0.010282229632139206,0.01646512746810913,16.0,0.0010290704667568207,True,8
u_sem.weight,0.014775693416595459,0.023632697761058807,16.0,0.0014770436100661755,True,8
u_morph.weight,0.007998391054570675,0.01706141047179699,16.0,0.0010663381544873118,True,8
