step,flip_dimension,flip_type,eq_before,eq_after,delta,improved,harmed,neutral,semantic_eq_before,semantic_eq_after,input_batch_sha256
4,3,horizontal,0.0716540664434433,0.05725409463047981,-0.014399971812963486,True,False,False,0.03903238847851753,0.04837626591324806,8e1ce2ae630a4bcb5d5a3acfee8f59e87332975431a66645955179214b40daab
8,2,vertical,0.10676026344299316,0.10812392085790634,0.0013636574149131775,False,True,False,0.05534842982888222,0.06421439349651337,c06b19df9075cbc97c7050c8cbc23b5099b67bdca8f531f67f67875275f0e68a
12,3,horizontal,0.049036648124456406,0.0705471932888031,0.021510545164346695,False,True,False,0.03932574763894081,0.061933208256959915,8909b44a1465ac36b74007d2e8274b80eba24e7ff77dcc5a99147aef14dafcf8
16,2,vertical,0.08482098579406738,0.07910225540399551,-0.005718730390071869,True,False,False,0.07126830518245697,0.06830823421478271,0410048821c32381fe5d3d4f1e4898eb03e4a2a4749891f0c666dd1f1d57b7f4
20,3,horizontal,0.07702452689409256,0.07889031618833542,0.0018657892942428589,False,True,False,0.0624280720949173,0.06529560685157776,16fb105b90215df72d2899ae7adf327f3a192b2a3166e9527d5d1ac9d98bb6b1
24,2,vertical,0.09577825665473938,0.0933646708726883,-0.0024135857820510864,True,False,False,0.08558828383684158,0.0779329389333725,abc3747a8b26d77a88ac7a5f8d2a0dc03b2a640b53e0301909ccb5cfbec995d2
28,3,horizontal,0.08426348119974136,0.08278859406709671,-0.0014748871326446533,True,False,False,0.05609291046857834,0.057844169437885284,b82e70f861d1841bac64f442cca83ca75211228c19b6cd66ff373ee64e14f642
32,2,vertical,0.09951712936162949,0.08137743920087814,-0.018139690160751343,True,False,False,0.07929883152246475,0.09155472368001938,fc8eafa04e93925a0b076553bd9e02409932917e869541f70392989adf54e530
36,3,horizontal,0.07211621105670929,0.07889951765537262,0.00678330659866333,False,True,False,0.06101576238870621,0.057933151721954346,f8f4a271cb0423ff46b72806b97c8c088886bf83e1f198eac15c16c1ac687c48
40,2,vertical,0.09016537666320801,0.08865858614444733,-0.0015067905187606812,True,False,False,0.0782821923494339,0.07549870759248734,b6b7b98f5747afda820868dad16e03e440178bcbc335abb0796100b9a96d66ab
44,3,horizontal,0.06799048185348511,0.06891926378011703,0.0009287819266319275,False,True,False,0.05436292663216591,0.05557907000184059,f7218fde6a209b92e22d6b7bcf4daf251a29d078818a3c3bd9e26a0e1e33f316
