step,batch_position,image_id,image_path,dataset_hflip,dataset_vflip,photometric_transform,pair_flip_dimension,pair_flip_type,tensor_sha256
4,0,TCGA-A7-A5ZV-DX1_xmin103009_ymin26581_MPP-0.2500+58[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A7-A5ZV-DX1_xmin103009_ymin26581_MPP-0.2500+58[0110].png,True,False,none; frozen ImageNet normalization,3,horizontal,95aa2e3709b869d195140eaca5af7fd260c3eb3730025de281ed9e91b4bc20ba
4,1,TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0.2500+317[0100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0.2500+317[0100].png,False,True,none; frozen ImageNet normalization,3,horizontal,e1d9712319956a8259c3948550393b2273ff1ad54299b6a7e8d70f1359579417
4,2,TCGA-A2-A0YM-DX1_xmin44520_ymin66915_MPP-0.2500+140[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A2-A0YM-DX1_xmin44520_ymin66915_MPP-0.2500+140[1100].png,False,True,none; frozen ImageNet normalization,3,horizontal,d4279c0c92f57efc440210de141218e120903a0ed01150138cf212655f913ef4
4,3,TCGA-A8-A07C-DX1_xmin23538_ymin17397_MPP-0.2500+15[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A8-A07C-DX1_xmin23538_ymin17397_MPP-0.2500+15[1100].png,True,True,none; frozen ImageNet normalization,3,horizontal,1317c045d0bbfd54ea2b78094e8cc3f0b98485e19c64943a69b6953582cf32b6
4,4,TCGA-AQ-A54N-DX1_xmin32440_ymin26558_MPP-0.2500+60[1000],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AQ-A54N-DX1_xmin32440_ymin26558_MPP-0.2500+60[1000].png,False,False,none; frozen ImageNet normalization,3,horizontal,6ee0d51c897132e39e3590c521ef0f6965bf6ee6731a86d19df0e62eef9a3998
4,5,TCGA-AN-A0AR-DX1_xmin8468_ymin21166_MPP-0.2500+36[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AN-A0AR-DX1_xmin8468_ymin21166_MPP-0.2500+36[1100].png,True,True,none; frozen ImageNet normalization,3,horizontal,a4d72a91892e08fd850d4290dbd777934ea69ce23454a7bd220d81911d38c7f3
4,6,TCGA-A7-A0DA-DX1_xmin43731_ymin18175_MPP-0.2500+82[1110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-A7-A0DA-DX1_xmin43731_ymin18175_MPP-0.2500+82[1110].png,True,True,none; frozen ImageNet normalization,3,horizontal,bde5eb764140d71239549f20f417162064ad1b1820c86349ef583f86c25fd33c
4,7,TCGA-AO-A0J6-DX1_xmin40548_ymin11135_MPP-0.2500+192[1000],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AO-A0J6-DX1_xmin40548_ymin11135_MPP-0.2500+192[1000].png,False,False,none; frozen ImageNet normalization,3,horizontal,ed6326e1b5fdd8a2d05a4c46207621121e6a88ed26544e0324f988a4ec1167fd
4,8,TCGA-BH-A0BW-DX1_xmin42346_ymin30843_MPP-0.2500+9[0110],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-BH-A0BW-DX1_xmin42346_ymin30843_MPP-0.2500+9[0110].png,False,True,none; frozen ImageNet normalization,3,horizontal,c5099ceec0b62b1df7dfbac2d28c0d5575d2dbac32b6c582643ca26de80a9c94
4,9,TCGA-AN-A0AR-DX1_xmin8468_ymin21166_MPP-0.2500+176[1100],/home/duyanhong/reseg-data/raw/BCSS-WSSS/training/TCGA-AN-A0AR-DX1_xmin8468_ymin21166_MPP-0.2500+176[1100].png,True,False,none; frozen ImageNet normalization,3,horizontal,3f26b45cf795e5d040a9fdbfda7fc63777f505a185b9fd6efc7904e8b0ed47e7
