parameter,step_update_norm,cumulative_update_norm,initial_parameter_norm,relative_update_norm,finite,step
p_sem.weight,0.08325497061014175,0.08325497061014175,16.0,0.00520343566313386,True,1
p_morph.weight,0.0036731192376464605,0.0036731192376464605,16.0,0.00022956995235290378,True,1
u_sem.weight,0.004075862001627684,0.004075862001627684,16.0,0.00025474137510173023,True,1
u_morph.weight,0.004095094278454781,0.004095094278454781,16.0,0.0002559433924034238,True,1
semantic_classifier.weight,0.04832889139652252,0.04832889139652252,2.837737560272217,0.017030782997608185,True,1
semantic_classifier.bias,0.0073687611147761345,0.0073687611147761345,0.0,7368761344.0,True,1
p_sem.weight,0.04445858672261238,0.11877956241369247,16.0,0.00742372265085578,True,2
p_morph.weight,0.0029831251595169306,0.005070057697594166,16.0,0.00031687860609963536,True,2
u_sem.weight,0.00383562920615077,0.006175455637276173,16.0,0.0003859659773297608,True,2
u_morph.weight,0.0030031949281692505,0.005511225201189518,16.0,0.0003444515750743449,True,2
semantic_classifier.weight,0.027867522090673447,0.07254554331302643,2.837737560272217,0.02556457184255123,True,2
semantic_classifier.bias,0.004626596346497536,0.011195926927030087,0.0,11195926528.0,True,2
