level,class_id,branch,count,fraction
image,-1,cam56,1532,0.44821533060269164
image,-1,cam28_1,818,0.2393212404915155
image,-1,cam28_2,577,0.16881217086015213
image,-1,camdeep,491,0.14365125804564072
image_class,0,cam56,1366,0.667644183773216
image_class,0,cam28_1,292,0.14271749755620725
image_class,0,cam28_2,197,0.09628543499511241
image_class,0,camdeep,191,0.09335288367546432
image_class,1,cam56,1177,0.4338370807224475
image_class,1,cam28_1,674,0.2484334684850719
image_class,1,cam28_2,435,0.1603391079985256
image_class,1,camdeep,427,0.15739034279395503
image_class,2,cam56,452,0.47478991596638653
image_class,2,cam28_1,186,0.1953781512605042
image_class,2,cam28_2,184,0.19327731092436976
image_class,2,camdeep,130,0.13655462184873948
image_class,3,cam56,196,0.5012787723785166
image_class,3,cam28_1,55,0.14066496163682865
image_class,3,cam28_2,96,0.24552429667519182
image_class,3,camdeep,44,0.11253196930946291
