fold,step,loss
0,1,1.1737879514694214
0,50,1.1505072116851807
0,100,1.1750441789627075
0,150,1.1163129806518555
0,200,1.1236768960952759
0,250,1.1350998878479004
0,300,1.1814379692077637
0,350,1.1260151863098145
0,400,1.125317931175232
0,450,1.1789731979370117
0,500,1.1338995695114136
1,1,1.1633473634719849
1,50,1.117504358291626
1,100,1.1324151754379272
1,150,1.1221201419830322
1,200,1.1249260902404785
1,250,1.1660791635513306
1,300,1.1680657863616943
1,350,1.124544620513916
1,400,1.1442441940307617
1,450,1.145316481590271
1,500,1.1405328512191772
2,1,1.182143211364746
2,50,1.117811918258667
2,100,1.120772361755371
2,150,1.1289129257202148
2,200,1.134110450744629
2,250,1.1202529668807983
2,300,1.1348809003829956
2,350,1.1592130661010742
2,400,1.1417927742004395
2,450,1.1700704097747803
2,500,1.1475077867507935
3,1,1.1605058908462524
3,50,1.1044667959213257
3,100,1.1783277988433838
3,150,1.1316595077514648
3,200,1.1519529819488525
3,250,1.1158794164657593
3,300,1.130866527557373
3,350,1.1706609725952148
3,400,1.1646839380264282
3,450,1.1698822975158691
3,500,1.151776671409607
4,1,1.1315386295318604
4,50,1.1364930868148804
4,100,1.1120290756225586
4,150,1.1520661115646362
4,200,1.1503968238830566
4,250,1.1072965860366821
4,300,1.138363242149353
4,350,1.1512150764465332
4,400,1.1510682106018066
4,450,1.1423882246017456
4,500,1.1346988677978516
