fold,class_id,branch,weight
0,0,cam56,0.18562859296798706
0,0,cam28_1,0.8132551312446594
0,0,cam28_2,0.0005911249318160117
0,0,camdeep,0.000525195908267051
0,1,cam56,8.064518624451011e-06
0,1,cam28_1,0.5261521935462952
0,1,cam28_2,0.47291630506515503
0,1,camdeep,0.0009234610479325056
0,2,cam56,3.1595311611454235e-07
0,2,cam28_1,0.9942272901535034
0,2,cam28_2,0.005108918994665146
0,2,camdeep,0.0006633439916186035
0,3,cam56,5.819432544740266e-07
0,3,cam28_1,0.9978324770927429
0,3,cam28_2,0.0013680653646588326
0,3,camdeep,0.0007989273290149868
1,0,cam56,6.550488615175709e-05
1,0,cam28_1,0.9988865256309509
1,0,cam28_2,0.0004899297491647303
1,0,camdeep,0.0005581418517976999
1,1,cam56,5.828581834066426e-06
1,1,cam28_1,0.3572171926498413
1,1,cam28_2,0.6416503190994263
1,1,camdeep,0.001126735471189022
1,2,cam56,2.5564898464836006e-07
1,2,cam28_1,0.9918253421783447
1,2,cam28_2,0.007621860597282648
1,2,camdeep,0.0005525471642613411
1,3,cam56,3.9938441886988585e-07
1,3,cam28_1,0.9955713152885437
1,3,cam28_2,0.003767208429053426
1,3,camdeep,0.0006611558492295444
2,0,cam56,9.652890184952412e-06
2,0,cam28_1,0.9989627599716187
2,0,cam28_2,0.00044478545896708965
2,0,camdeep,0.0005828328430652618
2,1,cam56,2.792918394334265e-06
2,1,cam28_1,0.9043126106262207
2,1,cam28_2,0.09480463713407516
2,1,camdeep,0.0008800054201856256
2,2,cam56,3.3407712862754124e-07
2,2,cam28_1,0.9887832999229431
2,2,cam28_2,0.010431488044559956
2,2,camdeep,0.000784881180152297
2,3,cam56,7.237367185553012e-07
2,3,cam28_1,0.9592391848564148
2,3,cam28_2,0.03983866423368454
2,3,camdeep,0.000921471684705466
3,0,cam56,5.820613750984194e-06
3,0,cam28_1,0.9987143278121948
3,0,cam28_2,0.0006374324439093471
3,0,camdeep,0.0006424247985705733
3,1,cam56,1.164374225481879e-06
3,1,cam28_1,0.9230024218559265
3,1,cam28_2,0.07626267522573471
3,1,camdeep,0.0007336439448408782
3,2,cam56,3.9135036900006526e-07
3,2,cam28_1,0.994818389415741
3,2,cam28_2,0.004403742030262947
3,2,camdeep,0.0007775451522320509
3,3,cam56,5.197871928430686e-07
3,3,cam28_1,0.9953306913375854
3,3,cam28_2,0.004061936400830746
3,3,camdeep,0.0006069210940040648
4,0,cam56,2.124143293258385e-06
4,0,cam28_1,0.9988833069801331
4,0,cam28_2,0.0006064506596885622
4,0,camdeep,0.0005080580594949424
4,1,cam56,1.502970576439111e-06
4,1,cam28_1,0.7424842715263367
4,1,cam28_2,0.25660690665245056
4,1,camdeep,0.0009073110995814204
4,2,cam56,3.646330526407837e-07
4,2,cam28_1,0.9920521974563599
4,2,cam28_2,0.007299456745386124
4,2,camdeep,0.0006480106385424733
4,3,cam56,6.18482204117754e-07
4,3,cam28_1,0.9924660921096802
4,3,cam28_2,0.006607151590287685
4,3,camdeep,0.0009261498926207423
