class_id,branch_i,branch_j,intersection,union,jaccard
-1,cam56,cam56,30949461,30949461,1.0
-1,cam56,cam28_1,22583177,35655239,0.6333761218091961
-1,cam56,cam28_2,21494818,37856760,0.5677933874953905
-1,cam56,camdeep,22039772,38624629,0.5706144646722691
-1,cam28_1,cam56,22583177,35655239,0.6333761218091961
-1,cam28_1,cam28_1,27288955,27288955,1.0
-1,cam28_1,cam28_2,24062483,31628589,0.7607826893574038
-1,cam28_1,camdeep,23597873,33406022,0.7063957809762563
-1,cam28_2,cam56,21494818,37856760,0.5677933874953905
-1,cam28_2,cam28_1,24062483,31628589,0.7607826893574038
-1,cam28_2,cam28_2,28402117,28402117,1.0
-1,cam28_2,camdeep,25594996,32522061,0.7870041200648384
-1,camdeep,cam56,22039772,38624629,0.5706144646722691
-1,camdeep,cam28_1,23597873,33406022,0.7063957809762563
-1,camdeep,cam28_2,25594996,32522061,0.7870041200648384
-1,camdeep,camdeep,29714940,29714940,1.0
0,cam56,cam56,6256258,6256258,1.0
0,cam56,cam28_1,5019917,8603979,0.5834413356889876
0,cam56,cam28_2,4987638,10253572,0.4864293145842249
0,cam56,camdeep,4969243,10175893,0.48833483213709106
0,cam28_1,cam56,5019917,8603979,0.5834413356889876
0,cam28_1,cam28_1,7367638,7367638,1.0
0,cam28_1,cam28_2,6718250,9634340,0.6973233246906378
0,cam28_1,camdeep,6458419,9798097,0.6591503431737816
0,cam28_2,cam56,4987638,10253572,0.4864293145842249
0,cam28_2,cam28_1,6718250,9634340,0.6973233246906378
0,cam28_2,cam28_2,8984952,8984952,1.0
0,cam28_2,camdeep,7790750,10083080,0.7726557758145328
0,camdeep,cam56,4969243,10175893,0.48833483213709106
0,camdeep,cam28_1,6458419,9798097,0.6591503431737816
0,camdeep,cam28_2,7790750,10083080,0.7726557758145328
0,camdeep,camdeep,8888878,8888878,1.0
1,cam56,cam56,12576692,12576692,1.0
1,cam56,cam28_1,8964559,14145248,0.6337505712165669
1,cam56,cam28_2,8179691,14517619,0.5634319925326597
1,cam56,camdeep,8269974,14996566,0.5514578470831256
1,cam28_1,cam56,8964559,14145248,0.6337505712165669
1,cam28_1,cam28_1,10533115,10533115,1.0
1,cam28_1,cam28_2,8864008,11789725,0.7518417944438908
1,cam28_1,camdeep,8575883,12647080,0.6780919390088463
1,cam28_2,cam56,8179691,14517619,0.5634319925326597
1,cam28_2,cam28_1,8864008,11789725,0.7518417944438908
1,cam28_2,cam28_2,10120618,10120618,1.0
1,cam28_2,camdeep,8984387,11826079,0.7597097059811625
1,camdeep,cam56,8269974,14996566,0.5514578470831256
1,camdeep,cam28_1,8575883,12647080,0.6780919390088463
1,camdeep,cam28_2,8984387,11826079,0.7597097059811625
1,camdeep,camdeep,10689848,10689848,1.0
2,cam56,cam56,7970513,7970513,1.0
2,cam56,cam28_1,6105878,8613967,0.7088346170817696
2,cam56,cam28_2,5933069,8821120,0.6725981508017123
2,cam56,camdeep,6292308,9091404,0.692116201194007
2,cam28_1,cam56,6105878,8613967,0.7088346170817696
2,cam28_1,cam28_1,6749332,6749332,1.0
2,cam28_1,cam28_2,6051117,7481891,0.808768398256537
2,cam28_1,camdeep,6132022,8030509,0.7635907014113302
2,cam28_2,cam56,5933069,8821120,0.6725981508017123
2,cam28_2,cam28_1,6051117,7481891,0.808768398256537
2,cam28_2,cam28_2,6783676,6783676,1.0
2,cam28_2,camdeep,6379932,7816943,0.8161671384836757
2,camdeep,cam56,6292308,9091404,0.692116201194007
2,camdeep,cam28_1,6132022,8030509,0.7635907014113302
2,camdeep,cam28_2,6379932,7816943,0.8161671384836757
2,camdeep,camdeep,7413199,7413199,1.0
3,cam56,cam56,4145998,4145998,1.0
3,cam56,cam28_1,2492823,4292045,0.5808007604766492
3,cam56,cam28_2,2394420,4264449,0.5614840275965313
3,cam56,camdeep,2508247,4360766,0.5751849560375402
3,cam28_1,cam56,2492823,4292045,0.5808007604766492
3,cam28_1,cam28_1,2638870,2638870,1.0
3,cam28_1,cam28_2,2429108,2722633,0.8921907579905187
3,cam28_1,camdeep,2431549,2930336,0.8297850485405087
3,cam28_2,cam56,2394420,4264449,0.5614840275965313
3,cam28_2,cam28_1,2429108,2722633,0.8921907579905187
3,cam28_2,cam28_2,2512871,2512871,1.0
3,cam28_2,camdeep,2439927,2795959,0.8726619381757744
3,camdeep,cam56,2508247,4360766,0.5751849560375402
3,camdeep,cam28_1,2431549,2930336,0.8297850485405087
3,camdeep,cam28_2,2439927,2795959,0.8726619381757744
3,camdeep,camdeep,2723015,2723015,1.0
