branch,class_id,foreground_pixels,recoverable,harmful,net,recoverable_rate,harmful_rate
cam56,-1,158639345,4871914,8699810,-3827896,0.03071062856443337,0.054840178519395676
cam56,0,61781842,2685595,1182962,1502633,0.04346900178210938,0.019147405802501
cam56,1,66845621,1466932,3901562,-2434630,0.021945072512678132,0.058366755243398814
cam56,2,20708801,620296,1891422,-1271126,0.02995325514016963,0.09133421099560521
cam56,3,9303081,99091,1723864,-1624773,0.010651417525011338,0.18530033222327097
cam28_1,-1,158639345,1222138,1389528,-167390,0.007703876992179967,0.008759037677569836
cam28_1,0,61781842,638808,247555,391253,0.01033973703794717,0.004006921645359813
cam28_1,1,66845621,332298,723351,-391053,0.004971125932093592,0.010821217443697621
cam28_1,2,20708801,234358,284303,-49945,0.011316830945451646,0.013728607465009684
cam28_1,3,9303081,16674,134319,-117645,0.0017923094510302554,0.014438120016368771
cam28_2,-1,158639345,1944682,3225234,-1280552,0.01225851001843206,0.02033060587838408
cam28_2,0,61781842,431819,1657880,-1226061,0.006989416081184501,0.026834421673604357
cam28_2,1,66845621,985695,964251,21444,0.014745842513752695,0.01442504363898422
cam28_2,2,20708801,441473,525762,-84289,0.021318134256058573,0.025388336099226604
cam28_2,3,9303081,85695,77341,8354,0.009211464459999865,0.008313482382879392
camdeep,-1,158639345,2547383,5140758,-2593375,0.01605769993566224,0.03240531533964667
camdeep,0,61781842,748717,1878704,-1129987,0.01211872252044541,0.03040867574003378
camdeep,1,66845621,1312639,1860425,-547786,0.01963687344605565,0.02783166604137016
camdeep,2,20708801,385276,1099088,-713812,0.01860445710980563,0.053073473447352165
camdeep,3,9303081,100751,302541,-201790,0.010829853034709683,0.032520516590149005
