branch_i,branch_j,class_id,pixels,both_correct,both_wrong,i_wrong_j_correct,i_correct_j_wrong
cam56,cam28_1,-1,158639345,122984106,22583177,8366284,4705778
cam56,cam28_1,0,61781842,53177863,5019917,1236341,2347721
cam56,cam28_1,1,66845621,52700373,8964559,3612133,1568556
cam56,cam28_1,2,20708801,12094834,6105878,1864635,643454
cam56,cam28_1,3,9303081,5011036,2492823,1653175,146047
cam56,cam28_2,-1,158639345,120782585,21494818,9454643,6907299
cam56,cam28_2,0,61781842,51528270,4987638,1268620,3997314
cam56,cam28_2,1,66845621,52328002,8179691,4397001,1940927
cam56,cam28_2,2,20708801,11887681,5933069,2037444,850607
cam56,cam28_2,3,9303081,5038632,2394420,1751578,118451
cam56,camdeep,-1,158639345,120014716,22039772,8909689,7675168
cam56,camdeep,0,61781842,51605949,4969243,1287015,3919635
cam56,camdeep,1,66845621,51849055,8269974,4306718,2419874
cam56,camdeep,2,20708801,11617397,6292308,1678205,1120891
cam56,camdeep,3,9303081,4942315,2508247,1637751,214768
cam28_1,cam28_2,-1,158639345,127010756,24062483,3226472,4339634
cam28_1,cam28_2,0,61781842,52147502,6718250,649388,2266702
cam28_1,cam28_2,1,66845621,55055896,8864008,1669107,1256610
cam28_1,cam28_2,2,20708801,13226910,6051117,698215,732559
cam28_1,cam28_2,3,9303081,6580448,2429108,209762,83763
cam28_1,camdeep,-1,158639345,125233323,23597873,3691082,6117067
cam28_1,camdeep,0,61781842,51983745,6458419,909219,2430459
cam28_1,camdeep,1,66845621,54198541,8575883,1957232,2113965
cam28_1,camdeep,2,20708801,12678292,6132022,617310,1281177
cam28_1,camdeep,3,9303081,6372745,2431549,207321,291466
cam28_2,camdeep,-1,158639345,126117284,25594996,2807121,4119944
cam28_2,camdeep,0,61781842,51698762,7790750,1194202,1098128
cam28_2,camdeep,1,66845621,55019542,8984387,1136231,1705461
cam28_2,camdeep,2,20708801,12891858,6379932,403744,1033267
cam28_2,camdeep,3,9303081,6507122,2439927,72944,283088
