category,rank,image_name,recoverable_pixels,figure
type_a_cam56,1,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+8,23406,figures/qualitative/type_a_cam56_01_TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+8.png
type_a_cam56,2,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+124,19596,figures/qualitative/type_a_cam56_02_TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+124.png
type_a_cam56,3,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+406,17320,figures/qualitative/type_a_cam56_03_TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+406.png
type_a_cam56,4,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+363,17182,figures/qualitative/type_a_cam56_04_TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+363.png
type_a_cam56,5,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+89,17008,figures/qualitative/type_a_cam56_05_TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+89.png
type_a_cam56,6,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+29,16964,figures/qualitative/type_a_cam56_06_TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+29.png
type_b_cam28_1,1,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+25,7328,figures/qualitative/type_b_cam28_1_01_TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+25.png
type_b_cam28_1,2,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+166,5563,figures/qualitative/type_b_cam28_1_02_TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+166.png
type_b_cam28_1,3,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+388,5559,figures/qualitative/type_b_cam28_1_03_TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+388.png
type_b_cam28_1,4,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+138,5476,figures/qualitative/type_b_cam28_1_04_TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+138.png
type_b_cam28_1,5,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+31,5226,figures/qualitative/type_b_cam28_1_05_TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+31.png
