branch,class_id,foreground_pixels,unique_correct,unique_rate
cam56,-1,158639345,2956418,0.018636095604151668
cam56,0,61781842,1807187,0.02925110261361259
cam56,1,66845621,710921,0.010635266594351782
cam56,2,20708801,362024,0.017481649468745197
cam56,3,9303081,76286,0.00820007909207713
cam28_1,-1,158639345,780588,0.004920519559633835
cam28_1,0,61781842,249637,0.004040620867212085
cam28_1,1,66845621,228634,0.0034203287602040527
cam28_1,2,20708801,258232,0.012469674125508281
cam28_1,3,9303081,44085,0.004738752677741922
cam28_2,-1,158639345,648707,0.004089193636042812
cam28_2,0,61781842,110420,0.0017872565210988692
cam28_2,1,66845621,276077,0.004130068594919628
cam28_2,2,20708801,219225,0.010586078836722608
cam28_2,3,9303081,42985,0.004620512279749042
camdeep,-1,158639345,745369,0.004698512843708476
camdeep,0,61781842,207083,0.0033518424394015315
camdeep,1,66845621,367019,0.0054905466432872245
camdeep,2,20708801,129593,0.006257870747804279
camdeep,3,9303081,41674,0.0044795912235957094
