bootstrap,ci95_high,ci95_low,count,group,left,mean_S_JS,observed_difference,right,row_type,std_S_JS
"{'observed': 0.29111716302911983, 'bootstrap_mean': 0.2910920766969256, 'ci95_low': 0.287005533850038, 'ci95_high': 0.29511689696462295}",,,19934592,Corrected_by_CH,,0.29111716302912,,,group,0.14612866128957827
"{'observed': 0.1785874154971496, 'bootstrap_mean': 0.17859783677222654, 'ci95_low': 0.17582498810850014, 'ci95_high': 0.18140879716258076}",,,24262754,Still_Wrong,,0.17858741549714946,,,group,0.15947852684354366
"{'observed': 0.2354411884155617, 'bootstrap_mean': 0.23548052166675926, 'ci95_low': 0.23192049654237515, 'ci95_high': 0.2390623407374066}",,,4443224,Harmed_by_CH,,0.2354411884155617,,,group,0.1351844402729799
"{'observed': 0.08317478711760795, 'bootstrap_mean': 0.08316648147124611, 'ci95_low': 0.08204080298399988, 'ci95_high': 0.08431129577111152}",,,109998775,Stable_Correct,,0.08317478711760787,,,group,0.09915036234387943
,0.11647728285002346,0.1084211614215061,,,Corrected_by_CH,,0.11252974753197054,Still_Wrong,pairwise,
,0.060707945327164614,0.05052037300723264,,,Corrected_by_CH,,0.055675974613558304,Harmed_by_CH,pairwise,
,0.212007857210804,0.2038084488252606,,,Corrected_by_CH,,0.20794237591151213,Stable_Correct,pairwise,
,-0.05285114163456281,-0.06095532770277921,,,Still_Wrong,,-0.05685377291841223,Harmed_by_CH,pairwise,
,0.0983799464535966,0.09255762227036433,,,Still_Wrong,,0.09541262837954159,Stable_Correct,pairwise,
,0.1559163694002375,0.14875133901704474,,,Harmed_by_CH,,0.15226640129795382,Stable_Correct,pairwise,
