C0_hist_0_0,C0_hist_0_1,C0_hist_0_2,C0_hist_0_3,C0_hist_0_4,C0_hist_1_0,C0_hist_1_1,C0_hist_1_2,C0_hist_1_3,C0_hist_1_4,C0_hist_2_0,C0_hist_2_1,C0_hist_2_2,C0_hist_2_3,C0_hist_2_4,C0_hist_3_0,C0_hist_3_1,C0_hist_3_2,C0_hist_3_3,C0_hist_3_4,C0_hist_4_0,C0_hist_4_1,C0_hist_4_2,C0_hist_4_3,C0_hist_4_4,DD_hist_0_0,DD_hist_0_1,DD_hist_0_2,DD_hist_0_3,DD_hist_0_4,DD_hist_1_0,DD_hist_1_1,DD_hist_1_2,DD_hist_1_3,DD_hist_1_4,DD_hist_2_0,DD_hist_2_1,DD_hist_2_2,DD_hist_2_3,DD_hist_2_4,DD_hist_3_0,DD_hist_3_1,DD_hist_3_2,DD_hist_3_3,DD_hist_3_4,DD_hist_4_0,DD_hist_4_1,DD_hist_4_2,DD_hist_4_3,DD_hist_4_4,UC_hist_0_0,UC_hist_0_1,UC_hist_0_2,UC_hist_0_3,UC_hist_0_4,UC_hist_1_0,UC_hist_1_1,UC_hist_1_2,UC_hist_1_3,UC_hist_1_4,UC_hist_2_0,UC_hist_2_1,UC_hist_2_2,UC_hist_2_3,UC_hist_2_4,UC_hist_3_0,UC_hist_3_1,UC_hist_3_2,UC_hist_3_3,UC_hist_3_4,UC_hist_4_0,UC_hist_4_1,UC_hist_4_2,UC_hist_4_3,UC_hist_4_4,image_id
0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0
0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1
0,0,0,0,0,0,22179,7659,0,0,0,2286,16380,0,0,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,0,0,22140,7698,0,0,0,2210,16456,0,0,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,0,0,22202,7636,0,0,0,2344,16322,0,0,0,0,0,0,0,0,0,0,0,1672,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10
0,0,0,0,0,0,11013,0,0,0,0,7689,10992,0,0,0,0,0,0,0,0,0,0,0,20482,0,0,0,0,0,0,11013,0,0,0,0,5058,13623,0,0,0,0,0,0,0,0,0,0,0,20482,0,0,0,0,0,0,11013,0,0,0,0,7054,11627,0,0,0,0,0,0,0,0,0,0,0,20482,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100
0,0,0,0,0,0,18225,192,0,0,0,11884,17606,0,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,18138,279,0,0,0,11649,17841,0,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,18141,276,0,0,0,12175,17315,0,0,0,0,0,0,0,0,0,0,0,2269,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101
0,0,0,0,0,0,17366,1043,0,0,0,20169,11598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16995,1414,0,0,0,19444,12323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17037,1372,0,0,0,19893,11874,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102
0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103
0,0,0,0,0,0,24870,0,0,0,192,25114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24870,0,0,0,320,24986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24870,0,0,0,1088,24218,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104
0,846,0,0,0,64,45991,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,0,46055,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,32,46023,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105
0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,0,0,0,64,38209,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106
26555,2368,0,0,0,8574,12679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26567,2356,0,0,0,8600,12653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26968,1955,0,0,0,8695,12558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107
46283,0,0,0,0,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46283,0,0,0,0,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46283,0,0,0,0,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108
26832,8085,0,0,0,4307,8562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,27029,7888,0,0,0,4358,8511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,26808,8109,0,0,0,4278,8591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109
0,0,0,0,0,0,29433,192,0,0,0,3941,15739,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,29433,192,0,0,0,3836,15844,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,29433,192,0,0,0,4170,15510,0,0,0,0,0,0,0,0,0,0,0,871,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11
16859,26094,0,0,0,2558,4665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17722,25231,0,0,0,2682,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17584,25369,0,0,0,2700,4523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110
0,0,0,0,0,0,4664,1767,0,0,0,16441,27304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4683,1748,0,0,0,16606,27139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4754,1677,0,0,0,16427,27318,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111
0,0,0,0,0,0,4394,859,0,0,0,8766,36157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4407,846,0,0,0,8805,36118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428,825,0,0,0,9434,35489,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112
0,0,0,0,0,0,0,1458,0,0,0,0,48718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,48718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,48718,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113
0,0,0,0,0,0,0,235,0,0,0,0,49941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,49941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,49941,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114
0,0,0,0,0,0,0,0,0,0,16,0,50160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,50160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,50160,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115
0,0,0,0,0,0,0,137,0,0,0,0,50039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,50039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,50039,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116
