C0_hist_0_0,C0_hist_0_1,C0_hist_0_2,C0_hist_0_3,C0_hist_0_4,C0_hist_1_0,C0_hist_1_1,C0_hist_1_2,C0_hist_1_3,C0_hist_1_4,C0_hist_2_0,C0_hist_2_1,C0_hist_2_2,C0_hist_2_3,C0_hist_2_4,C0_hist_3_0,C0_hist_3_1,C0_hist_3_2,C0_hist_3_3,C0_hist_3_4,C0_hist_4_0,C0_hist_4_1,C0_hist_4_2,C0_hist_4_3,C0_hist_4_4,GS_hist_0_0,GS_hist_0_1,GS_hist_0_2,GS_hist_0_3,GS_hist_0_4,GS_hist_1_0,GS_hist_1_1,GS_hist_1_2,GS_hist_1_3,GS_hist_1_4,GS_hist_2_0,GS_hist_2_1,GS_hist_2_2,GS_hist_2_3,GS_hist_2_4,GS_hist_3_0,GS_hist_3_1,GS_hist_3_2,GS_hist_3_3,GS_hist_3_4,GS_hist_4_0,GS_hist_4_1,GS_hist_4_2,GS_hist_4_3,GS_hist_4_4,RCS_hist_0_0,RCS_hist_0_1,RCS_hist_0_2,RCS_hist_0_3,RCS_hist_0_4,RCS_hist_1_0,RCS_hist_1_1,RCS_hist_1_2,RCS_hist_1_3,RCS_hist_1_4,RCS_hist_2_0,RCS_hist_2_1,RCS_hist_2_2,RCS_hist_2_3,RCS_hist_2_4,RCS_hist_3_0,RCS_hist_3_1,RCS_hist_3_2,RCS_hist_3_3,RCS_hist_3_4,RCS_hist_4_0,RCS_hist_4_1,RCS_hist_4_2,RCS_hist_4_3,RCS_hist_4_4,frozen_Corrected_by_CH_pixels,frozen_Harmed_by_CH_pixels,frozen_Stable_Correct_pixels,frozen_Still_Wrong_pixels,frozen_top20_pixels,image_id
0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,1777,0,37595,98,2172,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0
0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,810,900,9132,1194,2529,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1
0,0,0,0,0,0,22181,7657,0,0,0,2286,16380,0,0,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,0,0,22350,7488,0,0,0,2375,16291,0,0,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,0,0,22591,7247,0,0,0,2589,16077,0,0,0,0,0,0,0,0,0,0,0,1672,5034,3783,33725,5962,8439,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10
0,0,0,0,0,0,11013,0,0,0,0,7687,10994,0,0,0,0,0,0,0,0,0,0,0,20482,0,0,0,0,0,0,11013,0,0,0,0,8863,9818,0,0,0,0,0,0,0,0,0,0,0,20482,0,0,0,0,0,0,11013,0,0,0,0,8698,9983,0,0,0,0,0,0,0,0,0,0,0,20482,10146,896,15358,3294,10605,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100
0,0,0,0,0,0,18225,192,0,0,0,11880,17610,0,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,18176,241,0,0,0,11610,17880,0,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,18240,177,0,0,0,11589,17901,0,0,0,0,0,0,0,0,0,0,0,2269,10354,1458,26301,9794,13486,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101
0,0,0,0,0,0,17356,1053,0,0,0,20145,11622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17865,544,0,0,0,20311,11456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17908,501,0,0,0,20413,11354,0,0,0,0,0,0,0,0,0,0,0,0,7870,3152,22263,16891,14125,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102
0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,3492,2803,25523,18358,12952,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103
0,0,0,0,0,0,24870,0,0,0,192,25114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24870,0,0,0,672,24634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24870,0,0,0,480,24826,0,0,0,0,0,0,0,0,0,0,0,0,0,5755,2483,13878,28060,18536,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104
0,846,0,0,0,64,45991,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,128,45927,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,64,45991,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,10446,2346,27623,9761,23068,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105
0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,4323,30863,9745,8292,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106
