C0_hist_0_0,C0_hist_0_1,C0_hist_0_2,C0_hist_0_3,C0_hist_0_4,C0_hist_1_0,C0_hist_1_1,C0_hist_1_2,C0_hist_1_3,C0_hist_1_4,C0_hist_2_0,C0_hist_2_1,C0_hist_2_2,C0_hist_2_3,C0_hist_2_4,C0_hist_3_0,C0_hist_3_1,C0_hist_3_2,C0_hist_3_3,C0_hist_3_4,C0_hist_4_0,C0_hist_4_1,C0_hist_4_2,C0_hist_4_3,C0_hist_4_4,GS_hist_0_0,GS_hist_0_1,GS_hist_0_2,GS_hist_0_3,GS_hist_0_4,GS_hist_1_0,GS_hist_1_1,GS_hist_1_2,GS_hist_1_3,GS_hist_1_4,GS_hist_2_0,GS_hist_2_1,GS_hist_2_2,GS_hist_2_3,GS_hist_2_4,GS_hist_3_0,GS_hist_3_1,GS_hist_3_2,GS_hist_3_3,GS_hist_3_4,GS_hist_4_0,GS_hist_4_1,GS_hist_4_2,GS_hist_4_3,GS_hist_4_4,RCS_hist_0_0,RCS_hist_0_1,RCS_hist_0_2,RCS_hist_0_3,RCS_hist_0_4,RCS_hist_1_0,RCS_hist_1_1,RCS_hist_1_2,RCS_hist_1_3,RCS_hist_1_4,RCS_hist_2_0,RCS_hist_2_1,RCS_hist_2_2,RCS_hist_2_3,RCS_hist_2_4,RCS_hist_3_0,RCS_hist_3_1,RCS_hist_3_2,RCS_hist_3_3,RCS_hist_3_4,RCS_hist_4_0,RCS_hist_4_1,RCS_hist_4_2,RCS_hist_4_3,RCS_hist_4_4,image_id
0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,0,0,0,0,0,0,39372,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,10706,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0
0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,0,0,0,0,0,0,11551,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,38140,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1
0,0,0,0,0,0,22178,7660,0,0,0,2285,16381,0,0,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,0,0,22342,7496,0,0,0,2374,16292,0,0,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,0,0,22598,7240,0,0,0,2593,16073,0,0,0,0,0,0,0,0,0,0,0,1672,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10
0,0,0,0,0,0,11013,0,0,0,0,7688,10993,0,0,0,0,0,0,0,0,0,0,0,20482,0,0,0,0,0,0,11013,0,0,0,0,8852,9829,0,0,0,0,0,0,0,0,0,0,0,20482,0,0,0,0,0,0,11013,0,0,0,0,8687,9994,0,0,0,0,0,0,0,0,0,0,0,20482,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100
0,0,0,0,0,0,18222,195,0,0,0,11878,17612,0,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,18173,244,0,0,0,11602,17888,0,0,0,0,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,18237,180,0,0,0,11583,17907,0,0,0,0,0,0,0,0,0,0,0,2269,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101
0,0,0,0,0,0,17362,1047,0,0,0,20167,11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17869,540,0,0,0,20318,11449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17907,502,0,0,0,20409,11358,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102
0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28854,0,0,0,0,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103
0,0,0,0,0,0,24870,0,0,0,192,25114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24870,0,0,0,736,24570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24870,0,0,0,480,24826,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104
0,846,0,0,0,64,45991,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,128,45927,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,64,45991,0,0,0,0,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105
0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,0,0,0,0,38273,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106
26557,2366,0,0,0,8576,12677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26710,2213,0,0,0,8610,12643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26629,2294,0,0,0,8562,12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107
46283,0,0,0,0,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46283,0,0,0,0,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46283,0,0,0,0,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108
26832,8085,0,0,0,4307,8562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,26752,8165,0,0,0,4362,8507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,26661,8256,0,0,0,4298,8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109
0,0,0,0,0,0,29433,192,0,0,0,3939,15741,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,29424,201,0,0,0,4044,15636,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,29412,213,0,0,0,4132,15548,0,0,0,0,0,0,0,0,0,0,0,871,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11
16843,26110,0,0,0,2553,4670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17140,25813,0,0,0,2557,4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16529,26424,0,0,0,2472,4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110
0,0,0,0,0,0,4665,1766,0,0,0,16442,27303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4703,1728,0,0,0,16190,27555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4752,1679,0,0,0,16448,27297,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111
0,0,0,0,0,0,4395,858,0,0,0,8765,36158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4357,896,0,0,0,8762,36161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4324,929,0,0,0,9277,35646,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112
0,0,0,0,0,0,0,1458,0,0,0,0,48718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,48718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,48718,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113
0,0,0,0,0,0,0,235,0,0,0,0,49941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,49941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,49941,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114
0,0,0,0,0,0,0,0,0,0,16,0,50160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50176,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115
0,0,0,0,0,0,0,137,0,0,0,0,50039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,50039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,50039,0,0,0,0,0,0,0,0,0,0,0,0,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116
