metric,observed,ci95_low,ci95_high,finite_resamples,resamples,seed,unit,eligible_images,resampling_images,aggregation
SRSC_image_balanced_pair_AUROC,0.6223741781998045,0.6170123598233789,0.6276877530454716,10000,10000,42,fraction,2103,3418,image_balanced
SRSC_minus_U_purity,0.011676241862251685,0.01107413550102894,0.012285747376858107,10000,10000,42,fraction,3416,3418,image_balanced
SRSC_Corrected_minus_Harmed_purity,0.26066373257459374,0.24985310911817735,0.27191207946231183,10000,10000,42,fraction,2228,3418,image_balanced
Harmed_SRSC_minus_U_purity,0.006243923343582427,0.0034432517359804524,0.009040735744188705,10000,10000,42,fraction,2247,3418,image_balanced
SRSC_mean_N_eff,143.15271851487134,142.69820415247148,143.61067522871906,10000,10000,42,effective_neighbor_count,3416,3418,image_balanced
target_AUROC_purity,0.7660166793938316,0.7570405692949087,0.7752150771304143,10000,10000,42,fraction,2228,3418,image_balanced
target_AUROC_purity_gain,0.5361261379039396,0.5256735696380638,0.5464689516433971,10000,10000,42,fraction,2228,3418,image_balanced
target_AUROC_negative_wrong_mass,0.7400027947670687,0.7312731821180414,0.748934839671571,10000,10000,42,fraction,2229,3418,image_balanced
SRSC_minus_U_neighbor_accuracy,0.018140139556290236,0.014826617592327073,0.021501117307833252,10000,10000,42,fraction,3416,3418,pooled_recomputed_per_image_resample
SRSC_minus_U_neighbor_mIoU,0.07837882177080024,0.07077582206397534,0.0860804467581372,10000,10000,42,fraction,3416,3418,pooled_recomputed_per_image_resample
Top20_SRSC_minus_U_NetRepair,0.05542474935678368,0.044943079827109725,0.06593866921096919,10000,10000,42,fraction,3405,3418,pooled_recomputed_per_image_resample
