replicate,SRSC_image_balanced_pair_AUROC,SRSC_minus_U_purity,SRSC_Corrected_minus_Harmed_purity,Harmed_SRSC_minus_U_purity,SRSC_mean_N_eff,target_AUROC_purity,target_AUROC_purity_gain,target_AUROC_negative_wrong_mass,SRSC_minus_U_neighbor_accuracy,SRSC_minus_U_neighbor_mIoU,Top20_SRSC_minus_U_NetRepair
0,0.6191889549552322,0.01088523037668525,0.25807083594088376,0.006597719754691332,143.12188131240413,0.7626841592864004,0.5352141207836083,0.7383513213370191,0.020195916392880875,0.08268949041762236,0.06471043427121059
1,0.622266555108032,0.011198375334854517,0.25785721048487215,0.00566443522211231,143.46646803192425,0.7618766857290659,0.5349984343507682,0.7347970581006834,0.011935551236124775,0.06792293619107748,0.042308669061902865
2,0.6243109949816148,0.0117032940282431,0.262547499115667,0.005222956983801458,143.2813909111418,0.7696671376240254,0.5390411648410529,0.7422957189464113,0.016500561603855157,0.07430798278584044,0.048499196295463426
3,0.6216618546067987,0.011731675286605323,0.26245277671433015,0.006102768803532542,143.14107924653874,0.7688606307168033,0.542583193987163,0.7412216239587659,0.017303847397036498,0.07689215548741102,0.05185796561413303
4,0.6221836796551558,0.011447335788280362,0.26279277572457244,0.0020822209399999074,143.05620502004624,0.7653922306285195,0.5455299238798411,0.7420513107105694,0.01727849064259268,0.078908169202559,0.05188105471308532
5,0.6246929109077478,0.011819949995895971,0.25614197188992477,0.006391368939992652,142.86775259357455,0.7614598621557235,0.5323395354690168,0.7345012434853897,0.01926718575316788,0.07935405115626021,0.057091462458161796
6,0.6211602083854901,0.011427298642561217,0.2582657891553429,0.0035972807516403034,143.38210312258212,0.7621369768589217,0.5472388430061126,0.7384102923301615,0.018595384828948736,0.08266822471581853,0.05766460549408381
7,0.6241945631437822,0.011371336766570523,0.25842761637017087,0.006455731576173044,143.49203710264536,0.7646612381889473,0.5333094108817258,0.7393256585586603,0.019739885091741294,0.08420358434390413,0.061665708364529837
8,0.6195736872810708,0.011547266737503082,0.25049892138926155,0.004847892042153664,143.2018585232247,0.7550635316991153,0.5428681944095647,0.7327861976623696,0.018925283941861437,0.08416685873048929,0.05860794373570499
9,0.6266685171399309,0.012329699308257745,0.2548618593113608,0.010336490736686065,142.96430932340448,0.7643462461190582,0.5291688344538028,0.7394574602422256,0.016699042868074443,0.07887190586593934,0.05033579127888563
10,0.6195045379479504,0.011577430656477145,0.2554823869595557,0.006194844424337206,142.79771146588436,0.7641553938430988,0.5355796815722754,0.7350126911987805,0.020897232476481453,0.07981514519591815,0.0573102097136903
11,0.6242561866034497,0.011971239277170129,0.27118107538103486,0.004525242920137714,142.74231748451803,0.7735084214359469,0.5389991775953733,0.7452342213240404,0.020399275101076864,0.08131587013888891,0.0631410659069449
12,0.6230749178128906,0.011881240220189021,0.25466877446130765,0.006072601647144789,143.17609602004345,0.7614238895235751,0.5351150811215503,0.7339593272078792,0.017361063254152542,0.07839120093249208,0.055439936092292696
13,0.6251691262981465,0.011843007556215557,0.2677493517171539,0.004218502242453563,142.9522155047601,0.7675884178361775,0.5463869874693122,0.7411178190519595,0.020546789743192462,0.07871729393074817,0.061030702327554476
14,0.6226617596399208,0.011296579502502797,0.2590505359409274,0.006737987772230635,143.56717751241965,0.7624850539160632,0.5378386173658926,0.7373003517810556,0.018548502069223982,0.0804583745849814,0.058232822478719026
15,0.6259845657414449,0.011790542957735921,0.26667644892239506,0.007528003888930897,143.54347889150898,0.7711337942850706,0.5347798429909598,0.7446977257493468,0.017520787955999317,0.07653531776613087,0.05404390284617311
16,0.6238324819692983,0.011755505423973089,0.2660391954240903,0.00555146950456034,143.30331998071426,0.7664964295953542,0.5355802046006964,0.7401958097864471,0.019524450694350826,0.07904068635441214,0.060849679024416486
17,0.6264150776834551,0.011944693689932265,0.2543062145365939,0.005572791353415005,143.15869248405096,0.7641342226069904,0.5433625055154386,0.7392034354963798,0.018921001069657106,0.08060006662578395,0.05929574291743572
18,0.6224801497512327,0.011706300315553687,0.2606667264610804,0.004845822355371242,143.02540836055758,0.7677062011503576,0.5412421364651278,0.7428497412189099,0.020333684916284067,0.08345947437630336,0.06516187796328976
19,0.6210011061648446,0.011812183239528259,0.25791346436413515,0.005909913643380471,143.4195270808091,0.7669639694779498,0.5416807702047838,0.7406811230232803,0.018964532582366633,0.08057235261614865,0.05679712108241983
20,0.6278471926947208,0.012137236544867825,0.25841127725255514,0.007512325278574927,143.16756317788744,0.7663347590429734,0.5350124509538262,0.7380017489225694,0.0163739132638836,0.07083975704918088,0.04732209203819068
21,0.6262357007041239,0.011768483421815872,0.2581003243217262,0.006701668369878196,142.96868471619183,0.7617113588041168,0.5371846606358991,0.7385993004014636,0.014701218720017173,0.06913238941600752,0.0436636463418936
22,0.6232418576723788,0.012143026511380715,0.260889639232315,0.005829085322085318,142.96072031851094,0.768052604390846,0.5409703407753302,0.7415292374693,0.019626025233345668,0.08104415419283029,0.05659357422646849
23,0.6251959589981535,0.011827987844660647,0.2675910639127259,0.008116062281838634,143.25400646797627,0.7702950784674185,0.5289566388756778,0.7439529961223091,0.018426354597062766,0.08088885342129692,0.058354977997743
