group,variant,targets,purity_pixel_mean,purity_image_mean,purity_eligible_images,purity_p05,purity_p25,purity_p50,purity_p75,purity_p95,mass_pixel_mean,mass_image_mean,mass_eligible_images,mass_p05,mass_p25,mass_p50,mass_p75,mass_p95,neff_pixel_mean,neff_image_mean,neff_eligible_images,neff_p05,neff_p25,neff_p50,neff_p75,neff_p95,same_mass_pixel_mean,same_mass_image_mean,same_mass_eligible_images,same_mass_p05,same_mass_p25,same_mass_p50,same_mass_p75,same_mass_p95,wrong_mass_pixel_mean,wrong_mass_image_mean,wrong_mass_eligible_images,wrong_mass_p05,wrong_mass_p25,wrong_mass_p50,wrong_mass_p75,wrong_mass_p95,fg_mass_pixel_mean,fg_mass_image_mean,fg_mass_eligible_images,fg_mass_p05,fg_mass_p25,fg_mass_p50,fg_mass_p75,fg_mass_p95,purity_gain_image_mean,purity_gain_pixel_mean
Q1,U,495830,0.9219786958847145,0.8966766864099874,3403,0.5125732421875,0.9569091796875,0.9998779296875,0.9998779296875,0.9998779296875,146.92823548393602,142.5168201239304,3403,79.98046875,119.02734375,134.01171875,179.01953125,223.97265625,146.92823548393602,142.5168201239304,3403,79.98046875,119.02734375,134.01171875,179.01953125,223.97265625,132.70431196176108,122.35429674008346,3403,54.98828125,98.02734375,128.98046875,163.98046875,223.97265625,10.992878607587278,13.854600714713907,3403,0.02734375,0.02734375,0.02734375,5.98828125,68.00390625,143.69719056934838,136.20889745479735,3403,78.99609375,113.01171875,134.01171875,179.01953125,223.97265625,0.0,0.0
Q1,SR,495830,0.9256151452220474,0.901238602447503,3403,0.5325927734375,0.9610595703125,0.9998779296875,0.9998779296875,0.9998779296875,127.92030020185393,119.31461773384169,3403,68.55078125,98.02734375,118.86328125,158.23828125,204.33984375,142.06630919376295,136.24020283198752,3403,77.90234375,111.53515625,131.66015625,175.95703125,221.01953125,116.76875658514804,103.78537801523845,3403,45.96484375,84.62890625,111.64453125,144.56640625,202.97265625,8.617257445046995,10.626685055778823,3403,0.02734375,0.02734375,0.02734375,4.56640625,53.12890625,125.38601403103591,114.41206307213763,3403,64.28515625,95.18359375,117.05859375,155.17578125,204.12109375,0.004561916037515587,0.00363644933733287
Q1,SC,495830,0.9364140674714899,0.9140674312806042,3403,0.5914306640625,0.9718017578125,0.9998779296875,0.9998779296875,0.9998779296875,122.06143321823055,112.40383025486781,3403,60.07421875,90.42578125,113.88671875,150.47265625,205.37890625,137.99308930784153,131.46760048697197,3403,73.03515625,106.23046875,129.47265625,169.39453125,221.29296875,113.45935221265756,100.15677033977465,3403,40.27734375,79.98046875,108.80078125,141.44921875,203.57421875,6.434518134650944,8.09017866331096,3403,0.02734375,0.02734375,0.02734375,2.98046875,39.67578125,119.89387034789839,108.24694900351054,3403,55.80859375,87.63671875,112.51953125,147.95703125,204.99609375,0.017390744870616672,0.014435371586775436
Q1,SRSC,495830,0.9402726265183602,0.9191561228182658,3403,0.6158447265625,0.9752197265625,0.9998779296875,0.9998779296875,0.9998779296875,109.41667916518699,97.46853036773156,3403,49.19140625,78.66796875,103.11328125,135.92578125,189.41015625,131.1872360060061,122.98066240403215,3403,67.78515625,98.57421875,122.47265625,161.24609375,215.55078125,102.53664831994811,87.8140796807363,3403,33.33203125,70.19140625,98.24609375,129.80078125,188.20703125,5.124794734913491,6.314839059424844,3403,0.02734375,0.02734375,0.02734375,2.32421875,31.25390625,107.6614430542136,94.12891873905502,3403,45.47265625,76.42578125,101.74609375,134.44921875,189.19140625,0.022479436408278246,0.018293930633645705
Q2,U,495828,0.9060208848956609,0.8936111101527553,3411,0.4849853515625,0.8968505859375,0.9998779296875,0.9998779296875,0.9998779296875,169.6904672588075,167.02513071374452,3411,95.01953125,134.01171875,166.98828125,223.97265625,223.97265625,169.6904672588075,167.02513071374452,3411,95.01953125,134.01171875,166.98828125,223.97265625,223.97265625,149.99136797437822,142.53779804293072,3411,61.98828125,114.98046875,148.99609375,194.00390625,223.97265625,15.332310801326267,16.776833143267464,3411,0.02734375,0.02734375,0.02734375,15.99609375,85.01171875,165.32367877570448,159.31463118619817,3411,86.98046875,128.98046875,163.98046875,208.98828125,223.97265625,0.0,0.0
Q2,SR,495828,0.9085421642624666,0.896468666501835,3411,0.4910888671875,0.9039306640625,0.9998779296875,0.9998779296875,0.9998779296875,143.44260817066024,137.86997863475764,3411,75.93359375,109.56640625,144.83984375,179.83984375,203.41015625,163.34442831907404,159.60246489638473,3411,89.49609375,126.41015625,162.88671875,208.00390625,221.40234375,127.97086876911972,118.86139577043515,3411,48.42578125,93.48828125,126.57421875,167.58984375,202.31640625,12.050496775038296,13.002195196763498,3411,0.02734375,0.02734375,0.02734375,12.44140625,66.85546875,140.02136554354084,131.86359096593534,3411,69.75390625,106.39453125,140.35546875,177.54296875,203.13671875,0.0028575563490798317,0.0025212793668056843
Q2,SC,495828,0.918655109220263,0.9072842928852126,3411,0.5284423828125,0.9246826171875,0.9998779296875,0.9998779296875,0.9998779296875,137.27458509419316,131.78798384765363,3411,63.68359375,102.23828125,136.47265625,176.33984375,206.08984375,159.3572218989659,155.54701839940503,3411,83.26171875,119.13671875,160.09765625,205.21484375,222.49609375,124.58599468273455,115.97118242033818,3411,41.64453125,87.63671875,122.52734375,165.51171875,204.61328125,9.672323204782712,10.541880983048916,3411,0.02734375,0.02734375,0.02734375,8.72265625,55.09765625,134.2583178868835,126.51306340241827,3411,59.19921875,99.06640625,132.97265625,173.55078125,205.65234375,0.013673182732457332,0.01263422432460215
Q2,SRSC,495828,0.9216149251266263,0.9107046034951918,3411,0.5367431640625,0.9320068359375,0.9998779296875,0.9998779296875,0.9998779296875,119.03452109989227,111.93038193371424,3411,50.50390625,86.65234375,118.26171875,152.82421875,187.22265625,151.05626158471676,146.058356862533,3411,75.55078125,113.77734375,150.69140625,193.29296875,217.73828125,108.9360185019006,99.45431507409064,3411,33.00390625,73.58203125,107.10546875,145.44140625,186.18359375,7.6801464551137,8.262553109195563,3411,0.02734375,0.02734375,0.02734375,6.58984375,43.83203125,116.61616495704472,107.7168681836139,3411,46.83984375,83.69921875,115.25390625,150.85546875,186.94921875,0.017093493342436563,0.015594040230965445
Q3,U,495829,0.8906343391119453,0.8880635373299168,3415,0.4508056640625,0.8475341796875,0.9998779296875,0.9998779296875,0.9998779296875,177.56178440551076,176.033549770262,3415,103.00390625,148.99609375,179.01953125,223.97265625,223.97265625,177.56178440551076,176.033549770262,3415,103.00390625,148.99609375,179.01953125,223.97265625,223.97265625,153.7949192161007,148.91626753827651,3415,61.98828125,119.02734375,155.01171875,196.02734375,223.97265625,18.69500775468962,18.6230585161967,3415,0.02734375,0.02734375,0.02734375,25.01953125,95.01953125,172.48992697079032,167.53932605447318,3415,95.01953125,134.01171875,179.01953125,223.97265625,223.97265625,0.0,0.0
Q3,SR,495829,0.891892129626142,0.8893815323287753,3415,0.4488525390625,0.8526611328125,0.9998779296875,0.9998779296875,0.9998779296875,146.2598267133496,143.55763393977642,3415,79.16015625,116.18359375,151.40234375,178.63671875,199.41796875,170.16448743622115,167.97559673870745,3415,96.27734375,137.40234375,175.79296875,211.06640625,220.91015625,127.61035415100957,122.43632253145378,3415,47.11328125,93.54296875,129.08984375,166.27734375,197.94140625,14.69522687172706,14.524378881991199,3415,0.02734375,0.02734375,0.02734375,19.33203125,75.16796875,142.3055810215458,136.96070141239366,3415,72.21484375,111.26171875,146.53515625,176.33984375,199.03515625,0.0013179949988583162,0.0012577905141966106
