group,echo_count,targets,echo_fraction,non_echo_count,srsc_correct_deep_wrong_count,srsc_wrong_deep_correct_count,srsc_correct_deep_wrong_given_non_echo,srsc_wrong_deep_correct_given_non_echo
all,2165856,2479143,0.8736309281070112,313287,173126,93532,0.5526115031903653,0.2985505303443807
Corrected_by_CH,218987,305318,0.7172423505983925,86331,47463,34780,0.5497793376654968,0.40286803118230996
Still_Wrong,288629,378130,0.7633062703303097,89501,17311,38188,0.19341683333147117,0.42667679690729715
Harmed_by_CH,51880,69617,0.7452202766565638,17737,4201,8748,0.23684952359474545,0.4932062919321193
Stable_Correct,1606360,1726078,0.9306416048405692,119718,104151,11816,0.869969428156167,0.0986986083963982
Top20,328052,485451,0.6757674821969674,157399,72843,59192,0.4627920126557348,0.37606338032643155
Bottom80,1837804,1993692,0.9218093868059861,155888,100283,34340,0.6433016011495433,0.2202863594375449
Q1,489759,495830,0.9877558840731703,6071,4039,1405,0.6652940207544062,0.2314281008071158
Q2,471607,495828,0.9511503989286607,24221,15424,5772,0.6368027744519219,0.23830560257627678
Q3,449951,495829,0.9074721325295616,45878,29307,10567,0.6388029120711453,0.23032826191202754
Q4,418783,495828,0.8446134546657309,77045,47816,17794,0.6206243104679083,0.23095593484327342
Q5,335756,495828,0.6771622417451213,160072,76540,57994,0.4781598280773652,0.3622994652406417
boundary,167629,201144,0.8333780773972875,33515,14146,11483,0.42207966582127404,0.34262270625093244
interior,1998227,2277999,0.8771851963060563,279772,158980,82049,0.568248430865133,0.29327094920149266
class0,865191,965133,0.896447432633637,99942,87579,2852,0.8762982529867323,0.028536551199695823
class1,928933,1044692,0.8891931784679121,115759,76849,23482,0.663870627769763,0.20285247799307182
class2,286104,323515,0.8843608488014466,37411,8533,15648,0.22808799550934217,0.41827270054262117
class3,85628,145803,0.587285583972895,60175,165,51550,0.002742002492729539,0.8566680515164105
Deep_Correct,1809035,1902567,0.950839050608993,93532,0,93532,0.0,1.0
Deep_Wrong,356821,576576,0.6188620407370408,219755,173126,0,0.7878137016222612,0.0
Top20_Deep_Correct,229806,288998,0.7951819735776718,59192,0,59192,0.0,1.0
Top20_Deep_Wrong,98246,196453,0.5000992603828905,98207,72843,0,0.7417292046391805,0.0
