group,variant,targets,purity_pixel_mean,purity_image_mean,purity_eligible_images,purity_p05,purity_p25,purity_p50,purity_p75,purity_p95,mass_pixel_mean,mass_image_mean,mass_eligible_images,mass_p05,mass_p25,mass_p50,mass_p75,mass_p95,neff_pixel_mean,neff_image_mean,neff_eligible_images,neff_p05,neff_p25,neff_p50,neff_p75,neff_p95,same_mass_pixel_mean,same_mass_image_mean,same_mass_eligible_images,same_mass_p05,same_mass_p25,same_mass_p50,same_mass_p75,same_mass_p95,wrong_mass_pixel_mean,wrong_mass_image_mean,wrong_mass_eligible_images,wrong_mass_p05,wrong_mass_p25,wrong_mass_p50,wrong_mass_p75,wrong_mass_p95,fg_mass_pixel_mean,fg_mass_image_mean,fg_mass_eligible_images,fg_mass_p05,fg_mass_p25,fg_mass_p50,fg_mass_p75,fg_mass_p95,purity_gain_image_mean,purity_gain_pixel_mean,uniform_purity_image_mean,neighbor_accuracy,neighbor_miou,neighbor_dice,neighbor_iou_class0,neighbor_iou_class1,neighbor_iou_class2,neighbor_iou_class3,neighbor_nll,neighbor_brier,neighbor_targets,neighbor_coverage,net_repair_vs_raw,top20_net_repair,top20_count,echo_count,echo_fraction,non_echo_count,srsc_correct_deep_wrong_count,srsc_wrong_deep_correct_count,srsc_correct_deep_wrong_given_non_echo,srsc_wrong_deep_correct_given_non_echo
Deep_Correct,U,1902567,0.9158907150469121,0.9012707279882746,3412,0.5211181640625,0.9195556640625,0.9998779296875,0.9998779296875,0.9998779296875,167.65752638409054,166.59347546190324,3412,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,167.65752638409054,166.59347546190324,3412,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,149.5352063816938,143.2325892688172,3412,64.01171875,116.01953125,148.99609375,194.00390625,223.97265625,13.74216781853149,15.755551325290089,3412,0.02734375,0.02734375,0.02734375,12.98828125,78.99609375,163.27737420022527,158.9881405941073,3412,86.98046875,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0,0.9012707279882746,0.8788352788627155,0.6217458094681126,0.7193798644267724,0.85694986800132,0.807136398972487,0.6779325813416722,0.14496438955697163,0.501527342155311,0.24550061918271987,1902567,1.0,0.04425915092609091,0.3423899127329601,288998,,,,,,,
Deep_Correct,SR,1902567,0.917953022189116,0.9036732182809419,3412,0.5272216796875,0.9251708984375,0.9998779296875,0.9998779296875,0.9998779296875,137.83760325700553,135.41432404235073,3412,70.79296875,105.84765625,137.07421875,173.16796875,200.78515625,160.21128379072047,158.63021689035463,3412,86.70703125,124.05859375,160.48046875,204.01171875,220.80078125,123.8787575323995,117.47244495162195,3412,49.02734375,90.48046875,121.48828125,160.09765625,199.30859375,10.570007293795104,12.06646247700946,3412,0.02734375,0.02734375,0.02734375,9.32421875,61.16796875,134.4487648261596,129.5389074285575,3412,65.59765625,102.51171875,133.08203125,170.10546875,200.45703125,0.0024024902926674243,0.0020623071422039008,0.9012707279882746,0.8945855783265452,0.6721767804989434,0.7721940875298451,0.8700274683138359,0.8290213237880092,0.7373669354094792,0.2522913944844489,0.4535656983317027,0.2161546106109289,1902567,1.0,0.06000945038992057,0.4008124623699818,288998,,,,,,,
Deep_Correct,SC,1902567,0.9338521747488563,0.9209751814835312,3412,0.6107177734375,0.9461669921875,0.9998779296875,0.9998779296875,0.9998779296875,130.50677061228927,126.84740755910674,3412,59.96484375,97.42578125,127.99609375,166.11328125,202.15234375,156.02672420781505,153.7999208437786,3412,82.16796875,118.31640625,155.23046875,197.94140625,221.56640625,120.15751766865728,113.12071150503473,3412,43.61328125,84.90234375,117.00390625,156.59765625,200.45703125,7.376443735023076,8.586343444015297,3412,0.02734375,0.02734375,0.02734375,5.93359375,42.95703125,127.53396140347816,121.70705494876307,3412,55.75390625,94.03515625,124.76953125,163.26953125,201.66015625,0.01970445349525678,0.017961459701944182,0.9012707279882746,0.9417208434709526,0.772329277781459,0.8447030168618641,0.9326646337285,0.9075548334687246,0.9050516049616514,0.3440460389669602,0.3883070324614612,0.16941592441273537,1902567,1.0,0.1071447155343281,0.5101453989300964,288998,,,,,,,
Deep_Correct,SRSC,1902567,0.9371427294567978,0.9247130255015662,3412,0.6282958984375,0.9512939453125,0.9998779296875,0.9998779296875,0.9998779296875,111.87331334264591,107.53281612130849,3412,42.24609375,81.12890625,110.16796875,143.36328125,183.06640625,146.1906460967658,143.5463058904317,3412,73.69140625,111.09765625,144.45703125,185.74609375,215.44140625,103.85426082681224,96.88299969844944,3412,30.59765625,70.30078125,101.80078125,136.91015625,181.86328125,5.646126019215591,6.566221552526928,3412,0.02734375,0.02734375,0.02734375,4.45703125,32.89453125,109.50038684619048,103.44922125122218,3412,39.01953125,78.06640625,107.54296875,141.28515625,182.73828125,0.0234422975132918,0.021252014409885667,0.9012707279882746,0.950839050608993,0.8141845257275984,0.8829361545441832,0.9384185313350492,0.9217899220165582,0.918918918918919,0.4776107306398671,0.35093023548573654,0.14759934446148265,1902567,1.0,0.11626292267236844,0.5583741063952,288998,1809035,0.950839050608993,93532,0,93532,0.0,1.0
Deep_Wrong,U,576576,0.8060502278596545,0.8233821438489557,3318,0.3028564453125,0.6444091796875,0.9351806640625,0.9998779296875,0.9998779296875,169.08460289710288,164.1772165200753,3318,89.00390625,134.01171875,166.98828125,223.97265625,223.97265625,169.08460289710288,164.1772165200753,3318,89.00390625,134.01171875,166.98828125,223.97265625,223.97265625,132.11496663059162,128.18027142988893,3318,39.01953125,91.02734375,128.98046875,177.98046875,223.97265625,31.571520493395493,27.299098123077567,3318,0.02734375,0.02734375,9.98046875,56.02734375,113.99609375,163.68648712398712,155.47936955296652,3318,81.01953125,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0,0.8233821438489557,0.45986305361305363,0.20511211897165954,0.31161604112187435,0.3942716026587888,0.3132964984944926,0.11041487106617905,0.0024655036671777236,1.1140090416615787,0.6361919960376234,576576,1.0,0.14264728327228327,0.025527734369034834,196453,,,,,,,
Deep_Wrong,SR,576576,0.8011209630831827,0.8192855416927837,3318,0.2855224609375,0.6348876953125,0.9356689453125,0.9998779296875,0.9998779296875,128.92736325961712,128.54849581447922,3318,64.01171875,97.42578125,128.59765625,164.03515625,187.55078125,157.72290849598997,154.13437137345082,3318,82.66015625,120.12109375,158.12890625,202.37109375,217.51953125,100.01172298437041,100.23495333952714,3318,27.31640625,66.19921875,96.82421875,132.91796875,179.23828125,24.899820126758723,21.773232871317774,3318,0.02734375,0.02734375,7.13671875,43.88671875,92.12109375,124.91154310938454,122.00818620754472,3318,58.32421875,93.54296875,124.00390625,160.48046875,186.62109375,-0.004096602156171888,-0.00492926477647182,0.8233821438489557,0.4517322954822955,0.20677952459382512,0.3172392238359817,0.38574469946630113,0.29913125595333945,0.13630235450976888,0.005939788445890968,1.1290750886068845,0.6484920957311072,576576,1.0,0.13451652514152515,0.006332303400813426,196453,,,,,,,
Deep_Wrong,SC,576576,0.7915090284266499,0.8075588265470821,3318,0.2655029296875,0.6065673828125,0.9356689453125,0.9998779296875,0.9998779296875,103.88000629212034,97.90220817780991,3318,32.40234375,68.76953125,100.43359375,138.33203125,183.06640625,147.12514284618496,141.63728589312825,3318,68.44140625,108.47265625,145.71484375,191.26953125,219.54296875,78.5130202141748,73.19066103373707,3318,16.76171875,43.50390625,71.77734375,106.99609375,165.34765625,22.143018541323762,19.67475694998897,3318,0.02734375,0.02734375,5.05859375,37.70703125,86.26953125,100.65603875614737,92.86541798461901,3318,29.33984375,65.37890625,97.20703125,134.61328125,180.82421875,-0.01582331730187358,-0.014541199433004581,0.8233821438489557,0.3050907425907426,0.1219160139033195,0.20174775606500506,0.2552817655881723,0.19130445143456296,0.0399018669680875,0.0011759716224552744,1.3007535283007148,0.7715829921006649,576576,1.0,-0.01212502775002775,-0.14035418140725772,196453,,,,,,,
Deep_Wrong,SRSC,576576,0.7861348506346272,0.8027059808797867,3318,0.2496337890625,0.5946044921875,0.9359130859375,0.9998779296875,0.9998779296875,80.41333049572533,76.98994531206098,3318,21.24609375,51.05078125,77.24609375,108.14453125,147.95703125,136.71936550961377,133.73489598382275,3318,60.34765625,98.24609375,134.28515625,179.12890625,211.23046875,59.931177382954395,56.897201257100036,3318,11.34765625,31.69140625,54.00390625,82.16796875,130.73046875,18.03131944959415,16.24131164525265,3318,0.02734375,0.02734375,3.74609375,29.77734375,72.70703125,77.96249683140528,73.13851290089187,3318,19.22265625,48.48046875,74.78515625,105.24609375,146.09765625,-0.02067616296916887,-0.019915377225027342,0.8233821438489557,0.3002657065157065,0.12294472459030664,0.20499601760198224,0.25167753411824206,0.18350028056686446,0.05353804068213475,0.0030630429939852975,1.3339243206542724,0.7955288981484775,576576,1.0,-0.016950063825063824,-0.15524323884084235,196453,356821,0.6188620407370408,219755,173126,0,0.7878137016222612,0.0
Top20_Deep_Correct,U,288998,0.8966130964257131,0.8839009926412539,3392,0.4813232421875,0.8570556640625,0.9998779296875,0.9998779296875,0.9998779296875,167.70641665340244,163.53518637381774,3392,95.01953125,134.01171875,163.98046875,208.98828125,223.97265625,167.70641665340244,163.53518637381774,3392,95.01953125,134.01171875,163.98046875,208.98828125,223.97265625,146.36514093523138,137.8688799478786,3392,63.02734375,110.98828125,147.02734375,187.98828125,223.97265625,16.84092969501519,18.27036468751002,3392,0.02734375,0.02734375,0.02734375,22.01171875,85.99609375,163.2060706302466,156.13924463538865,3392,86.98046875,128.98046875,163.98046875,208.98828125,223.97265625,0.0,0.0,0.8839009926412539,0.579197779915432,0.3964080921577159,0.5388362739679399,0.3977140768139005,0.48062814055303676,0.6078094054038425,0.09948074586008372,0.9559388807452535,0.5287640246178721,288998,1.0,0.3423899127329601,0.3423899127329601,288998,,,,,,,
Top20_Deep_Correct,SR,288998,0.8929964280853623,0.8818783148252165,3392,0.4588623046875,0.8526611328125,0.9998779296875,0.9998779296875,0.9998779296875,116.57662169987223,127.72665612177272,3392,54.00390625,86.92578125,113.72265625,148.17578125,180.87890625,152.96464911486555,153.6863859428357,3392,82.38671875,117.93359375,154.02734375,190.50390625,214.94921875,100.68062903237684,108.0503511440515,3392,37.87109375,69.97265625,97.26171875,129.19921875,173.87890625,12.634720604766482,14.0907992202089,3392,0.02734375,0.02734375,0.02734375,15.88671875,65.59765625,113.31534963631628,122.14115036215824,3392,50.94140625,83.69921875,110.16796875,144.12890625,179.45703125,-0.0020226778160373393,-0.0036166683403507927,0.8839009926412539,0.6376203295524536,0.46254169450684357,0.6112035760745287,0.42718679635619666,0.5308255435624645,0.6903378184941311,0.20181661961458205,0.8677992078192214,0.4738084915338142,288998,1.0,0.4008124623699818,0.4008124623699818,288998,,,,,,,
