group,variant,targets,purity_pixel_mean,purity_image_mean,purity_eligible_images,purity_p05,purity_p25,purity_p50,purity_p75,purity_p95,mass_pixel_mean,mass_image_mean,mass_eligible_images,mass_p05,mass_p25,mass_p50,mass_p75,mass_p95,neff_pixel_mean,neff_image_mean,neff_eligible_images,neff_p05,neff_p25,neff_p50,neff_p75,neff_p95,same_mass_pixel_mean,same_mass_image_mean,same_mass_eligible_images,same_mass_p05,same_mass_p25,same_mass_p50,same_mass_p75,same_mass_p95,wrong_mass_pixel_mean,wrong_mass_image_mean,wrong_mass_eligible_images,wrong_mass_p05,wrong_mass_p25,wrong_mass_p50,wrong_mass_p75,wrong_mass_p95,fg_mass_pixel_mean,fg_mass_image_mean,fg_mass_eligible_images,fg_mass_p05,fg_mass_p25,fg_mass_p50,fg_mass_p75,fg_mass_p95,purity_gain_image_mean,purity_gain_pixel_mean
all,U,2479143,0.8903450741590285,0.8897524137294893,3416,0.4429931640625,0.8487548828125,0.9998779296875,0.9998779296875,0.9998779296875,167.9894225544876,167.3310172444694,3416,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,167.9894225544876,167.3310172444694,3416,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,145.48376918959497,141.85962044724613,3416,57.01171875,109.01953125,144.01953125,193.01953125,223.97265625,17.888752685907992,17.60429915814256,3416,0.02734375,0.02734375,0.02734375,23.98046875,92.01171875,163.37252187550294,159.4639196053887,3416,86.98046875,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0
all,SR,2479143,0.8907813489515048,0.8901780817033861,3416,0.4371337890625,0.8529052734375,0.9998779296875,0.9998779296875,0.9998779296875,135.76534258598565,135.01685137986752,3416,68.98828125,103.82421875,135.16015625,170.81640625,198.43359375,159.6325606295577,158.92688799986658,3416,85.94140625,123.07421875,159.98828125,203.62890625,220.25390625,118.32798482119873,115.30048971283745,3416,41.75390625,84.08203125,115.63671875,154.62890625,196.46484375,13.902701762802673,13.670517556819247,3416,0.02734375,0.02734375,0.02734375,17.91015625,71.72265625,132.2306865835688,128.97100726918924,3416,63.62890625,100.32421875,130.94921875,167.69921875,197.99609375,0.00042566797389684594,0.00043627479247632106
all,SC,2479143,0.9007473789498407,0.9001536881515142,3416,0.4603271484375,0.8826904296875,0.9998779296875,0.9998779296875,0.9998779296875,124.31416564167415,123.39084442801774,3416,50.17578125,90.31640625,122.03515625,160.42578125,199.69140625,153.9564772816945,153.16813046459447,3416,78.23046875,116.89453125,152.82421875,195.86328125,221.23828125,110.47222812936258,107.61988487095515,3416,30.76171875,72.37890625,107.70703125,147.68359375,197.28515625,10.81071623786685,10.6344446733476,3416,0.02734375,0.02734375,0.02734375,11.94921875,58.70703125,121.28294436722514,118.2543295442784,3416,46.18359375,86.76171875,118.69921875,157.25390625,199.08984375,0.010401274422024884,0.010402304790812167
all,SRSC,2479143,0.9020227737609008,0.9014286555917411,3416,0.4552001953125,0.8895263671875,0.9998779296875,0.9998779296875,0.9998779296875,104.55664340067561,103.61127892522956,3416,33.60546875,72.48828125,102.89453125,136.30859375,178.85546875,143.98790382824083,143.15271851487134,3416,69.80859375,108.19921875,142.48828125,184.21484375,214.62109375,93.63903897001504,91.16537849913301,3416,21.41015625,56.79296875,90.91796875,127.39453125,177.10546875,8.526559010500865,8.383237348206595,3416,0.02734375,0.02734375,0.02734375,8.94140625,46.73046875,102.16559798037484,99.54861584716635,3416,31.14453125,69.42578125,100.21484375,134.01171875,178.36328125,0.011676241862251685,0.01167769960187226
Corrected_by_CH,U,305318,0.9173587480332261,0.9037268606845873,3373,0.5626220703125,0.8990478515625,0.9998779296875,0.9998779296875,0.9998779296875,174.8392233671123,169.24438550595517,3373,98.02734375,134.01171875,179.01953125,223.97265625,223.97265625,174.8392233671123,169.24438550595517,3373,98.02734375,134.01171875,179.01953125,223.97265625,223.97265625,155.96888490033342,145.60282514546125,3373,71.99609375,119.02734375,155.01171875,197.99609375,223.97265625,14.258782646290097,16.01304524787201,3373,0.02734375,0.02734375,0.02734375,15.99609375,78.01171875,170.2276675466235,161.6158703933332,3373,89.00390625,134.01171875,179.01953125,222.98828125,223.97265625,0.0,0.0
Corrected_by_CH,SR,305318,0.9165654415716832,0.9045888908957678,3373,0.5560302734375,0.8995361328125,0.9998779296875,0.9998779296875,0.9998779296875,126.37024575552192,132.62224746283295,3373,60.01953125,94.80078125,125.09765625,162.33984375,187.22265625,161.35418849272855,159.38951280436342,3373,88.45703125,125.86328125,165.67578125,201.66015625,217.41015625,112.33214728082314,114.72339780541354,3373,47.22265625,81.01953125,108.52734375,144.73046875,183.17578125,10.621721157093928,12.091757778190486,3373,0.02734375,0.02734375,0.02734375,11.73046875,58.65234375,122.95386843745634,126.81515558234487,3373,56.62890625,91.57421875,120.88671875,158.56640625,186.40234375,0.0008620302111804533,-0.0007933064615429641
Corrected_by_CH,SC,305318,0.9244575030163334,0.9096611394365728,3373,0.5814208984375,0.9190673828125,0.9998779296875,0.9998779296875,0.9998779296875,110.75616965690442,114.39205281850931,3373,42.08203125,74.73046875,105.62890625,147.08203125,189.73828125,154.11039557108165,150.51410804489208,3373,77.19140625,116.40234375,156.05078125,195.69921875,219.87109375,99.7150360965782,100.04498852419701,3373,33.38671875,64.17578125,93.70703125,131.98828125,184.16015625,8.152427740329719,9.458502699355662,3373,0.02734375,0.02734375,0.02734375,7.62890625,46.83984375,107.86746383680094,109.50349122353038,3373,39.67578125,72.05078125,102.45703125,143.14453125,188.26171875,0.005934278751985402,0.007098754983107303
Corrected_by_CH,SRSC,305318,0.9249002483622435,0.911226933945508,3373,0.5811767578125,0.9210205078125,0.9998779296875,0.9998779296875,0.9998779296875,84.86031332896378,92.8164518131035,3373,23.98046875,50.12109375,81.94921875,116.40234375,156.54296875,139.25849328585417,140.24891858804799,3373,66.03515625,103.05859375,138.44140625,178.63671875,209.75390625,76.48089641038078,81.77958442743358,3373,20.26171875,42.41015625,71.28515625,105.13671875,152.11328125,6.162517880248302,7.2296061321195175,3373,0.02734375,0.02734375,0.02734375,5.49609375,35.84765625,82.64341429042584,89.00919055979185,3373,22.94140625,48.09765625,79.21484375,113.33984375,155.23046875,0.007500073260920637,0.007541500329017348
Still_Wrong,U,378130,0.7684509806231404,0.7458790386960669,2881,0.2679443359375,0.5792236328125,0.8602294921875,0.9998779296875,0.9998779296875,162.40248591754158,149.16606278598528,2881,86.98046875,119.02734375,163.98046875,208.98828125,223.97265625,162.40248591754158,149.16606278598528,2881,86.98046875,119.02734375,163.98046875,208.98828125,223.97265625,119.98204056805861,102.86910188017058,2881,33.98828125,81.01953125,119.02734375,155.01171875,223.97265625,37.161336048448945,37.68671844290313,2881,0.02734375,0.02734375,19.98828125,65.98046875,120.99609375,157.14337661650754,140.55582032307373,2881,78.99609375,119.02734375,151.01953125,201.00390625,223.97265625,0.0,0.0
Still_Wrong,SR,378130,0.76013973916586,0.7382843245196982,2881,0.2510986328125,0.5601806640625,0.8531494140625,0.9998779296875,0.9998779296875,121.6148073820046,114.06811626010959,2881,58.16015625,91.13671875,118.91796875,155.88671875,183.39453125,150.85714588927456,139.118156324706,2881,77.51953125,113.94140625,147.08203125,194.49609375,216.53515625,87.961544610965,77.07661338108097,2881,23.87109375,57.23046875,85.17578125,115.08984375,164.41796875,29.74852089637381,30.5275777839933,2881,0.02734375,0.02734375,15.66796875,52.30859375,99.28515625,117.71006550543119,107.60419115377546,2881,53.67578125,87.52734375,114.70703125,151.23828125,181.86328125,-0.007594714176368819,-0.00831124145728046
