group,variant,auroc,auprc,prevalence,auprc_over_prevalence,positive,negative,image_balanced_auroc,image_balanced_auprc,auroc_eligible_images,auroc_excluded_images
all,U,0.5,0.8905032958997843,0.8905032958997842,1.0000000000000002,360675068,44348776,0.5,0.8893643158063897,2103,1315
all,SR,0.5643142061622769,0.9101455317038376,0.8905032958997842,1.0220574543569843,360675068,44348776,0.52897122972924,0.8961333168723378,2103,1315
all,SC,0.6654749339986935,0.9350718861983812,0.8905032958997842,1.050048765123956,360675068,44348776,0.6246401795731925,0.9174773752448621,2103,1315
all,SRSC,0.663412234350433,0.9361637673337253,0.8905032958997842,1.0512749044772538,360675068,44348776,0.6223741781998045,0.9180155862687019,2103,1315
boundary,U,0.5,0.5142107565167382,0.5142107565167382,1.0,16719011,15794916,0.5,0.5468424045567704,2102,1316
boundary,SR,0.5070698383445466,0.5197289741892852,0.5142107565167382,1.0107314318158713,16719011,15794916,0.5032705438566765,0.5497425272123809,2102,1316
boundary,SC,0.5397025465798129,0.5439875358404782,0.5142107565167382,1.0579077332521158,16719011,15794916,0.5338938789307577,0.5725692486699552,2102,1316
boundary,SRSC,0.5385423877441458,0.5448359697524545,0.5142107565167382,1.0595577063443236,16719011,15794916,0.5332839331466441,0.5744407039737295,2102,1316
interior,U,0.5,0.9233473829906118,0.9233473829906118,1.0,343956057,28553860,0.5,0.9120579580649956,2103,1315
interior,SR,0.5688125078511426,0.9384866556181536,0.9233473829906118,1.0163960746588219,343956057,28553860,0.5337416313638714,0.9186906493421414,2103,1315
interior,SC,0.6867214622453534,0.9588489155555416,0.9233473829906118,1.0384487282023203,343956057,28553860,0.6466158242690423,0.9398454754118883,2103,1315
interior,SRSC,0.6837912334533706,0.9596067501020517,0.9233473829906118,1.039269475150295,343956057,28553860,0.643921713514934,0.9401984555335744,2103,1315
class0,U,0.5,0.9146528741791718,0.9146528741791718,1.0,146193040,13641411,0.5,0.7831262631333819,1511,1907
class0,SR,0.6566921129881743,0.9476488591922594,0.9146528741791718,1.0360748716202295,146193040,13641411,0.606743439931795,0.8363293620452651,1511,1907
class0,SC,0.7103033264969433,0.9589575994004039,0.9146528741791718,1.0484388410860153,146193040,13641411,0.6560839707802598,0.8549785002773928,1511,1907
class0,SRSC,0.7243974168360684,0.9614981224702002,0.9146528741791718,1.0512164227692042,146193040,13641411,0.6634454801335692,0.8569287080075906,1511,1907
class1,U,0.5,0.8807695041993474,0.8807695041993474,1.0,148211764,20063549,0.5,0.6793408072412509,2003,1415
class1,SR,0.5532669883552425,0.8961540931245291,0.8807695041993474,1.0174672134444152,148211764,20063549,0.501602597687865,0.695222192295342,2003,1415
class1,SC,0.6766169091617521,0.9288201166772947,0.8807695041993474,1.0545552636062565,148211764,20063549,0.6136241213251696,0.7347085262205931,2003,1415
class1,SRSC,0.6749923245900404,0.9302215649999173,0.8807695041993474,1.056146427146707,148211764,20063549,0.6056136108383764,0.7336795719120489,2003,1415
class2,U,0.5,0.8436729212825624,0.8436729212825625,0.9999999999999999,44562964,8257226,0.5,0.6495026131102705,836,2582
class2,SR,0.47835954365525934,0.8401808789079271,0.8436729212825625,0.9958609049946432,44562964,8257226,0.46287557328028217,0.6558111095520764,836,2582
class2,SC,0.5823777340611597,0.8741410591533098,0.8436729212825625,1.0361136847019212,44562964,8257226,0.5742531392895482,0.6986741416962801,836,2582
class2,SRSC,0.5652282694884421,0.8706101972321784,0.8436729212825625,1.0319285771417974,44562964,8257226,0.5500872043998205,0.6919514322588391,836,2582
class3,U,0.5,0.9009462564990544,0.9009462564990544,1.0,21707300,2386590,0.5,0.7013645980180933,312,3106
class3,SR,0.25971529513177105,0.8194324391544303,0.9009462564990544,0.9095242177248454,21707300,2386590,0.3600083361645708,0.6626287558700745,312,3106
class3,SC,0.5236508430339164,0.8869534059547508,0.9009462564990544,0.984468717813782,21707300,2386590,0.5946389884327413,0.7412083620019421,312,3106
class3,SRSC,0.4408526697519326,0.8714117339385167,0.9009462564990544,0.967218330341585,21707300,2386590,0.5380301628092994,0.7219293468591147,312,3106
