group,variant,targets,purity_pixel_mean,purity_image_mean,purity_eligible_images,purity_p05,purity_p25,purity_p50,purity_p75,purity_p95,mass_pixel_mean,mass_image_mean,mass_eligible_images,mass_p05,mass_p25,mass_p50,mass_p75,mass_p95,neff_pixel_mean,neff_image_mean,neff_eligible_images,neff_p05,neff_p25,neff_p50,neff_p75,neff_p95,same_mass_pixel_mean,same_mass_image_mean,same_mass_eligible_images,same_mass_p05,same_mass_p25,same_mass_p50,same_mass_p75,same_mass_p95,wrong_mass_pixel_mean,wrong_mass_image_mean,wrong_mass_eligible_images,wrong_mass_p05,wrong_mass_p25,wrong_mass_p50,wrong_mass_p75,wrong_mass_p95,fg_mass_pixel_mean,fg_mass_image_mean,fg_mass_eligible_images,fg_mass_p05,fg_mass_p25,fg_mass_p50,fg_mass_p75,fg_mass_p95,purity_gain_image_mean,purity_gain_pixel_mean,uniform_purity_image_mean,pair_auroc,pair_auprc,pair_prevalence,pair_auprc_over_prevalence,pair_positive,pair_negative,pair_image_balanced_auroc,pair_image_balanced_auprc,pair_auroc_eligible_images,pair_auroc_excluded_images,neighbor_accuracy,neighbor_miou,neighbor_dice,neighbor_iou_class0,neighbor_iou_class1,neighbor_iou_class2,neighbor_iou_class3,neighbor_nll,neighbor_brier,neighbor_targets,neighbor_coverage,net_repair_vs_raw,echo_count,echo_fraction,non_echo_count,srsc_correct_deep_wrong_count,srsc_wrong_deep_correct_count,srsc_correct_deep_wrong_given_non_echo,srsc_wrong_deep_correct_given_non_echo
class0,U,965133,0.9144390001998515,0.7859340890452546,2018,0.5306396484375,0.9061279296875,0.9998779296875,0.9998779296875,0.9998779296875,167.87314287253673,159.32282633369456,2018,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,167.87314287253673,159.32282633369456,2018,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,151.4745014417702,125.14496422343932,2018,71.01171875,117.00390625,148.99609375,194.00390625,223.97265625,14.13422916841513,29.796740023439433,2018,0.02734375,0.02734375,0.02734375,15.01171875,78.99609375,165.60873061018532,154.94170424687874,2018,89.00390625,128.98046875,163.98046875,208.98828125,223.97265625,0.0,0.0,0.7859340890452546,0.5,0.9146528741791718,0.9146528741791718,1.0,146193040,13641411,0.5,0.7831262631333819,1511,1907,0.9165109886409438,0.22912774716023596,0.2391092443698613,0.9165109886409438,0.0,0.0,0.0,0.4095068084068542,0.19514701003640803,965133,1.0,0.07776959237742363,,,,,,,
class0,SR,965133,0.9178240920690265,0.7914348791755835,2018,0.5445556640625,0.9124755859375,0.9998779296875,0.9998779296875,0.9998779296875,143.55782164024086,133.32028044565476,2018,76.64453125,110.82421875,143.41796875,179.23828125,205.10546875,162.3492955239349,152.96703034416774,2018,87.63671875,126.46484375,162.12109375,206.85546875,221.73046875,130.89996571153642,107.16501796786334,2018,56.84765625,97.75390625,128.48828125,168.08203125,204.12109375,10.943182619467976,22.901881999506813,2018,0.02734375,0.02734375,0.02734375,11.45703125,61.33203125,141.84314833084767,130.06689996767417,2018,74.18359375,109.29296875,141.28515625,177.76171875,204.88671875,0.005500790130328816,0.0033850918691750165,0.7859340890452546,0.6566921129881743,0.9476488591922594,0.9146528741791718,1.0360748716202295,146193040,13641411,0.606743439931795,0.8363293620452651,1511,1907,0.9128669312934072,0.2282167328233518,0.23861224122792526,0.9128669312934072,0.0,0.0,0.0,0.3881035401439476,0.18408872260485604,965133,1.0,0.07412553502988707,,,,,,,
class0,SC,965133,0.9213756099292006,0.8018096623411911,2018,0.5416259765625,0.9256591796875,0.9998779296875,0.9998779296875,0.9998779296875,133.39022889798912,121.21537023400158,2018,59.36328125,99.99609375,131.22265625,170.76171875,205.81640625,157.35635923023628,146.45852376212184,2018,81.34765625,118.69921875,157.74609375,201.16796875,222.16796875,122.97831729327041,100.10462619264813,2018,39.83984375,86.65234375,120.66796875,161.95703125,204.61328125,9.015135737115385,18.535325274834523,2018,0.02734375,0.02734375,0.02734375,8.44921875,51.70703125,131.99345303037703,118.63995146781279,2018,57.17578125,98.51953125,129.69140625,169.33984375,205.59765625,0.01587557329593643,0.006936609729349175,0.7859340890452546,0.7103033264969433,0.9589575994004039,0.9146528741791718,1.0484388410860153,146193040,13641411,0.6560839707802598,0.8549785002773928,1511,1907,0.8822991235404861,0.22057478088512153,0.23436740539966278,0.8822991235404861,0.0,0.0,0.0,0.4006802633100261,0.19441655240770395,965133,1.0,0.043557727276965975,,,,,,,
class0,SRSC,965133,0.9246170768311345,0.808287442678742,2018,0.5535888671875,0.9329833984375,0.9998779296875,0.9998779296875,0.9998779296875,116.79470407599896,104.25827639550684,2018,46.62109375,84.73828125,114.59765625,150.19921875,189.51953125,150.44603994996993,138.67262090360302,2018,76.42578125,114.54296875,149.10546875,190.99609375,217.73828125,108.67662544643568,87.85842247301194,2018,30.81640625,73.47265625,106.66796875,144.40234375,188.64453125,7.044704303650542,14.439935315489354,2018,0.02734375,0.02734375,0.02734375,6.37109375,40.49609375,115.72132974993401,102.2983577863373,2018,44.76171875,83.42578125,113.44921875,149.21484375,189.35546875,0.02235335363348734,0.010178076631283006,0.7859340890452546,0.7243974168360684,0.9614981224702002,0.9146528741791718,1.0512164227692042,146193040,13641411,0.6634454801335692,0.8569287080075906,1511,1907,0.8802962907702876,0.2200740726925719,0.23408446187214008,0.8802962907702876,0.0,0.0,0.0,0.38749176789187256,0.1891690152041528,965133,1.0,0.04155489450676746,865191,0.896447432633637,99942,87579,2852,0.8762982529867323,0.028536551199695823
class1,U,1044692,0.8811207831432563,0.6833148095759821,2676,0.3875732421875,0.8321533203125,0.9998779296875,0.9998779296875,0.9998779296875,167.93096625608314,160.1039258808018,2676,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,167.93096625608314,160.1039258808018,2676,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,141.87125391981562,103.87479312863503,2676,47.98828125,103.00390625,138.98828125,186.01953125,223.97265625,19.205228909573346,44.47097255848046,2676,0.02734375,0.02734375,0.02734375,26.00390625,96.98828125,161.07648282938894,148.3457656871155,2676,78.99609375,119.02734375,163.98046875,208.98828125,223.97265625,0.0,0.0,0.6833148095759821,0.5,0.8807695041993474,0.8807695041993474,1.0,148211764,20063549,0.5,0.6793408072412509,2003,1415,0.8407272191229568,0.2101818047807392,0.22836822598938217,0.0,0.8407272191229568,0.0,0.0,0.5613615158189917,0.294669994506136,1044692,1.0,0.08512843976980775,,,,,,,
class1,SR,1044692,0.8816936682154627,0.6833568827176398,2676,0.3856201171875,0.8358154296875,0.9998779296875,0.9998779296875,0.9998779296875,136.14860064611835,127.1967284732431,2676,72.32421875,105.24609375,136.14453125,170.21484375,193.78515625,159.90329998265156,151.31395292735468,2676,86.10546875,123.73046875,159.93359375,204.01171875,219.54296875,115.87361430553105,83.82184910377336,2676,36.72265625,82.49609375,114.32421875,152.44140625,190.94140625,14.934027298437158,34.45289998972673,2676,0.02734375,0.02734375,0.02734375,19.87890625,76.53515625,130.80764160353982,118.27474908990129,2676,63.24609375,100.10546875,130.07421875,165.83984375,192.91015625,4.207314165777218e-05,0.0005728850722064305,0.6833148095759821,0.5532669883552425,0.8961540931245291,0.8807695041993474,1.0174672134444152,148211764,20063549,0.501602597687865,0.695222192295342,2003,1415,0.8404936574607635,0.21012341436519089,0.2283337554719831,0.0,0.8404936574607635,0.0,0.0,0.5335970741915805,0.27804387446281986,1044692,1.0,0.0848948781076145,,,,,,,
class1,SC,1044692,0.8929502869089345,0.7040811254235062,2676,0.4114990234375,0.8704833984375,0.9998779296875,0.9998779296875,0.9998779296875,125.23343795066128,112.90888173785778,2676,52.03515625,93.43359375,123.78515625,160.31640625,196.13671875,154.87243581368458,144.0555391632359,2676,78.55859375,117.33203125,154.35546875,198.05078125,220.91015625,108.96599285244685,78.19292685798787,2676,26.82421875,71.99609375,107.48828125,146.20703125,192.69140625,11.509301749542688,26.987995616098384,2676,0.02734375,0.02734375,0.02734375,13.26171875,61.49609375,120.47529460197795,105.18092247486389,2676,44.76171875,87.96484375,118.75390625,155.66796875,194.87890625,0.020766315847524128,0.011829503765678262,0.6833148095759821,0.6766169091617521,0.9288201166772947,0.8807695041993474,1.0545552636062565,148211764,20063549,0.6136241213251696,0.7347085262205931,2003,1415,0.8468170522986679,0.21170426307466697,0.2292639249904761,0.0,0.8468170522986679,0.0,0.0,0.5201582053505374,0.2674351935658317,1044692,1.0,0.09121827294551887,,,,,,,
class1,SRSC,1044692,0.8943793892921239,0.7064173388382357,2676,0.4075927734375,0.8773193359375,0.9998779296875,0.9998779296875,0.9998779296875,104.89900366787431,92.80538164615864,2676,37.81640625,76.09765625,103.87890625,134.66796875,171.36328125,145.16421771399223,133.96632042458634,2676,71.50390625,109.78515625,143.91015625,185.47265625,213.14453125,92.02199544429597,65.40055877760062,2676,19.44140625,58.26953125,90.75390625,124.55078125,168.68359375,9.06885284132574,21.344806535279773,2676,0.02734375,0.02734375,0.02734375,10.03515625,48.91796875,101.09084828562207,86.7453653116118,2676,32.62109375,71.55859375,99.83203125,131.05859375,170.26953125,0.02310252926225345,0.013258606148867647,0.6833148095759821,0.6749923245900404,0.9302215649999173,0.8807695041993474,1.056146427146707,148211764,20063549,0.6056136108383764,0.7336795719120489,2003,1415,0.8444287885807492,0.2111071971451873,0.22891336163499165,0.0,0.8444287885807492,0.0,0.0,0.502763071697317,0.2588348970157656,1044692,1.0,0.08883000922760009,928933,0.8891931784679121,115759,76849,23482,0.663870627769763,0.20285247799307182
class2,U,323515,0.8434606292709902,0.6523441089767308,935,0.3956298828125,0.7183837890625,0.9730224609375,0.9998779296875,0.9998779296875,168.26172202216281,156.59065416242268,935,89.00390625,134.01171875,163.98046875,223.97265625,223.97265625,168.26172202216281,156.59065416242268,935,89.00390625,134.01171875,163.98046875,223.97265625,223.97265625,137.74620651283558,101.2920115773402,935,51.98046875,99.01171875,134.01171875,179.01953125,223.97265625,25.523471863746657,47.86412279804171,935,0.02734375,0.02734375,4.01953125,43.99609375,102.01953125,163.26967837658222,149.15613437538192,935,86.98046875,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0,0.6523441089767308,0.5,0.8436729212825624,0.8436729212825625,0.9999999999999999,44562964,8257226,0.5,0.6495026131102705,836,2582,0.49427383583450535,0.12356845895862634,0.16538930950312358,0.0,0.0,0.49427383583450535,0.0,1.0802956326383661,0.6125983263464798,323515,1.0,0.03959630929014111,,,,,,,
class2,SR,323515,0.8392074808901059,0.645147596631589,935,0.3775634765625,0.7098388671875,0.9730224609375,0.9998779296875,0.9998779296875,128.06567706109317,119.02208030917198,935,65.70703125,96.98828125,127.72265625,162.50390625,184.43359375,156.15912189391963,145.38090456640433,935,82.76953125,119.57421875,155.88671875,200.56640625,215.76953125,104.31027561124837,75.91393453341249,935,36.83203125,72.43359375,100.98046875,136.30859375,178.03515625,19.978364200961114,37.399759506191415,935,0.02734375,0.02734375,3.03515625,34.15234375,80.52734375,124.28863981194749,113.31369404758877,935,61.27734375,93.59765625,123.12890625,158.40234375,183.23046875,-0.007196512345141811,-0.0042531483808843085,0.6523441089767308,0.47835954365525934,0.8401808789079271,0.8436729212825625,0.9958609049946432,44562964,8257226,0.46287557328028217,0.6558111095520764,836,2582,0.5507287142790906,0.13768217856977266,0.17757094107047464,0.0,0.0,0.5507287142790906,0.0,1.0051862480055567,0.5650169805825902,323515,1.0,0.09605118773472636,,,,,,,
