image_id,all_targets,all_U_purity,all_SRSC_purity,all_SRSC_N_eff,Corrected_by_CH_targets,Corrected_by_CH_U_purity,Corrected_by_CH_SRSC_purity,Corrected_by_CH_SRSC_N_eff,Still_Wrong_targets,Still_Wrong_U_purity,Still_Wrong_SRSC_purity,Still_Wrong_SRSC_N_eff,Harmed_by_CH_targets,Harmed_by_CH_U_purity,Harmed_by_CH_SRSC_purity,Harmed_by_CH_SRSC_N_eff,Stable_Correct_targets,Stable_Correct_U_purity,Stable_Correct_SRSC_purity,Stable_Correct_SRSC_N_eff,Top20_targets,Top20_U_purity,Top20_SRSC_purity,Top20_SRSC_N_eff,Bottom80_targets,Bottom80_U_purity,Bottom80_SRSC_purity,Bottom80_SRSC_N_eff,Q1_targets,Q1_U_purity,Q1_SRSC_purity,Q1_SRSC_N_eff,Q2_targets,Q2_U_purity,Q2_SRSC_purity,Q2_SRSC_N_eff,Q3_targets,Q3_U_purity,Q3_SRSC_purity,Q3_SRSC_N_eff,Q4_targets,Q4_U_purity,Q4_SRSC_purity,Q4_SRSC_N_eff,Q5_targets,Q5_U_purity,Q5_SRSC_purity,Q5_SRSC_N_eff,boundary_targets,boundary_U_purity,boundary_SRSC_purity,boundary_SRSC_N_eff,interior_targets,interior_U_purity,interior_SRSC_purity,interior_SRSC_N_eff,class0_targets,class0_U_purity,class0_SRSC_purity,class0_SRSC_N_eff,class1_targets,class1_U_purity,class1_SRSC_purity,class1_SRSC_N_eff,class2_targets,class2_U_purity,class2_SRSC_purity,class2_SRSC_N_eff,class3_targets,class3_U_purity,class3_SRSC_purity,class3_SRSC_N_eff,Deep_Correct_targets,Deep_Correct_U_purity,Deep_Correct_SRSC_purity,Deep_Correct_SRSC_N_eff,Deep_Wrong_targets,Deep_Wrong_U_purity,Deep_Wrong_SRSC_purity,Deep_Wrong_SRSC_N_eff,Top20_Deep_Correct_targets,Top20_Deep_Correct_U_purity,Top20_Deep_Correct_SRSC_purity,Top20_Deep_Correct_SRSC_N_eff,Top20_Deep_Wrong_targets,Top20_Deep_Wrong_U_purity,Top20_Deep_Wrong_SRSC_purity,Top20_Deep_Wrong_SRSC_N_eff,U_pair_auroc,U_pair_auprc,U_pair_positive,U_pair_negative,SR_pair_auroc,SR_pair_auprc,SR_pair_positive,SR_pair_negative,SC_pair_auroc,SC_pair_auprc,SC_pair_positive,SC_pair_negative,SRSC_pair_auroc,SRSC_pair_auprc,SRSC_pair_positive,SRSC_pair_negative,U_confusion,U_top20_repair,U_top20_harm,SR_confusion,SR_top20_repair,SR_top20_harm,SC_confusion,SC_top20_repair,SC_top20_harm,SRSC_confusion,SRSC_top20_repair,SRSC_top20_harm,raw_confusion,raw_top20_repair,raw_top20_harm,deep_confusion,deep_top20_repair,deep_top20_harm,oracle_confusion,oracle_top20_repair,oracle_top20_harm,SRSC_image_balanced_pair_AUROC,SRSC_minus_U_purity,SRSC_Corrected_minus_Harmed_purity,Harmed_SRSC_minus_U_purity,SRSC_mean_N_eff,target_AUROC_purity,target_AUROC_purity_gain,target_AUROC_negative_wrong_mass
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,630,0.9975936580271948,0.9974562894730341,160.03853549957276,22,0.9983937063000419,0.9982027926228263,152.48704676194623,1,0.0,0.0,57.914634704589844,0,nan,nan,nan,607,0.999208143358372,0.9990724891767864,160.4804739724274,27,0.9986911680963304,0.9985356088037844,181.80773812753182,603,0.9975445157852932,0.9974079617418065,159.0637950833955,260,0.9950927995718443,0.9948904012258236,138.32052062107965,128,0.9994438206776977,0.9993666573427618,171.943540930748,77,0.9988255051823406,0.9986515881179215,178.01558826496074,126,0.9997760979902177,0.9997400002820152,178.40943260798377,39,0.9987106506641095,0.9985541945848709,170.9071784386268,5,0.7893345475196838,0.787313175201416,67.55551452636719,625,0.9992597309112549,0.999137434387207,160.7783996673584,0,nan,nan,nan,629,0.9991796574835179,0.9990420705373791,160.20089464233106,1,0.0,0.0,57.914634704589844,0,nan,nan,nan,626,0.999175726129605,0.9990374798211046,160.74616223783158,4,0.75,0.75,49.29495096206665,27,0.9986911680963304,0.9985356088037844,181.80773812753182,0,nan,nan,nan,0.5,0.9987499751979206,100672,126,0.24196443550136731,0.9974181515169913,100672,126,0.2664318399403627,0.9975294694262429,100672,126,0.2546205767086449,0.9974459502588622,100672,126,"[[0,0,0,0],[0,629,0,0],[0,1,0,0],[0,0,0,0]]",18,0,"[[0,0,0,0],[0,629,0,0],[0,1,0,0],[0,0,0,0]]",18,0,"[[0,0,0,0],[0,629,0,0],[0,1,0,0],[0,0,0,0]]",18,0,"[[0,0,0,0],[0,629,0,0],[0,1,0,0],[0,0,0,0]]",18,0,"[[0,0,0,0],[4,591,34,0],[0,1,0,0],[0,0,0,0]]",0,0,"[[0,0,0,0],[0,626,3,0],[0,1,0,0],[0,0,0,0]]",18,0,"[[0,0,0,0],[0,629,0,0],[0,0,0,0],[0,0,0,0]]",18,0,0.2546205767086449,-0.00013736855416068838,nan,nan,160.03853549957276,nan,nan,nan
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,187,0.9546515423665072,0.9445925799601855,107.66922775309354,9,0.9732223484251235,0.92636329597897,92.37719493442111,23,0.9844661769659623,0.9579702667568041,74.95631217956543,9,1.0,1.0,150.20514339870877,146,0.9460144877842028,0.9401933332420376,111.1432148267145,37,0.9605859985222688,0.8920851027643358,90.5708790340939,150,0.953187709848086,0.9575444243351618,111.88682043711344,68,0.9633822042275878,0.9648145143600071,101.90988021738389,34,0.9079741360071827,0.9141167349675122,104.94612940619973,27,0.9876154020980552,0.9744904438654581,126.59227858649359,24,0.9410514834647378,0.9405068283279737,127.5672660668691,34,0.9672904838533962,0.9137661947923548,92.83821846457089,9,0.533823598590162,0.49054080579015946,28.20973841349284,178,0.9759293597484573,0.9675502539350745,111.68684238262391,0,nan,nan,nan,182,0.9780716545634217,0.9632520718233926,109.9312237750043,5,0.10215945839881897,0.26538707613945006,25.332572555541994,0,nan,nan,nan,136,0.9544788035838043,0.9690795998801204,121.06149902063258,51,0.9551121791203817,0.8792938601736929,71.95650437298943,9,1.0,1.0,117.28645663791232,28,0.947917212332998,0.8573981715100152,81.98372909000942,0.5,0.9650446871896722,9718,352,0.5540132299014013,0.9727810933653093,9718,352,0.7505408192856742,0.9865679436902701,9718,352,0.7417365736496473,0.9862863143492194,9718,352,"[[0,0,0,0],[0,182,0,0],[0,5,0,0],[0,0,0,0]]",19,0,"[[0,0,0,0],[0,182,0,0],[0,5,0,0],[0,0,0,0]]",19,0,"[[0,0,0,0],[1,163,18,0],[0,0,5,0],[0,0,0,0]]",14,8,"[[0,0,0,0],[5,157,20,0],[0,0,5,0],[0,0,0,0]]",14,8,"[[0,0,0,0],[24,144,10,4],[0,0,5,0],[0,0,0,0]]",0,0,"[[0,0,0,0],[15,131,20,16],[0,0,5,0],[0,0,0,0]]",8,17,"[[0,0,0,0],[27,155,0,0],[0,0,5,0],[0,0,0,0]]",17,4,0.7417365736496473,-0.010058962406321648,-0.07363670402102995,0.0,107.66922775309354,0.3888888888888889,0.3888888888888889,0.3888888888888889
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,750,0.7094004776875178,0.7386825249195099,127.44135323588053,75,0.7805956570307414,0.7301943612098694,121.40753214518229,95,0.6154427468776703,0.47310562478868584,133.50658264160157,56,0.6437143183180264,0.5685640318053109,133.3808877127511,524,0.7232645442922607,0.8062265199673084,126.5706010556403,118,0.7210586328627699,0.6853424106108941,120.95508575439453,632,0.7072237968161891,0.7486415968948528,128.65239684793013,130,0.690541635797574,0.755670720911943,106.18119735717774,173,0.6687468292051657,0.7161114612066677,128.40247730850484,176,0.7239681721072305,0.7604742945087227,139.49606561660767,134,0.7481425313362434,0.7651075155877355,137.19707016446696,137,0.7220236983177436,0.6972228778104712,121.37310763171119,156,0.5277418509507791,0.5326476977803768,121.78385837261493,594,0.7571088039012067,0.7927926815419085,128.92715996764727,0,nan,nan,nan,465,0.7546825455081079,0.7785073659753287,126.63570630473475,285,0.6355192091381341,0.6737051526705424,128.75582980774996,0,nan,nan,nan,567,0.739168978715069,0.829077662036112,127.11293278043232,183,0.6171669253234655,0.45860578860741497,128.45891825358072,65,0.822932238303698,0.885595454619481,125.06017291729268,53,0.5961193054352166,0.4397490547513062,115.92054489423644,0.5,0.6945568692437617,87178,38338,0.4649286514547775,0.6773920069058594,87178,38338,0.5834670117889583,0.7385021137140986,87178,38338,0.5773109614900837,0.736960811664349,87178,38338,"[[0,0,0,0],[0,339,126,0],[0,33,252,0],[0,0,0,0]]",59,15,"[[0,0,0,0],[0,324,141,0],[0,31,254,0],[0,0,0,0]]",57,19,"[[0,0,0,0],[0,344,121,0],[0,65,220,0],[0,0,0,0]]",46,19,"[[0,0,0,0],[0,343,122,0],[0,65,220,0],[0,0,0,0]]",46,19,"[[0,0,0,0],[45,327,93,0],[10,69,206,0],[0,0,0,0]]",0,0,"[[0,0,0,0],[0,347,118,0],[0,65,220,0],[0,0,0,0]]",46,19,"[[0,0,0,0],[0,455,10,0],[0,0,285,0],[0,0,0,0]]",79,0,0.5773109614900837,0.029282047231992125,0.16163032940455846,-0.07515028651271549,127.44135323588053,0.7082142857142857,0.5151190476190476,0.7222619047619048
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,459,0.7430125749740984,0.7747687105584509,117.24905842633548,156,0.7886478218894738,0.8265289339499596,113.29103301121638,49,0.6537607131259782,0.679625748067486,100.28384640752053,14,0.9069511698825019,0.9026290007999965,131.90686362130302,240,0.7220088349034389,0.7530910699317853,122.43046709696452,155,0.8082217512592192,0.847730088810767,98.35977229456748,304,0.7097644752234613,0.7375680078311186,126.88010892115142,34,0.839900355128681,0.8753628796514343,77.07166144427131,67,0.7417223196643502,0.7618130525546287,112.41331561643686,83,0.6927371739623058,0.7180387546499092,140.025867416198,112,0.6889687622232097,0.7166424516056266,138.51592193331038,163,0.786067960818121,0.8279377576763645,101.40649650433312,66,0.5151549759462024,0.5421866329781937,136.93392302773216,393,0.7812787366429055,0.8138282961062803,113.94320330243681,0,nan,nan,nan,182,0.6370975951572041,0.6668069546039288,132.10733920925267,277,0.812602922723827,0.8457038715105194,107.48657791192781,0,nan,nan,nan,340,0.7444365235812523,0.7880633452359368,110.29233852835263,119,0.7389441503822303,0.7367840400513481,137.1254009920008,134,0.7983627846436714,0.8416314131733197,97.9261023108639,21,0.8711313477584294,0.8866454476401919,101.12699980962844,0.5,0.7216363507679241,40784,15732,0.46105243672655666,0.730070884495467,40784,15732,0.5681681698573208,0.7895597872792254,40784,15732,0.5477365454096904,0.7878797628269056,40784,15732,"[[0,0,0,0],[0,182,0,0],[0,124,153,0],[0,0,0,0]]",90,8,"[[0,0,0,0],[0,182,0,0],[0,64,213,0],[0,0,0,0]]",106,3,"[[0,0,0,0],[0,167,10,5],[0,57,220,0],[0,0,0,0]]",112,5,"[[0,0,0,0],[0,163,14,5],[0,53,224,0],[0,0,0,0]]",112,5,"[[0,0,0,0],[46,116,13,7],[42,103,132,0],[0,0,0,0]]",0,0,"[[0,0,0,0],[37,110,16,19],[0,47,230,0],[0,0,0,0]]",109,17,"[[0,0,0,0],[50,132,0,0],[0,12,265,0],[0,0,0,0]]",101,6,0.5477365454096904,0.03175613558435242,-0.0761000668500369,-0.004322169082505378,117.24905842633548,0.22527472527472528,0.8331043956043956,0.21978021978021978
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,747,0.6892734395571981,0.7252516954778189,132.02961882625718,162,0.7263834527981134,0.7725857831997636,134.82855391796724,140,0.6091082043945789,0.5693761421101434,134.49653570992606,26,0.3806467984731381,0.4317611352755473,151.9125260573167,419,0.7208619919341048,0.7772450363507988,128.8894006005335,205,0.7062736772909397,0.7561780658436985,129.9082404346001,542,0.6828434603405614,0.71355445207375,132.83198519210535,76,0.7636290043592453,0.8109235814527461,98.18280144741661,115,0.7184868860503901,0.756926338309827,123.9037235757579,147,0.6946620124132454,0.7206449065686894,139.17593313723194,198,0.6345802358906678,0.6580295445341052,146.67303929184422,211,0.6941386757868726,0.7434201153674962,129.9297639385784,180,0.5162042304873466,0.5225097986559073,148.32070914374458,567,0.7442160456111191,0.7896142024054098,126.85784412229292,0,nan,nan,nan,298,0.6159651071433253,0.6733656662622555,151.6287357535138,449,0.7379279675289889,0.7596883028413777,119.02174166740978,0,nan,nan,nan,565,0.7141210753305823,0.7797980379214329,128.62037806553124,182,0.6121365482826809,0.555918269760006,142.61325085818112,161,0.75312031481577,0.8298365942995001,124.61584114880296,44,0.534857571802356,0.48665481399406085,149.2736105485396,0.5,0.6703131141097864,81864,40264,0.5069090069743737,0.6878295732814673,81864,40264,0.5897793315643675,0.7423364907752233,81864,40264,0.5794199132738487,0.7441177673632798,81864,40264,"[[0,0,0,0],[0,298,0,0],[0,265,184,0],[0,0,0,0]]",88,20,"[[0,0,0,0],[0,298,0,0],[0,235,214,0],[0,0,0,0]]",102,16,"[[0,0,0,0],[0,297,1,0],[0,185,264,0],[0,0,0,0]]",123,12,"[[0,0,0,0],[0,297,1,0],[0,184,265,0],[0,0,0,0]]",123,12,"[[0,0,0,0],[42,235,21,0],[85,164,199,1],[0,0,0,0]]",0,0,"[[0,0,0,0],[0,280,18,0],[1,159,285,4],[0,0,0,0]]",128,12,"[[0,0,0,0],[0,298,0,0],[0,148,301,0],[0,0,0,0]]",118,10,0.5794199132738487,0.03597825592062076,0.34082464792421624,0.05111433680240923,132.02961882625718,0.915954415954416,0.47922602089268757,0.8462725546058879
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,784,0.6039335420165135,0.6195410846314412,133.6794791367589,131,0.7251674182542408,0.7181326171369043,135.81656588488863,261,0.6399941564576835,0.570646249842598,153.28004269947039,49,0.4120238161816889,0.4516214600631169,146.90060097830636,343,0.5576073566218159,0.643080801032375,116.05982775451838,222,0.6778084098755777,0.6499972489771543,139.466603425172,562,0.574751654712755,0.6075103577902521,131.39346206909397,68,0.5828863606952569,0.6646754329695421,98.3904270845301,110,0.5750138592990962,0.6352974607185884,118.68061707236551,144,0.5635650250025921,0.5940018352121115,138.90896209081015,248,0.5934782548837604,0.5965661263814376,143.25839168794693,214,0.6647669583141247,0.6409107318548398,137.98281796179086,262,0.5247673066119656,0.5319647275707649,135.83305549621582,522,0.6436683191735854,0.6634970339607462,132.5985653318208,0,nan,nan,nan,269,0.38349690401864317,0.47441395798691144,128.22362587797596,515,0.7190742325435564,0.6953453507816907,136.5292354991135,0,nan,nan,nan,422,0.5410642415567597,0.6392922923498526,120.12246883988945,362,0.6772231685193204,0.5965161960757239,149.48350771487748,74,0.6468634665817827,0.7352620560575176,118.40962600708008,148,0.693280881522475,0.6073648454369726,149.99509213421797,0.5,0.6043033284742468,79594,52118,0.4572025191012584,0.5869870026722656,79594,52118,0.4966354322296326,0.6071076532048774,79594,52118,0.48437907998908575,0.6013949109765662,79594,52118,"[[0,0,0,0],[10,240,19,0],[31,381,103,0],[0,0,0,0]]",43,43,"[[0,0,0,0],[6,239,24,0],[5,368,142,0],[0,0,0,0]]",50,41,"[[0,0,0,0],[14,252,3,0],[17,339,159,0],[0,0,0,0]]",56,44,"[[0,0,0,0],[14,252,3,0],[12,338,165,0],[0,0,0,0]]",56,43,"[[0,0,0,0],[37,224,8,0],[151,195,169,0],[0,0,0,0]]",0,0,"[[0,0,0,0],[18,249,2,0],[22,318,173,2],[0,0,0,0]]",57,42,"[[0,0,0,0],[0,269,0,0],[61,276,178,0],[0,0,0,0]]",59,38,0.48437907998908575,0.015607542614927694,0.2665111570737875,0.039597643881428,133.6794791367589,0.8772394453964792,0.3793425767253466,0.8199875369995326
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,784,0.5940195133800296,0.6300886089020238,132.80275403723425,51,0.7224557160162458,0.8052324500738406,103.63978314867207,281,0.5041095624177375,0.44935036836079323,137.3037193271189,49,0.4386724048883331,0.4018810211433744,129.27397116836235,403,0.6593457123925609,0.7616947664516439,133.7840211077896,189,0.5512177797241343,0.5347495231205824,143.73427789678018,595,0.6076153581883726,0.6603727890914228,129.33038763479024,99,0.5525552233060201,0.6014215452502473,93.12859571822966,124,0.5951969746139741,0.6600330133111246,115.00544261932373,159,0.6549831476976287,0.7217929194558341,132.99840927124023,195,0.6168080831185365,0.6629032759330211,155.59541361882137,207,0.5448502890747671,0.5245093224561157,140.81691098789085,245,0.5174435704110228,0.5299068813421288,132.46365242782903,539,0.6288267601841234,0.6756257577928851,132.95689113241843,0,nan,nan,nan,449,0.6388346346754805,0.7235171817790692,132.76468455393223,335,0.5339538731959773,0.5048664321205509,132.8537785088838,0,nan,nan,nan,447,0.6581335931482998,0.7697478327775161,131.88640113164914,337,0.5089779891770123,0.4448432882125724,134.0182132324762,65,0.6494727471700081,0.7645019409748224,126.86172379713793,124,0.49971315969202307,0.4143147879550534,152.57876190062493,0.5,0.5783527696793003,76176,55536,0.5213905087832883,0.5794901668070517,76176,55536,0.6056991683000582,0.6406154766512007,76176,55536,0.5987593513115104,0.6405737333284134,76176,55536,"[[0,0,0,0],[65,377,7,0],[54,235,46,0],[0,0,0,0]]",29,37,"[[0,0,0,0],[68,368,13,0],[56,221,58,0],[0,0,0,0]]",31,35,"[[0,0,0,0],[44,393,12,0],[54,225,56,0],[0,0,0,0]]",35,34,"[[0,0,0,0],[44,391,14,0],[54,223,58,0],[0,0,0,0]]",35,34,"[[0,0,0,0],[85,358,6,0],[139,111,85,0],[0,0,0,0]]",0,0,"[[0,0,0,0],[50,377,15,7],[62,158,70,45],[0,0,0,0]]",38,39,"[[0,0,0,0],[49,400,0,0],[149,87,99,0],[0,0,0,0]]",52,24,0.5987593513115104,0.03606909552199422,0.4033514289304662,-0.03679138374495872,132.80275403723425,0.9507803121248499,0.7517006802721088,0.949779911964786
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,784,0.7336237276999318,0.7427359953028511,136.59534021299712,92,0.7761188249873079,0.7860817669526391,141.08666739256486,434,0.7602240039456275,0.7608926136235488,137.49474894615912,41,0.6572031084357238,0.6646498630686504,137.96929410608803,217,0.6768457394453787,0.7027993505039523,132.63277062622632,285,0.6945533914524212,0.696498396835829,128.66443688911303,499,0.7559384488032194,0.7691442429242965,141.12501445609726,57,0.7810707863485604,0.8121940880491022,93.88585836845532,102,0.7960977026937055,0.8065982817434797,133.90989382126753,150,0.7611105169852574,0.7719812494516373,151.22314832051595,194,0.729915472342796,0.743685244054524,148.77958264301733,281,0.6892093339424541,0.6891986042579298,130.01328238219128,157,0.5232501927834408,0.5222710262817941,132.42953044138136,627,0.7863009924238379,0.7979401422507074,137.63845366458193,0,nan,nan,nan,397,0.747865332839471,0.7561104312651704,135.05731635490054,387,0.719014122427588,0.7290159666800068,138.17310628964918,0,nan,nan,nan,321,0.7047743444502168,0.7333756652762214,127.5645688612513,463,0.7536251359572936,0.7492255545653741,142.85641495146453,131,0.7198893004701338,0.7450572170374048,124.62089605549819,154,0.673001416898393,0.6551918679630602,132.10407227355165,0.5,0.7229257774538388,95218,36494,0.5490731441591259,0.749052611246866,95218,36494,0.5443211120165964,0.753754647095617,95218,36494,0.5582218071131878,0.7637008973532623,95218,36494,"[[0,0,0,0],[201,196,0,0],[279,108,0,0],[0,0,0,0]]",50,59,"[[0,0,0,0],[192,205,0,0],[269,118,0,0],[0,0,0,0]]",50,57,"[[0,0,0,0],[121,251,25,0],[229,113,45,0],[0,0,0,0]]",77,50,"[[0,0,0,0],[116,247,34,0],[218,115,54,0],[0,0,0,0]]",78,51,"[[0,0,0,0],[169,188,36,4],[194,116,74,3],[0,0,0,0]]",0,0,"[[0,0,0,0],[86,191,86,34],[104,78,130,75],[0,0,0,0]]",102,61,"[[0,0,0,0],[172,225,0,0],[294,63,30,0],[0,0,0,0]]",64,48,0.5582218071131878,0.009112267602919277,0.12143190388398872,0.007446754632926544,136.59534021299712,0.6927359490986215,0.4387592788971368,0.6120095440084835
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,784,0.8842548700619717,0.9022077594180496,132.17437871864863,167,0.9611998369058449,0.9686753872536613,133.20312045434278,141,0.6806302376038639,0.6943758936427163,108.4823455404728,38,0.8521162444039395,0.9262077729952963,110.84347032245837,438,0.9232560835064274,0.9416876651482767,141.25965572165572,346,0.8107206688364806,0.8271348079117392,119.09245015293187,438,0.9423435313040263,0.9615119631193816,142.50850493722854,59,0.9618128480042442,0.9742747997328386,122.49559518846415,101,0.9338624829998111,0.9594061712522318,141.79834297860023,107,0.944652073781624,0.967665895819664,149.07164967617143,153,0.9158157152093314,0.9339411263080204,143.9263367497064,364,0.8268988269002555,0.8420752849593595,121.16605527584369,81,0.4706545994605547,0.490445005029072,97.67527269434046,703,0.9319100932749372,0.9496512631243188,136.14938239997005,10,0.09725713208317757,0.07884095758199691,70.39684410095215,721,0.9459763207316564,0.9701714104819066,135.17029432648593,53,0.19310036906093922,0.13299786510332576,103.07475971725752,0,nan,nan,nan,331,0.9388118975337179,0.9550635804312467,139.1303057713811,453,0.8443909051764353,0.8635868394282743,127.09179184347326,67,0.9153697422858494,0.9277971082214099,136.44001735858063,279,0.7855898877572415,0.802961423966406,114.92654691716676,0.5,0.9041089650145773,119082,12630,0.6678602077202289,0.9450449175542897,119082,12630,0.6716906131855913,0.9445954876994048,119082,12630,0.7011898489132016,0.9523433409364603,119082,12630,"[[10,0,0,0],[83,638,0,0],[25,28,0,0],[0,0,0,0]]",131,29,"[[10,0,0,0],[41,673,7,0],[21,32,0,0],[0,0,0,0]]",138,15,"[[9,0,1,0],[43,645,33,0],[7,46,0,0],[0,0,0,0]]",135,18,"[[4,0,6,0],[37,629,55,0],[5,47,1,0],[0,0,0,0]]",132,34,"[[8,2,0,0],[203,441,69,8],[38,7,8,0],[0,0,0,0]]",0,0,"[[0,0,8,2],[45,318,173,185],[1,12,13,27],[0,0,0,0]]",51,131,"[[10,0,0,0],[25,692,4,0],[51,0,2,0],[0,0,0,0]]",148,2,0.7011898489132016,0.017952889356077972,0.04246761425836498,0.07409152859135681,132.17437871864863,0.8683422628427356,0.12795461708162623,0.7466120390797353
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,784,0.6944299306463906,0.7454417647356738,135.2518919049477,82,0.8245849605740571,0.8606886689255877,144.91404203089272,152,0.5553962589535666,0.5557060259345331,125.92276046150609,64,0.35671496693976223,0.4383336602477357,147.22900652885437,486,0.7604261514703923,0.8257802520637159,134.96217242582344,131,0.7177197469099788,0.7716311569546015,130.66958102743135,653,0.6897577010437412,0.7401878437851691,136.17116100901302,94,0.705836111243735,0.7474760876056996,114.71350820013818,189,0.6692485230822096,0.7377252821174879,130.52851459967397,205,0.6957629597041665,0.7417918081327183,143.32416221804735,159,0.6795994114575896,0.7196975549999273,144.66061974771367,137,0.736560490118326,0.7900312487987706,132.86155057475514,206,0.48664432585022405,0.504952001593356,143.13212085464625,578,0.768485007788277,0.8311526491773995,132.44336740038386,153,0.35243389129736064,0.42820413089266013,151.55401272243924,604,0.8025234313496691,0.8501486861153155,132.90978986222223,27,0.21431584159533182,0.20078907824224895,95.26689741346571,0,nan,nan,nan,552,0.7341533012256243,0.8095685457135888,136.9266059986059,232,0.5999157040958004,0.5928642513744277,131.26722733727817,68,0.7831939848906854,0.8631531951182029,137.2032127941356,63,0.6470491408355652,0.6728454649684921,123.6174070570204,0.5,0.6797254616132167,89528,42184,0.46936235712053775,0.6687270470333887,89528,42184,0.6721100272594238,0.7847125942101643,89528,42184,0.6537389418851688,0.7842193388685587,89528,42184,"[[97,56,0,0],[137,467,0,0],[9,18,0,0],[0,0,0,0]]",63,19,"[[99,54,0,0],[134,470,0,0],[10,17,0,0],[0,0,0,0]]",64,19,"[[105,47,1,0],[80,469,55,0],[7,17,3,0],[0,0,0,0]]",62,19,"[[103,50,0,0],[79,467,58,0],[7,17,3,0],[0,0,0,0]]",61,19,"[[121,19,13,0],[128,400,68,8],[8,6,13,0],[0,0,0,0]]",0,0,"[[111,28,13,1],[74,430,94,6],[6,10,11,0],[0,0,0,0]]",51,21,"[[151,2,0,0],[73,509,22,0],[0,0,27,0],[0,0,0,0]]",78,9,0.6537389418851688,0.051011834089283226,0.42235500867785203,0.08161869330797344,135.2518919049477,0.8927210365853658,0.3585175304878049,0.8548971036585366
