group,targets,winner_targets,auroc,auprc,positive,negative,prevalence,image_balanced_auroc,image_balanced_auprc,auroc_eligible_images,auroc_excluded_images,hard_disagreement_prevalence
all,2479143,497629,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,238,0.23705812855490788
Top20,485451,323902,0.6589776204103654,0.8062890244888377,220561,103341,0.6809497934560453,0.7527279180860383,0.8527515637439674,2915,503,0.7881454564930344
Bottom80,1993692,173727,0.7150707266862639,0.7462528602794728,94169,79558,0.5420516097094867,0.7299917045491902,0.8037157084898675,3121,297,0.1028719581560241
hard_disagreement,587701,497629,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,238,1.0
adjudication,497629,497629,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,238,1.0
Deep_Win,314730,314730,nan,1.0,314730,0,1.0,nan,1.0,0,3418,1.0
Shallow_Win,182899,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,1.0
Deep_Correct,1902567,314730,nan,1.0,314730,0,1.0,nan,1.0,0,3418,0.16542387206337542
Deep_Wrong,576576,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,0.47343455155955155
Top20_Deep_Correct,288998,220561,nan,1.0,220561,0,1.0,nan,1.0,0,3418,0.7631921328175282
Top20_Deep_Wrong,196453,103341,nan,nan,0,103341,0.0,nan,nan,0,3418,0.8248537818205881
Shallow_Correct,1770736,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,0.10328981847096348
Shallow_Wrong,708407,314730,nan,1.0,314730,0,1.0,nan,1.0,0,3418,0.5714257481927761
Top20_Shallow_Correct,171778,103341,nan,nan,0,103341,0.0,nan,nan,0,3418,0.601596246317922
Top20_Shallow_Wrong,313673,220561,nan,1.0,220561,0,1.0,nan,1.0,0,3418,0.8903061468471943
Both_Wrong,393677,0,nan,nan,0,0,nan,nan,nan,0,3418,0.22879670389684945
Both_Correct,1587837,0,nan,nan,0,0,nan,nan,nan,0,3418,0.0
Corrected_by_CH,305318,194430,0.6750528684286644,0.9808253653303489,186024,8406,0.9567659311834593,0.8283100480721328,0.9857295820271031,2229,1189,0.7129386410234575
Still_Wrong,378130,82721,0.4436232889225938,0.8362131523106016,69480,13241,0.8399318190060565,0.5573477582350755,0.8675846585362814,1921,1497,0.37603998624811574
Harmed_by_CH,69617,37080,0.4113214455741592,0.07269452232149476,3493,33587,0.0942017259978425,0.39765556942399105,0.35508463222828235,1138,2280,0.5626211988451096
Stable_Correct,1726078,183398,0.7983815226770559,0.6256117552740345,55733,127665,0.30389099117765733,0.773586282910251,0.7438466945376304,3055,363,0.1093044462648849
Q1,495830,726,0.7730417198808004,0.7561631763496173,348,378,0.4793388429752066,0.7865079365079365,0.9652144041696278,84,3334,0.0017223645200976142
Q2,495828,8527,0.7819226037898207,0.7747721593564075,4105,4422,0.4814119854579571,0.7583519541170921,0.8966034549218825,1089,2329,0.020371983833103416
