group,targets,winner_targets,auroc,auprc,positive,negative,prevalence,image_balanced_auroc,image_balanced_auprc,auroc_eligible_images,auroc_excluded_images,hard_disagreement_prevalence,sign_accuracy,sign_balanced_accuracy,sign_macro_f1,sign_deep_win_recall,sign_shallow_win_recall,sign_image_balanced_accuracy,sign_shallow_win_count,sign_deep_win_count,sign_tn,sign_fp,sign_fn,sign_tp,sign_exact_zero_ties,shallow_accuracy,shallow_miou,shallow_dice,shallow_nll,shallow_brier,deep_accuracy,deep_miou,deep_dice,deep_nll,deep_brier,fixed_average_accuracy,fixed_average_miou,fixed_average_dice,fixed_average_nll,fixed_average_brier,anchor_accuracy,anchor_miou,anchor_dice,anchor_nll,anchor_brier,context_only_accuracy,context_only_miou,context_only_dice,context_only_nll,context_only_brier,anchor_fixed_accuracy_delta,anchor_fixed_miou_delta,SS_pixel_mean,SS_image_mean,SS_std,SD_pixel_mean,SD_image_mean,SD_std,Delta_pixel_mean,Delta_image_mean,Delta_std,wD_pixel_mean,wD_image_mean,wD_std,JS_ctx_shallow_pixel_mean,JS_ctx_shallow_image_mean,JS_ctx_shallow_std,JS_ctx_deep_pixel_mean,JS_ctx_deep_image_mean,JS_ctx_deep_std,consensus_closer_deep_fraction,consensus_js_exact_ties,deep_wrong_targets,deep_wrong_anchor_fixed_accuracy_delta
all,2479143,497629,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,238,0.23705812855490788,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0.6630673588887843,182899,314730,169418,13481,232380,82350,0,0.7142532721993043,0.4363486817386499,0.5817299492959925,0.7848371981369142,0.4062494586077517,0.767429309241137,0.5662856277940953,0.7173329225242939,1.7849333004321561,0.40958963479842336,0.7740868517870894,0.573520035544036,0.7235312365126652,0.6812924611902088,0.34149795400089744,0.7792918762653062,0.56908695657968,0.7184048030759485,0.6698779148689742,0.33483175032222556,0.7813946190276236,0.489692042270629,0.6142602017599895,0.6439726340866461,0.3363639825717227,0.005205024478216802,-0.004433078964355963,0.8616025669069378,0.8599012484748002,0.09989810262255627,0.7373169799999403,0.7343468867815894,0.17471710200810636,-0.12428558690376834,-0.125554361683778,0.15835079191112547,0.45530986476125734,0.4547760899214835,0.06509654791801583,0.05243967957666237,0.05330894992439899,0.06081253831992978,0.15551314405116087,0.1573260039472448,0.11369080193745564,0.06561259273870043,0,576576,0.07494762182262182
Top20,485451,323902,0.6589776204103654,0.8062890244888377,220561,103341,0.6809497934560453,0.7527279180860383,0.8527515637439674,2915,503,0.7881454564930344,0.45125068693617204,0.5807062356839748,0.439037323177504,0.22299499911589085,0.9384174722520587,0.6447797433996857,103341,220561,96977,6364,171377,49184,0,0.35385239704934174,0.19023837272164,0.31605326587622223,1.411214278981304,0.785455341091544,0.595318580042064,0.42933731790908336,0.5944749138492789,3.2098511517226007,0.7425554145590838,0.5998010097826557,0.43534413120489013,0.6011146790448701,1.0037874785624195,0.5523518835595027,0.6129454878041244,0.44990195380035414,0.6180850160957974,0.9855907810660846,0.5395232505764977,0.5680140735110237,0.35320897254495737,0.49983808399395013,0.976538102428969,0.5429625915704595,0.013144478021468675,0.01455782259546401,0.8280799437857099,0.8098801151028586,0.10793462603482158,0.559615300092259,0.6125105590384103,0.1922669707792194,-0.2684646436796993,-0.19736955603798007,0.2470844249542614,0.39413033217582727,0.42013485529938266,0.10514068106747795,0.06273988754768942,0.07495226842116157,0.07014711856171345,0.2724997164984154,0.2373881386233143,0.13606958174036668,0.11210606219783253,0,196453,0.17929479315663288
Bottom80,1993692,173727,0.7150707266862639,0.7462528602794728,94169,79558,0.5420516097094867,0.7299917045491902,0.8037157084898675,3121,297,0.1028719581560241,0.6078905409061344,0.6313699171019416,0.5867707916142386,0.35219658273954274,0.9105432514643405,0.6666612122848322,79558,94169,72441,7117,61003,33166,0,0.8020085349191349,0.5269703915405549,0.6642972905290854,0.6323184639126759,0.313915299240287,0.8093371493691102,0.5455089451008219,0.6801953802448552,1.4379750963430595,0.32851463888601934,0.8165243176980196,0.5519698544190739,0.686038408195299,0.6027670276335927,0.2901563972518336,0.819796137016149,0.5556285672994121,0.6894538256851048,0.5930038908932275,0.28499070492005835,0.8333513902849587,0.5277038768223345,0.6449702120510622,0.5629951113939489,0.28605856862762014,0.0032718193181293653,0.003658712880338255,0.8697651070168562,0.8632162038093398,0.09608682780590744,0.7805861801636886,0.7657623991398791,0.1392717031980845,-0.08917892685250041,-0.09745380466837937,0.1001049078409276,0.4702066819592647,0.4670522218623984,0.0380048612834514,0.04993164610923456,0.05304788041762965,0.058037762550839575,0.12702767659626202,0.13595037883927436,0.08614402673899953,0.05429173613577223,0,380123,0.021019512105292237
hard_disagreement,587701,497629,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,238,1.0,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0.6630673588887843,182899,314730,169418,13481,232380,82350,0,0.31121097292670935,0.1344965977371325,0.22393422074530975,1.3954454720537126,0.7827148121450335,0.535527419555182,0.3728211319963243,0.5370581772692382,2.680228281955698,0.7608170317943413,0.5636114282602889,0.4010113567284591,0.5694212700971695,1.0222303563274766,0.5689174498279979,0.5855681715702372,0.4153503503595657,0.5859825896194005,1.001413833804235,0.5528570808917331,0.5898424539008782,0.3529509312367702,0.4948299751511515,0.9495342317992219,0.5268974721800538,0.021956743309948346,0.014338993631106578,0.830055253573072,0.8121127167545928,0.10649527217545476,0.6079212323091283,0.6477009736306407,0.19778217803874193,-0.2221340212534023,-0.16441174309585743,0.24654475112164997,0.4136180621690968,0.4344496712462773,0.10290739946541329,0.06237277781363001,0.07490495512053547,0.0688462085377543,0.23572612399042625,0.2098256170925906,0.14199494444822408,0.15121975290156048,0,272971,0.15830619369823168
adjudication,497629,497629,0.638179880685981,0.7650992606483913,314730,182899,0.6324591211525051,0.7348502223175151,0.8225452506474318,3180,238,1.0,0.5059351444550056,0.5939727493091467,0.49033270372997595,0.261652845295968,0.9262926533223255,0.6630673588887843,182899,314730,169418,13481,232380,82350,0,0.3675408788474948,0.16509279802896334,0.26565991571484626,1.2565403639281825,0.7233720287294919,0.6324591211525051,0.4896929693529265,0.6439134680889926,1.9634764081636469,0.6026937058984535,0.6629858790384001,0.5242301404953706,0.6801019514320243,0.7512750211959538,0.458677588106354,0.6884586710179672,0.5379808036883497,0.6973185418794957,0.7551193674478859,0.45238355527978746,0.6352041380225028,0.40208138893996076,0.5427584822546204,0.8711469098443412,0.4859935979811613,0.02547279197956709,0.013750663192979018,0.8323994324945069,0.8152266445927654,0.10604987681240717,0.6188090433171058,0.6577256125411985,0.19388224150008512,-0.213590389170993,-0.1575010320291317,0.24748489018698305,0.4180871176890324,0.43821492343296375,0.10136855529652836,0.06114434181079727,0.07280814003463743,0.06849088109176088,0.22847569285191824,0.2028874453613014,0.13858263826624426,0.159677189231335,0,,
Deep_Win,314730,314730,nan,1.0,314730,0,1.0,nan,1.0,0,3418,1.0,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,nan,0,314730,0,0,232380,82350,0,0.0,0.0,0.0,1.6870925720290704,0.9940557717828139,1.0,1.0,1.0,0.10321494400377186,0.04718402683328136,0.9169573920503289,0.8418903450585404,0.9119736161466663,0.5753332510089161,0.3106477537355481,0.8206558002097035,0.6866011547502373,0.8117442896984902,0.6775408247830139,0.3852299322126753,0.5841165443395927,0.3830534483936971,0.5229810234026175,0.9470748265282125,0.5259313525218638,-0.09630159184062537,-0.15528919030830313,0.8146487158684441,0.7858797373592844,0.11371562680643997,0.6446418129198147,0.7271385962044457,0.18479434687426782,-0.1700069029558259,-0.05874114116066694,0.2502140869344464,0.43553638354881746,0.4767193833335874,0.09755601337542409,0.07287737749602805,0.0919675207531625,0.07441469928958695,0.21199120812805172,0.1568413450222744,0.1310311169676997,0.21496838560035586,0,,
Shallow_Win,182899,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,1.0,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0,1.0,1.0,1.0,0.515652242858125,0.257583290403027,0.0,0.0,0.0,5.164587899287369,1.5586068672179885,0.2259553086676253,0.09803527926794998,0.1719082833939138,1.0540331190038499,0.713405223421603,0.46097572977435636,0.1951911163966964,0.301352220497191,0.8886154211874645,0.5679405555253448,0.7231149432200286,0.328537977258725,0.4261389361852518,0.7404912298356215,0.41726927752782195,0.23502042110673105,0.09715583712874641,0.8629446134070365,0.8546660193081494,0.08290004649884565,0.5743563804974045,0.5805809850965207,0.20096719776323646,-0.2885882328798134,-0.2740850341572031,0.22364715909676772,0.38806066897116,0.39324480308602716,0.10077259074248028,0.04095430074325349,0.04456206583112399,0.05088955756921554,0.2568419599017245,0.2506273243785767,0.14641177819403714,0.06453288426946019,0,,
Deep_Correct,1902567,314730,nan,1.0,314730,0,1.0,nan,1.0,0,3418,0.16542387206337542,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,nan,0,314730,0,0,232380,82350,0,0.8345761279366246,0.5838905845930338,0.7113982366892919,0.47971808075989375,0.24811974776435755,1.0,1.0,1.0,0.04692563350644543,0.020143903252369633,0.9862627702467246,0.9667524983940832,0.9830596610403033,0.19993609258270043,0.08130131082421906,0.9703321880385816,0.8922804556250742,0.9402319440998517,0.22455554746256576,0.09750715261972709,0.8788352788627155,0.6217458094681126,0.7193798644267724,0.501527342155311,0.24550061918275454,-0.01593058220814303,-0.07447204276900898,0.8730290838184822,0.8648218038260123,0.0929749975730267,0.7774616359736894,0.7596635624981682,0.14982442155922432,-0.09556744784485154,-0.1051582413265726,0.13373425839008252,0.4675090573186003,0.4636428023964382,0.051508629446320196,0.048188605659132785,0.051696632082179624,0.055694212883394906,0.1311769268972238,0.14153603453406272,0.09530831880007984,0.06577008851725064,0,,
Deep_Wrong,576576,182899,nan,nan,0,182899,0.0,nan,nan,0,3418,0.47343455155955155,0.9262926533223255,nan,0.4808680818694528,nan,0.9262926533223255,nan,182899,0,169418,13481,0,0,0,0.31721577034077036,0.13375575766630318,0.22293804050004273,1.791659479658597,0.9280408088723888,0.0,0.0,0.0,7.519955279910746,1.6946701742769676,0.07395555833055834,0.02910612930066407,0.055637269276898375,2.2696567742252314,1.200086495353162,0.14890318015318016,0.055483873820877355,0.10134012216069802,2.1393383859765245,1.117947849287581,0.45986305361305363,0.20511211897165954,0.31161604112187435,1.1140090416615787,0.6361919960389139,0.07494762182262182,0.026377744520213284,0.8238977127318661,0.8101132556612198,0.11195202670087895,0.6048489312396591,0.5835530770078312,0.18525188434152232,-0.2190487814781283,-0.22656017859601651,0.1926115776412746,0.41505536026185696,0.4095294163290594,0.08575713795149403,0.06646723700196698,0.07674032740918117,0.07354914091635285,0.23581701320616302,0.24968661868320058,0.13114895490479478,0.06509289321789322,0,,
Top20_Deep_Correct,288998,220561,nan,1.0,220561,0,1.0,nan,1.0,0,3418,0.7631921328175282,0.22299499911589085,nan,0.18233516839978497,0.22299499911589085,nan,nan,0,220561,0,0,171377,49184,0,0.23680786718247185,0.13828954868200607,0.24216295892459597,1.5558281976049024,0.8939829242614834,1.0,1.0,1.0,0.040395011611843425,0.01590295598980992,0.9693873314002173,0.9341426838819461,0.9655803334112483,0.4918884704247549,0.24683612320752712,0.8695873327843099,0.7653314405747922,0.8651139373183647,0.6096675193539914,0.331413442884482,0.579197779915432,0.3964080921577159,0.5388362739679399,0.9559388807452535,0.5287640246109873,-0.09979999861590738,-0.1688112433071539,0.8228915022221722,0.7974675914398565,0.11300864807105684,0.6056662468390521,0.6995928138710749,0.17966287522384358,-0.21722525538536308,-0.09787477757214501,0.24674453332425303,0.4178354213960875,0.46317015368832665,0.0975732638402484,0.06695648978786066,0.08304509846652698,0.07372035395858306,0.24201993569062347,0.17875562665656355,0.12524484643584255,0.14829168367947182,0,,
