replicate,adjudication_image_auroc,sign_balanced_accuracy,anchor_fixed_accuracy_delta,anchor_fixed_miou_delta,Top20_anchor_fixed_accuracy_delta,Deep_Wrong_anchor_fixed_accuracy_delta,Top20_Deep_Wrong_anchor_fixed_accuracy_delta
0,0.7324774380761924,0.5942798516593149,0.004383931630822624,-0.006077611018909912,0.009531474087143055,0.07320434239869841,0.1795650800336984
1,0.7440802219141713,0.5978664446435975,0.005254132463735517,-0.004264173698435236,0.01360330392716036,0.07445813096501923,0.17729309921414538
2,0.7342677703142397,0.5961758527317514,0.0059309716572287785,-0.0023490507029106933,0.017340029483047248,0.07373892453538869,0.17760684986224484
3,0.7326322427934395,0.5919498920841213,0.005069429936686465,-0.005853715929926784,0.012101203444655484,0.07538948675779143,0.17992444039601593
4,0.7393139351932005,0.5959560663717338,0.006319014048790428,-0.0015565770134022827,0.018630686154031628,0.0768049637046526,0.18156649551998388
5,0.7266071505902764,0.5901496819925689,0.004733140002975311,-0.0058510105677727076,0.010318225061573205,0.07344505776394425,0.17512364346181464
6,0.737140152301308,0.5968369207583224,0.006578458876359439,-0.0003288967762189454,0.020167200306974165,0.07576230653435503,0.18226842417520056
7,0.7407337229114094,0.5952480821681703,0.005218414330494192,-0.002575943836066741,0.013485172515067423,0.07684733473571143,0.1836780740694099
8,0.7406898937109906,0.5936336866926846,0.005807878763156027,-0.002553791810468997,0.01604594471414178,0.07587959383894306,0.18348802825578053
9,0.7324564952350233,0.5929363048765588,0.005217319974313517,-0.0032955089695749784,0.013692799302508218,0.0712694877505568,0.171551906299997
10,0.7290376322697149,0.5912354675582393,0.005476149862734259,-0.0036472026026979076,0.013559178845991449,0.07496683604737168,0.17791114998341223
11,0.7310109162188891,0.5909429764973564,0.004061627699720294,-0.006357027077041999,0.007969378781554348,0.07361557003100076,0.17583738071535593
12,0.7286840502294692,0.5910346325949527,0.005080584812484967,-0.004694757218144274,0.012731743248710958,0.07342152983844377,0.17874225068768732
13,0.7277633268331244,0.5913176124480992,0.0038901319230545406,-0.006938277867717391,0.00723578527068347,0.07372109442415474,0.17541541359093532
14,0.733536017353084,0.5945356411446495,0.005031806721110921,-0.005632032651605168,0.012511194998032993,0.0738752205236949,0.1793829314391343
15,0.7371873629905263,0.5962643778187111,0.0053304517467201995,-0.0046270404338494275,0.013494282614139097,0.07602776973437951,0.1804100884645884
16,0.7316586205901361,0.5964841463299337,0.005108786871104276,-0.0037757658932021654,0.01259458888403242,0.07675277922590282,0.18413886118532222
17,0.7387799219237937,0.5923376545278615,0.004715792708942068,-0.005033284287603745,0.01102868988836958,0.07534196115026646,0.18224874195709412
18,0.7287708338328331,0.588840727949901,0.003901723079382191,-0.006070537234039719,0.007107829184388792,0.07222573209548615,0.17361478916276227
19,0.7326348298129656,0.593387755913688,0.00488712391551871,-0.005782911801601287,0.011876366114541681,0.07375806459939872,0.17905752703647354
20,0.7478207385629858,0.6011503028674711,0.00569011389481322,-0.0031227072050676874,0.015677589497763433,0.0759920333669742,0.1791225211950149
21,0.734060035981789,0.5939626466088668,0.005246314104245253,-0.004305639077850976,0.013841483783823105,0.07089308829104521,0.17021855308689235
22,0.7325843317412087,0.597637930026669,0.005861244453738368,-0.003556362394942947,0.01590984014398722,0.07486290386272873,0.1780839848764795
23,0.7359235718701954,0.5922096179652985,0.0049824907942742636,-0.00543770055561732,0.012033676966019757,0.07599142775369451,0.1845569515451328
24,0.7372217117751128,0.5949149039668034,0.005475363677514777,-0.00351607374465035,0.014264494039967435,0.07469543285246168,0.17816844274330426
25,0.7315749557883763,0.5901471507831725,0.004998132198440697,-0.004613434994501064,0.011904786180823024,0.07501559494497895,0.18004380677825255
26,0.7311924089373469,0.59490400091265,0.006453814270366398,-0.0019048759625572842,0.019833489375816082,0.0745887227575679,0.17974079637494197
27,0.7369193964119921,0.5918496281794468,0.00393746801059125,-0.007536938916262059,0.007268976644914882,0.07481694724325677,0.17907157478755123
28,0.7468075816616259,0.601273986381114,0.006179663917821543,-0.001582718149336193,0.018155517937392895,0.07702295221540319,0.18203637746632334
29,0.7341970028004979,0.5898055724985518,0.004086180077822799,-0.006210990608817357,0.008167146130966918,0.07599678697843568,0.18276589583419517
30,0.7382894108325541,0.6006175667931305,0.005560203541360997,-0.005978010829090219,0.015422534318098258,0.07652846959008683,0.18381801125703565
31,0.7344276580520411,0.5959355352303572,0.005703715371597751,-0.004016766669157623,0.015482270538450305,0.07449680668290161,0.17863429094914102
