stratum,targets,anchor_accuracy,fixed_average_accuracy,delta,hard_line,hard_line_failed,status
all,576576,0.14890318015318016,0.07395555833055834,0.07494762182262182,-0.1,False,DEFINED
Top20,196453,0.2354049060080528,0.05611011285141993,0.17929479315663288,-0.1,False,DEFINED
Bottom80,380123,0.10419785174798683,0.0831783396426946,0.021019512105292237,-0.1,False,DEFINED
hard_disagreement,272971,0.31451692670649994,0.15621073300826827,0.15830619369823168,-0.1,False,DEFINED
Q1,40025,0.005021861336664585,0.005021861336664585,0.0,-0.1,False,DEFINED
Q2,74629,0.0326816653043723,0.03174369213040507,0.0009379731739672242,-0.1,False,DEFINED
Q3,107952,0.08865051133837261,0.08412998369645769,0.00452052764191492,-0.1,False,DEFINED
Q4,153281,0.13301061449233761,0.11597001585323687,0.01704059863910075,-0.1,False,DEFINED
Q5,200689,0.2653658147681238,0.06583818744425454,0.19952762732386928,-0.1,False,DEFINED
boundary,101269,0.0843693529115524,0.041572445664517274,0.042796907247035124,-0.1,False,DEFINED
interior,475307,0.16265276968359396,0.08085511048648558,0.08179765919710838,-0.1,False,DEFINED
class0,200257,0.18387372226688706,0.09739984120405279,0.08647388106283427,-0.1,False,DEFINED
class1,215891,0.21323723545678144,0.09390850012274712,0.11932873533403432,-0.1,False,DEFINED
class2,113319,0.02590033445406331,0.024779604479390042,0.0011207299746732666,-0.1,False,DEFINED
class3,47109,0.0012948693455602962,0.0011462777813156721,0.00014859156424462411,-0.1,False,DEFINED
