group,targets,anchor_equals_deep,anchor_equals_shallow,anchor_differs_both_count,anchor_correct_third_class_count
all,2479143,0.9287725637448102,0.8325389055814852,4042,1542
Top20,485451,0.7800498917501457,0.42861174454270357,1550,555
Bottom80,1993692,0.9649855644703395,0.9308925350555652,2492,987
hard_disagreement,587701,0.6995359885383894,0.2935863644948707,4042,1542
adjudication,497629,0.7152999523741582,0.2802529595341108,2213,0
Deep_Win,314730,0.8206558002097035,0.17522956184666222,1295,0
Shallow_Win,182899,0.5340051066435574,0.46097572977435636,918,0
Deep_Correct,1902567,0.9703321880385816,0.8635632805572682,1295,0
Deep_Wrong,576576,0.7916354478854479,0.7301656676656677,2747,1542
Top20_Deep_Correct,288998,0.8695873327843099,0.3653900719036118,529,0
Top20_Deep_Wrong,196453,0.6483331891088454,0.5216158572279375,1021,555
Shallow_Correct,1770736,0.9518674720568171,0.9443242809769496,918,0
Shallow_Wrong,708407,0.8710444701986287,0.553119887296427,3124,1542
Top20_Shallow_Correct,171778,0.7320145769539754,0.6643924134638894,343,0
Top20_Shallow_Wrong,313673,0.8063556633819295,0.29949023345968573,1207,555
Both_Wrong,393677,0.9113283224572428,0.8552290329381701,1829,1542
Both_Correct,1587837,1.0,1.0,0,0
Corrected_by_CH,305318,0.8838882738652815,0.3980505571240477,1564,605
Still_Wrong,378130,0.8548673736545632,0.7659561526459154,1186,365
Harmed_by_CH,69617,0.8959593202809658,0.5373974747547294,280,92
Stable_Correct,1726078,0.9542257070653818,0.9358835463982509,1012,480
Q1,495830,0.9991327672791077,0.9991408345602323,2,0
Q2,495828,0.9897444275030858,0.9897323265325879,75,26
Q3,495829,0.9634390082064582,0.9596171260656395,499,188
Q4,495828,0.9256455867760595,0.8650882967480659,1888,706
Q5,495828,0.7659006752341537,0.34911501569092507,1578,622
boundary,201144,0.9071858966710417,0.7645368492224476,504,227
interior,2277999,0.9306786350652481,0.8385433882982389,3538,1315
class0,965133,0.947079832520492,0.8936063734221087,1000,258
class1,1044692,0.9311912027659827,0.8475579405221826,1501,1211
class2,323515,0.92696474661144,0.7092685037788047,1109,61
class3,145803,0.7942703510901696,0.5942127391068771,432,12
Strength1,495830,0.9799891091704818,0.9332775346388883,335,93
Strength2,495828,0.9734847568108296,0.9138834434521649,456,180
Strength3,495829,0.9632736286098634,0.8812372814014509,748,316
Strength4,495828,0.9437526722976516,0.8148127979863985,1210,523
Strength5,495828,0.7833623756625281,0.6194829658671959,1293,430
DW__all,576576,0.7916354478854479,0.7301656676656677,2747,1542
DW__Top20,196453,0.6483331891088454,0.5216158572279375,1021,555
DW__Bottom80,380123,0.8656961036296146,0.837947190777722,1726,987
DW__hard_disagreement,272971,0.5598873140370223,0.43004934590121296,2747,1542
DW__Q1,40025,0.9934041224234853,0.9939038101186758,2,0
DW__Q2,74629,0.9568800332310496,0.9620656849214112,53,26
DW__Q3,107952,0.8846246479917,0.8993626797095006,362,188
DW__Q4,153281,0.8257383498280935,0.7841219720643785,1259,706
DW__Q5,200689,0.6138801827703562,0.4591083716596326,1071,622
DW__boundary,101269,0.8731497299272235,0.726964816478883,373,227
DW__interior,475307,0.7742679994193227,0.7308476416295152,2374,1315
DW__class0,200257,0.7594141528136344,0.6916412410053082,973,258
DW__class1,215891,0.7298266254730397,0.7635844013877373,1472,1211
DW__class2,113319,0.9094238388972723,0.7204528808055136,217,61
DW__class3,47109,0.9285274575983358,0.7641427328111401,85,12
